iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
15968,Prosadenoporus agricola,NA,2014,CR,B1ab(iii),CR,0.8,2017-3
16012,Favonigobius reichei,Indo-pacific Tropical Sand Goby,2017,LC,NA,LC,0,2017-3
16238,Paretroplus polyactis,NA,2016,LC,NA,LC,0,2017-3
16474,Pegasus lancifer,Sculptured Dragonfish,2016,LC,NA,LC,0,2017-3
16475,Pegasus laternarius,Brick Seamoth,2017,DD,NA,DD,NA,2017-3
16476,Pegasus volitans,Longtail Seamoth,2016,DD,NA,DD,NA,2017-3
16559,Pentalagus furnessi,Amami Rabbit,2016,EN,"B1ab(ii,iii,v)+2ab(ii,iii,v)",EN,0.6,2017-3
16564,Peponocephala electra,Melon-headed Whale,2008,LC,NA,LC,0,2017-3
16781,Petromyzon marinus,Sea Lamprey,2013,LC,NA,LC,0,2017-3
17013,Phoca vitulina,Harbor Seal,2016,LC,NA,LC,0,2017-3
17014,Phoca vitulina ssp. stejnegeri,Kuril Seal,2016,DD,NA,DD,NA,2017-3
17020,Phoca vitulina ssp. vitulina,Eastern Atlantic Harbour Seal,2016,LC,NA,LC,0,2017-3
17021,Phoca vitulina ssp. concolor,Western Atlantic Harbor Seal,2016,LC,NA,LC,0,2017-3
17022,Phoca vitulina ssp. richardii,North Pacific Harbor Seal,2016,LC,NA,LC,0,2017-3
17023,Phoca largha,Spotted Seal,2016,LC,NA,LC,0,2017-3
17026,Phocarctos hookeri,New Zealand Sea Lion,2015,EN,A4bd,EN,0.6,2017-3
17027,Phocoena phocoena,Harbour Porpoise,2008,LC,NA,LC,0,2017-3
17028,Phocoena sinus,Vaquita,2017,CR,A2a+4d; C1+2a(ii); D; E,CR,0.8,2017-3
17029,Phocoena spinipinnis,Burmeister's Porpoise,2012,DD,NA,DD,NA,2017-3
17030,Phocoena phocoena ssp. relicta,Black Sea Harbour Porpoise,2008,EN,A1d+4cde,EN,0.6,2017-3
17031,Phocoena phocoena Baltic Sea subpopulation,Harbour Porpoise,2008,CR,C2a(ii),CR,0.8,2017-3
17032,Phocoenoides dalli,Dall's Porpoise,2012,LC,NA,LC,0,2017-3
17096,Phycodurus eques,Leafy Seadragon,2017,LC,NA,LC,0,2017-3
17177,Phyllopteryx taeniolatus,Weedy Seadragon,2017,LC,NA,LC,0,2017-3
17245,Physiculus helenaensis,St Helena mora,2015,DD,NA,DD,NA,2017-3
17977,Pontinus nigropunctatus,Deepwater Jack,2015,LC,NA,LC,0,2017-3
17978,Pontoporia blainvillei,Franciscana,2017,VU,A3d,VU,0.4,2017-3
18145,Priolepis robinsi,Goby,2010,LC,NA,LC,0,2017-3
18175,Pristis pectinata,Smalltooth Sawfish,2013,CR,A2cd,CR,0.8,2017-3
18374,Protemblemaria punctata,Warthead Blenny,2015,LC,NA,LC,0,2017-3
18376,Proterorhinus marmoratus,Tubenose Goby,2014,LC,NA,LC,0,2017-3
18383,Prototroctes maraena,Australian Grayling,2009,NT,NA,NT,0.2,2017-3
18428,Psephurus gladius,Chinese Paddlefish,2010,CR,A2cd; C2a(i); D,CR,0.8,2017-3
18458,Pseudemys alabamensis,Alabama Red-bellied Cooter,1996,EN,B1+2c,EN,0.6,2017-3
18460,Pseudemys rubriventris,Northern Redbelly Turtle,2011,NT,NA,NT,0.2,2017-3
18596,Pseudorca crassidens,False Killer Whale,2008,DD,NA,DD,NA,2017-3
18711,Pteronura brasiliensis,Giant Otter,2015,EN,A3ce,EN,0.6,2017-3
18878,Pungitius pungitius,Ninespine Stickleback,2013,LC,NA,LC,0,2017-3
19330,Rattus exulans,Polynesian Rat,2016,LC,NA,LC,0,2017-3
