iucn_sid,year,rgn_cat_ts,rgn_cat_ts_score,iucn_rgn,iucn_version
165358,2011,LC,0,mediterranean,2017-3
165358,2014,NT,0.2,mediterranean,2017-3
165785,2010,LC,0,pan-africa,2017-3
165785,2016,LC,0,pan-africa,2017-3
165798,2010,LC,0,pan-africa,2017-3
165798,2017,LC,0,pan-africa,2017-3
167815,2011,LC,0,europe,2017-3
167815,2014,LC,0,europe,2017-3
167857,2011,LC,0,europe,2017-3
167857,2014,LC,0,europe,2017-3
167857,2017,LC,0,europe,2017-3
167858,2011,LC,0,europe,2017-3
167858,2017,LC,0,europe,2017-3
167859,2011,LC,0,europe,2017-3
167859,2017,LC,0,europe,2017-3
167877,2011,LC,0,europe,2017-3
167877,2017,LC,0,europe,2017-3
167878,2011,LC,0,europe,2017-3
167878,2017,LC,0,europe,2017-3
167932,2011,LC,0,europe,2017-3
167932,2014,LC,0,europe,2017-3
167934,2011,LC,0,europe,2017-3
167934,2014,LC,0,europe,2017-3
168000,2010,LC,0,pan-africa,2017-3
168000,2017,LC,0,pan-africa,2017-3
168006,2010,LC,0,pan-africa,2017-3
168006,2017,LC,0,pan-africa,2017-3
168008,2009,LC,0,pan-africa,2017-3
168008,2010,LC,0,pan-africa,2017-3
168018,2010,LC,0,pan-africa,2017-3
168018,2017,LC,0,pan-africa,2017-3
16895402,2012,VU,0.4,europe,2017-3
16895402,2016,NT,0.2,europe,2017-3
169206,2009,LC,0,pan-africa,2017-3
169206,2010,LC,0,pan-africa,2017-3
169228,2009,LC,0,pan-africa,2017-3
169228,2010,LC,0,pan-africa,2017-3
169247,2009,LC,0,western_africa,2017-3
169247,2010,LC,0,western_africa,2017-3
169248,2010,CR,0.8,pan-africa,2017-3
169248,2017,CR,0.8,pan-africa,2017-3
169252,2009,EN,0.6,pan-africa,2017-3
169252,2010,EN,0.6,pan-africa,2017-3
169464,2009,CR,0.8,eastern_africa,2017-3
169464,2010,CR,0.8,eastern_africa,2017-3
170833,1994,EN,0.6,europe,2017-3
170833,1996,VU,0.4,europe,2017-3
171511,2014,VU,0.4,europe,2017-3
171511,2017,NT,0.2,europe,2017-3
171632,1994,VU,0.4,europe,2017-3
171632,1996,NT,0.2,europe,2017-3
171632,2017,LC,0,europe,2017-3
173204,2010,VU,0.4,europe,2017-3
173204,2015,EN,0.6,europe,2017-3
173228,2010,LC,0,europe,2017-3
173228,2015,LC,0,europe,2017-3
173231,2010,NT,0.2,europe,2017-3
173231,2015,EN,0.6,europe,2017-3
173240,2010,LC,0,europe,2017-3
173240,2015,LC,0,europe,2017-3
174321,2010,NT,0.2,europe,2017-3
174321,2017,NT,0.2,europe,2017-3
175950,2011,LC,0,europe,2017-3
175950,2014,LC,0,europe,2017-3
181777,2010,LC,0,pan-africa,2017-3
181777,2017,LC,0,pan-africa,2017-3
182126,2010,LC,0,pan-africa,2017-3
182126,2016,LC,0,pan-africa,2017-3
182167,2010,LC,0,pan-africa,2017-3
182167,2017,LC,0,pan-africa,2017-3
182237,2010,LC,0,pan-africa,2017-3
182237,2016,LC,0,pan-africa,2017-3
184304,2010,LC,0,pan-africa,2017-3
184304,2017,LC,0,pan-africa,2017-3
184496,2010,CR,0.8,pan-africa,2017-3
184496,2016,CR,0.8,pan-africa,2017-3
184516,2016,CR,0.8,eastern_africa,2017-3
184516,2017,CR,0.8,eastern_africa,2017-3
184649,2010,LC,0,pan-africa,2017-3
184649,2017,LC,0,pan-africa,2017-3
184685,2016,EN,0.6,pan-africa,2017-3
184685,2017,EN,0.6,pan-africa,2017-3
184689,2011,LC,0,pan-africa,2017-3
184689,2016,LC,0,pan-africa,2017-3
184702,2016,CR,0.8,pan-africa,2017-3
184702,2017,CR,0.8,pan-africa,2017-3
184713,2010,NT,0.2,eastern_africa,2017-3
184713,2016,EN,0.6,eastern_africa,2017-3
184770,2010,LC,0,eastern_africa,2017-3
184770,2017,LC,0,eastern_africa,2017-3
185218,2010,LC,0,pan-africa,2017-3
185218,2017,LC,0,pan-africa,2017-3
185234,2010,LC,0,pan-africa,2017-3
185234,2017,LC,0,pan-africa,2017-3
185256,2010,LC,0,pan-africa,2017-3
185256,2017,LC,0,pan-africa,2017-3
185280,2010,LC,0,pan-africa,2017-3
185280,2015,LC,0,pan-africa,2017-3
18528839,2013,EN,0.6,europe,2017-3
18528839,2015,EN,0.6,europe,2017-3
18528970,2013,CR,0.8,europe,2017-3
18528970,2015,CR,0.8,europe,2017-3
18528973,2013,NT,0.2,europe,2017-3
18528973,2015,NT,0.2,europe,2017-3
185309,2010,VU,0.4,pan-africa,2017-3
185309,2017,VU,0.4,pan-africa,2017-3
185323,2010,LC,0,pan-africa,2017-3
185323,2015,LC,0,pan-africa,2017-3
185411,2010,LC,0,pan-africa,2017-3
185411,2017,LC,0,pan-africa,2017-3
185420,2010,LC,0,pan-africa,2017-3
185420,2017,LC,0,pan-africa,2017-3
185428,2010,LC,0,pan-africa,2017-3
185428,2017,LC,0,pan-africa,2017-3
185444,2010,LC,0,pan-africa,2017-3
185444,2017,LC,0,pan-africa,2017-3
185454,2010,LC,0,pan-africa,2017-3
185454,2015,LC,0,pan-africa,2017-3
185454,2017,LC,0,pan-africa,2017-3
185487,2010,LC,0,pan-africa,2017-3
185487,2017,LC,0,pan-africa,2017-3
185491,2010,LC,0,pan-africa,2017-3
185491,2017,LC,0,pan-africa,2017-3
185529,2010,LC,0,pan-africa,2017-3
185529,2017,LC,0,pan-africa,2017-3
185586,2010,LC,0,pan-africa,2017-3
185586,2017,LC,0,pan-africa,2017-3
185606,2010,LC,0,pan-africa,2017-3
185606,2017,LC,0,pan-africa,2017-3
185607,2010,LC,0,pan-africa,2017-3
185607,2017,LC,0,pan-africa,2017-3
185637,2010,LC,0,pan-africa,2017-3
185637,2016,LC,0,pan-africa,2017-3
185637,2017,LC,0,pan-africa,2017-3
18568577,2013,LC,0,europe,2017-3
18568577,2014,LC,0,europe,2017-3
185822,2010,VU,0.4,eastern_africa,2017-3
185822,2016,EN,0.6,eastern_africa,2017-3
187492,2010,LC,0,mediterranean,2017-3
187492,2014,LC,0,mediterranean,2017-3
187573,2010,LC,0,europe,2017-3
187573,2014,LC,0,europe,2017-3
188126,2011,EN,0.6,europe,2017-3
188126,2017,EN,0.6,europe,2017-3
19199044,2014,NT,0.2,europe,2017-3
19199044,2015,NT,0.2,europe,2017-3
19199901,2013,LC,0,europe,2017-3
19199901,2014,LC,0,europe,2017-3
1935,1986,EN,0.6,europe,2017-3
1935,1994,EN,0.6,europe,2017-3
1935,2014,LC,0,europe,2017-3
194657,2014,LC,0,europe,2017-3
194657,2017,LC,0,europe,2017-3
194693,2011,NT,0.2,mediterranean,2017-3
194693,2014,NT,0.2,mediterranean,2017-3
