iucn_sid,habs,deep_ok
43972,10.1,TRUE
43973,10.1,TRUE
43974,9.1,FALSE
43993,"9.1, 9.5",FALSE
44070,"10.1, 9.1",TRUE
44071,"10.1, 9.1",TRUE
44166,"12.5, 9.1",FALSE
44168,"10.1, 9.1, 9.1",TRUE
44169,"10.1, 9.1, 9.1",TRUE
44170,10.1,TRUE
44171,"11.1.1, 11.1.2",TRUE
44173,"10.1, 12.1, 12.4, 9.1",TRUE
44174,"10.1, 12.1, 12.4, 9.1",TRUE
44175,"10.1, 12.1, 12.4, 9.1",TRUE
44176,"10.1, 12.1, 12.4, 9.1",TRUE
44177,"10.1, 12.1, 12.4, 9.1",TRUE
44178,"10.1, 12.1, 12.4, 9.1",TRUE
44179,"10.1, 12.1, 12.4, 9.1",TRUE
44181,"12.1, 12.2",FALSE
44183,"9.2, 9.3, 9.4, 9.5, 9.6",FALSE
44186,9.4,FALSE
44187,9.1,FALSE
44189,12.2,FALSE
44191,"12.1, 12.2, 12.3, 12.4, 12.5",FALSE
44205,10.1,TRUE
44206,10.1,TRUE
