iucn_sid,iucn_rgn,years,cat_ts,scores,pop_trend_desc,calc_trend
22697825,global,"1994, 1996, 2000, 2004, 2005, 2007, 2008, 2010, 2012, 2016, 2018","VU, VU, EN, EN, EN, EN, EN, EN, EN, EN, EN","0.4, 0.4, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6",decreasing,0.00778
22697829,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",decreasing,0
22697834,global,"1994, 2000, 2004, 2008, 2009, 2012, 2014, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0, 0",decreasing,0
22697839,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",increasing,0
22697842,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",stable,0
22697847,global,"1994, 2000, 2004, 2008, 2009, 2010, 2012, 2015, 2016, 2018","LC, LC, LC, LC, LC, NT, NT, NT, NT, NT","0, 0, 0, 0, 0, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,0.01106
22697852,global,"1994, 2000, 2004, 2005, 2007, 2008, 2009, 2012, 2016, 2017, 2018","LC, VU, VU, VU, NT, NT, LC, LC, LC, LC, LC","0, 0.4, 0.4, 0.4, 0.2, 0.2, 0, 0, 0, 0, 0",increasing,-0.01185
22697859,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","NT, NT, NT, NT, LC, LC, LC, LC","0.2, 0.2, 0.2, 0.2, 0, 0, 0, 0",increasing,-0.01075
22697866,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2017, 2018","LC, LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0, 0",increasing,0
22697870,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2017, 2018","LC, LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0, 0",stable,0
22697875,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",stable,0
22697879,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2017, 2018","LC, LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0, 0",stable,0
22697885,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",stable,0
22697888,global,"1994, 2000, 2004, 2008, 2009, 2012, 2016, 2018","LC, LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0, 0",decreasing,0
22697896,global,"1994, 1996, 2000, 2004, 2006, 2007, 2008, 2009, 2010, 2012, 2013, 2015, 2016, 2018","CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR","0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8",decreasing,0
22697913,global,"1994, 1996, 2000, 2004, 2008, 2009, 2010, 2012, 2013, 2015, 2016, 2018","CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR, CR","0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8",decreasing,-0
22697925,global,"1994, 2000, 2004, 2005, 2008, 2010, 2012, 2016, 2018","LC, NT, NT, NT, NT, NT, NT, NT, NT","0, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2",decreasing,0.00577
