iucn_sid,pop_trend,iucn_version,iucn_rgn
61340,decreasing,2018-1,global
61395,unknown,2018-1,global
61398,decreasing,2018-1,global
61399,unknown,2018-1,global
61400,unknown,2018-1,global
61401,unknown,2018-1,global
61402,unknown,2018-1,global
61403,unknown,2018-1,global
61404,unknown,2018-1,global
61405,decreasing,2018-1,global
61406,unknown,2018-1,global
61407,stable,2018-1,global
61408,decreasing,2018-1,global
61409,stable,2018-1,global
61410,decreasing,2018-1,global
61411,decreasing,2018-1,global
61414,decreasing,2018-1,global
61415,decreasing,2018-1,global
61416,unknown,2018-1,global
61417,decreasing,2018-1,global
61418,decreasing,2018-1,global
61419,decreasing,2018-1,global
61420,decreasing,2018-1,global
61422,unknown,2018-1,global
61442,decreasing,2018-1,global
61460,decreasing,2018-1,global
61478,decreasing,2018-1,global
