iucn_sid,iucn_rgn,pop_trend
132773,global,unknown
132774,global,unknown
132776,global,unknown
132777,global,decreasing
132778,global,stable
132779,global,unknown
132780,global,unknown
132781,global,stable
132782,global,unknown
132783,global,stable
132784,global,unknown
132785,global,unknown
132786,global,unknown
132787,global,unknown
132788,global,stable
132789,global,unknown
132790,global,unknown
132791,global,unknown
132792,global,decreasing
132793,global,unknown
132794,global,unknown
132795,global,decreasing
132796,global,unknown
132797,global,unknown
132798,global,unknown
132799,global,unknown
132800,global,unknown
132801,global,unknown
132802,global,unknown
132803,global,unknown
132804,global,unknown
132805,global,unknown
132806,global,decreasing
132807,global,decreasing
132808,global,stable
132809,global,stable
132810,global,decreasing
132811,global,decreasing
132812,global,unknown
132813,global,unknown
132814,global,unknown
132815,global,unknown
132816,global,unknown
132817,global,unknown
132818,global,unknown
132819,global,stable
132820,global,stable
132821,global,unknown
132822,global,stable
132824,global,unknown
132825,global,unknown
132826,global,decreasing
132827,global,unknown
132828,global,unknown
132829,global,unknown
132830,global,stable
132832,global,increasing
132835,global,unknown
132859,global,unknown
132860,global,unknown
132861,global,unknown
132862,global,decreasing
132863,global,decreasing
132864,global,unknown
132865,global,unknown
132866,global,decreasing
132867,global,decreasing
132868,global,decreasing
132869,global,decreasing
132870,global,decreasing
132871,global,unknown
132872,global,decreasing
132873,global,unknown
132874,global,unknown
132875,global,stable
132876,global,unknown
132877,global,unknown
132878,global,decreasing
132879,global,unknown
132880,global,unknown
132881,global,unknown
132882,global,decreasing
132883,global,decreasing
132884,global,stable
132885,global,unknown
132886,global,decreasing
132887,global,unknown
132888,global,decreasing
132889,global,unknown
132890,global,unknown
132891,global,unknown
132892,global,decreasing
132893,global,decreasing
132894,global,decreasing
132895,global,unknown
132896,global,unknown
132897,global,unknown
132898,global,unknown
132899,global,decreasing
132900,global,unknown
132901,global,unknown
132902,global,unknown
132903,global,unknown
132904,global,unknown
132905,global,unknown
132906,global,decreasing
132907,global,unknown
132908,global,decreasing
132909,global,decreasing
132910,global,decreasing
132911,global,unknown
132912,global,decreasing
132913,global,decreasing
132914,global,decreasing
