iucn_sid,poly_range_km2
63570,414418.901
63571,14366986.699
63572,67795.964
63852,50539.923
64396,1397739.043
64397,59317.119
64398,32515.554
64399,75663.58
64400,3347658.148
64401,270332.714
64402,137195.46
64404,12987.98
64405,52989.185
64406,375289.609
64407,1396884.061
64408,311780.215
64409,537567.128
64410,2581612.599
64411,10351004.059
64412,13266284.686
64442,354.413
132722,2456854.196
132723,9871544.097
132724,3521245.012
132725,9117881.014
132726,3838502.589
132727,2872653.815
132728,634094.589
132729,1568810.525
132730,1108726.113
132731,3965738.141
132732,16112525.556
132733,807702.874
132734,1215164.232
132735,2362277.935
132736,5606552.618
132737,14167841.941
132738,17782718.669
132739,8053506.369
132740,3479415.377
132741,13404272.65
132742,729320.88
132743,6182269.472
132744,1225423.273
132745,7577826.344
132746,8382540.352
132747,11368163.174
132748,3181997.633
132749,874584.372
132750,1054778.317
132751,12740225.286
132752,1200918.968
132753,945940.375
132754,990311.019
132755,2189189.965
132756,6469627.414
132757,15476425.89
132758,13094221.564
132759,1025517.49
132760,338315.097
132761,3004494.569
132762,2748664.926
132763,9247189.781
132764,2539939.171
132765,942272.763
132766,13298660.36
132767,1021203.966
132768,35862.507
132769,1704866.897
132770,2983734.875
132771,3502063.767
132772,6376748.079
132773,3777095.305
132774,14631926.314
132775,2214837.698
132776,5839954.874
132777,806468.179
132778,10908979.401
132779,404954.526
132780,6904550.974
132781,19454248.442
132782,2563530.242
132783,12829882.025
132784,1546006.611
132785,4149177.951
132786,1028001.048
132787,16622067.667
132788,17633212.022
132789,7823355.795
132790,1202916.747
132791,1785385.149
132792,3196422.577
132793,1073276.426
132794,2708462.593
132795,352569.992
132796,2430349.439
132797,197139.193
132798,2290194.246
132799,11019252.569
132800,11892158.54
132801,1804879.406
132802,3295297.305
132803,103848.804
132804,12597848.007
132805,4477113.695
132806,3792081.718
132807,986055.784
132808,7614354.921
132809,762296.379
132810,10771461.624
132811,1247573.768
132812,8208841.393
132813,4004201.548
132814,16208594.861
132815,9803777.705
132816,1736699.482
132817,21701070.351
132818,8124558.278
132819,3814549.159
132820,1107443.788
132821,1104128.259
132822,1095348.129
132823,6291192.105
132824,3988356.185
132825,12598940.613
132826,5605623.163
132827,2512599.279
132828,1457209.274
132829,5798156.316
132830,1419354.433
132859,10507336.703
132860,3006942.204
132861,41845.153
132862,7530341.573
132863,9474536.953
132864,13433979.471
132865,445741.936
132866,12788282.263
132867,4928535.446
132868,920101.837
132869,17237281.811
132870,8842085.827
132871,9281159.089
132872,6627077.073
132873,8022741.814
132874,2418177.497
132875,3414899.667
132876,6506489.089
132877,4786270.585
132878,13322652.155
132879,6649985.511
132880,17551977.305
132881,16075123.876
132882,789831.147
132883,18510514.295
132884,2574794.141
132885,18685605.107
132886,5179534.586
132887,17569459.883
132888,16951574.703
132889,1393795.739
132890,12800776.052
132891,382177.049
132892,6321362.992
132893,2723374.085
132894,14573288.965
132895,11679903.33
132896,10789783.587
132897,6425757.124
132898,400162.753
132899,3206936.352
132900,16228663.206
132901,3746931.94
132902,952574.939
132903,12990992.214
132904,11482290.272
132905,13731499.178
132906,8187187.587
132907,6629687.084
132908,12529745.522
132909,7486176.77
132910,17340546.469
132911,20953720.831
132912,75938.659
132913,1838108.685
132914,432673.391
132915,408819.895
132916,11561419.477
132917,21078397.079
132918,1882081.518
132919,7832480.458
132920,5199828.894
132921,889057.099
132922,19255418.557
132923,15669416.261
132924,5318705.025
132925,7852774.537
132926,164220.865
132927,7173886.103
132928,15823002.905
132929,7057032.28
132930,4967004.381
132931,11616097.303
132932,7631351.846
132933,9618033.852
132934,22389.677
132935,6462603.369
132936,20669050.981
132937,2139345.56
132938,10424592.045
132939,2281597.759
132940,15884717.51
132941,133549.983
132942,412811.091
132943,181291.714
132944,13773441.367
132945,74328.362
132946,4775044.924
132947,9172200.961
132948,16403727.818
132949,7169275.337
132950,6069460.599
132951,432648.939
132952,7548265.35
132953,425804.649
132954,14886565.834
132955,432758.703
132956,12233441.531
132957,9070460.446
132958,4648847.381
132959,135293.058
132960,10888777.475
132961,29693.671
132962,1487847.706
132963,2445758.604
132964,427625.22
132965,4276724.9
132966,15004402.034
132967,10573548.733
132968,796951.044
132969,15380505.958
132970,2431185.188
132971,6565382.375
132972,12562794.633
132973,7358880.4
132974,6333629.237
132975,19690236.56
132976,16477244.048
132977,2224513.663
132978,17300373.293
132979,19369744.28
132980,19681497.217
132981,3928345.667
132982,10345.616
132983,12312227.453
132984,5725842.491
132985,7869705.051
132986,18567759.337
132987,18451385.234
132988,17116568.687
132989,41999.11
132990,7688707.369
132991,9536509.332
132992,19267826.997
132993,9549838.412
132994,5273056.854
132995,8184981.488
132996,1776945.332
132997,16689006.464
132998,18904819.092
132999,757088.995
133000,1633212.435
133001,12867228.344
133002,10286821.076
133003,8914838.574
133004,5644565.987
133005,432760.933
133006,2476441.107
133007,5711222.489
133008,5723471.917
133009,496334.507
133010,15135110.362
133011,5597444.568
133012,2618704.648
133013,16818361.784
133014,6568123.77
133015,17063474.506
133016,15564919.54
133017,6498563.606
133018,4612388.432
133019,4612366.464
133020,19240010.851
133021,18524428.439
133022,6905586.299
133023,19105601.817
133024,15945874.214
133025,16596402.117
133026,11505467.487
133027,3662801.577
133028,16660104.545
133029,19608638.585
133030,9137395.951
133031,11464987.602
133032,7525299.607
133033,17724689.05
133034,17256680.946
133035,10851394.428
133036,9175562.313
133037,2246634.01
133038,17705170.608
133039,1859060.036
133040,12894723.022
133041,19374305.444
133042,1795978.873
133043,17393685.948
133044,6242842.836
133045,3814460.431
133046,7428978.407
133047,2403920.131
133048,12499317.439
133049,19921480.027
133050,5976859.998
133051,9226682.568
133052,432663.979
133053,3013198.727
133054,17331479.864
133055,17242096.878
133056,724887.625
133057,4722965.654
133058,16717009.974
133059,9884156.137
133060,15015782.908
133061,5651826.689
133062,2419067.708
133063,14531234.048
133064,4945020.876
133066,19686456.856
133067,7703009.594
133068,19939676.47
133069,12275825.93
133070,10091754.704
133071,18863519.174
133072,164879.081
133073,446715.62
133074,1102625.906
133075,9089999.251
133076,11975065.112
133077,804582.987
133078,6492135.432
133079,1940299.495
133080,15690890.121
133081,10182605.801
133082,21244646.478
133083,9747190.007
133084,17189358.555
133085,209795.444
133086,2884771.421
133087,13994582.169
133088,19950696.999
133089,8897323.222
133090,21070838.964
133091,19885527.832
133092,6158409.098
133093,7697571.636
133094,17113342.307
133095,16102250.919
133096,866946.99
133097,7825391.619
133098,16518724.751
133099,10130061.74
133100,1819357.595
133101,10007402.92
133102,2622937.999
133103,7724118.871
133104,18645.609
133105,17131992.065
133106,16036782.549
133107,9459963.525
133108,784944.642
133109,5914452.156
133110,14502689.758
133111,432708.49
