am_sid,iucn_sid,sciname,main_common_name,cat,cat_score
Fis-29584,177989,Acanthurus xanthopterus,Yellowfin Surgeonfish,LC,0
Fis-23451,178012,Ctenochaetus striatus,Striped Bristletooth,LC,0
Fis-23657,178002,Naso hexacanthus,Sleek Unicornfish,LC,0
Fis-23658,177950,Naso lituratus,Orange Spine Surgeonfish,LC,0
Fis-23659,177970,Naso unicornis,Bluespine Unicornfish,LC,0
Fis-163883,178010,Zebrasoma veliferum,Sailfin Tang,LC,0
Fis-8951,166894,Anguilla bicolor,Shortfin Eel,NT,0.2
Fis-23366,183155,Anguilla mossambica,African Longfin Eel,LC,0
Fis-23378,166446,Arius arius,Threadfin Sea Catfish,LC,0
Fis-159802,169632,Plicofollis dussumieri,Blacktip Sea Catfish,LC,0
Fis-148339,154721,Sufflamen fraenatum,Masked Triggerfish,LC,0
Fis-23710,154983,Paralichthys dentatus,Summer Flounder,LC,0
Fis-23725,135717,Platichthys flesus,European Flounder,LC,0
Fis-30498,135690,Pleuronectes platessa,European Plaice,LC,0
Fis-23736,135525,Pomatoschistus microps,Common Goby,LC,0
Fis-23548,10097,Hippoglossus hippoglossus,Atlantic Halibut,EN,0.6
Fis-3208,187397,Labrus mixtus,Cuckoo Wrasse,LC,0
Fis-23598,154644,Liparis liparis,Striped Seasnail,LC,0
Fis-23633,13045,Melanogrammus aeglefinus,Haddock,VU,0.4
Fis-58147,183295,Hoplopagrus guentherii,Mexican barred snapper,LC,0
Fis-23611,12416,Lutjanus analis,Mutton Snapper,NT,0.2
Fis-23613,183763,Lutjanus aratus,Vivaneau radis,LC,0
Fis-23615,183948,Lutjanus argentiventris,Amarillo snapper,LC,0
Fis-30253,183531,Lutjanus colorado,Vivaneau amarante,LC,0
Fis-23625,12417,Lutjanus cyanopterus,Cubera Snapper,VU,0.4
Fis-23626,155089,Lutjanus decussatus,Crossbanded Snapper,LC,0
Fis-22217,154906,Brama dussumieri,Lesser Bream,LC,0
Fis-30013,154968,Etrumeus whiteheadi,Whitehead's Round Herring,LC,0
Fis-23573,154793,Jenkinsia lamprotaenia,Dwarf Round Herring,LC,0
Fis-30152,155253,Jenkinsia majua,Little-eye Round Herring,LC,0
Fis-54081,184056,Sardinops sagax ssp. sagax,South American Pilchard,LC,0
Fis-23535,183931,Harengula thrissina,Pacific Flatiron Herring,LC,0
Fis-30438,183720,Opisthonema berlangai,Galapágos Thread Herring,VU,0.4
Fis-23680,183910,Opisthonema bulleri,Slender thread herring,LC,0
Fis-30439,183235,Opisthonema medirastre,Middling thread herring,LC,0
Fis-23766,155116,Sardinella albella,White Sardinella,LC,0
Fis-30595,154989,Sardinella longiceps,Indian Oil Sardine,LC,0
Fis-23594,155235,Lile piquitinga,Atlantic Piquitinga,LC,0
Fis-23595,183336,Lile stolifera,Pacific Piquitinga,LC,0
Fis-23327,201946,Alosa aestivalis,Blueback Herring,VU,0.4
Fis-23333,201947,Alosa mediocris,Hickory Shad,LC,0
Fis-23334,201948,Alosa pseudoharengus,Alewife,LC,0
Fis-23335,191206,Alosa sapidissima,American Shad,LC,0
Fis-23495,182611,Ethmalosa fimbriata,Bonga shad,LC,0
Fis-23854,166442,Tenualosa ilisha,Hilsa,LC,0
