iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
162687,Sepia zanzibarica,Zanzibar Cuttlefish,2012,DD,NA,DD,NA,2019-2
162695,Pareledone cornuta,NA,2018,LC,NA,LC,0,2019-2
162696,Adelieledone piatkowski,NA,2018,LC,NA,LC,0,2019-2
162697,Pareledone panchroma,NA,2018,LC,NA,LC,0,2019-2
162698,Pareledone aurorae,NA,2018,LC,NA,LC,0,2019-2
162699,Thaumeledone rotunda,NA,2018,LC,NA,LC,0,2019-2
162700,Adelieledone polymorpha,NA,2018,LC,NA,LC,0,2019-2
162701,Praealtus paralbida,NA,2018,LC,NA,LC,0,2019-2
162702,Thaumeledone marshalli,NA,2018,LC,NA,LC,0,2019-2
162703,Thaumeledone peninsulae,NA,2018,LC,NA,LC,0,2019-2
162704,Tetracheledone spinicirrus,NA,2018,DD,NA,DD,NA,2019-2
162705,Pareledone aurata,NA,2018,LC,NA,LC,0,2019-2
162706,Pareledone albimaculata,NA,2018,LC,NA,LC,0,2019-2
162707,Pareledone subtilis,NA,2018,LC,NA,LC,0,2019-2
162708,Thaumeledone gunteri,NA,2018,LC,NA,LC,0,2019-2
162709,Thaumeledone zeiss,NA,2018,LC,NA,LC,0,2019-2
162710,Pareledone prydzensis,NA,2018,LC,NA,LC,0,2019-2
162712,Thaumeledone brevis,NA,2018,DD,NA,DD,NA,2019-2
162713,Pareledone serperastrata,NA,2018,LC,NA,LC,0,2019-2
162714,Bathypurpurata profunda,NA,2018,DD,NA,DD,NA,2019-2
162715,Velodona togata,NA,2018,DD,NA,DD,NA,2019-2
162716,Pareledone framensis,NA,2018,LC,NA,LC,0,2019-2
162717,Pareledone felix,NA,2018,LC,NA,LC,0,2019-2
162718,Adelieledone adelieana,NA,2018,LC,NA,LC,0,2019-2
162719,Vosseledone charrua,NA,2018,DD,NA,DD,NA,2019-2
162720,Pareledone turqueti,NA,2018,LC,NA,LC,0,2019-2
162721,Pareledone aequipapillae,NA,2018,LC,NA,LC,0,2019-2
162894,Bathyteuthis berryi,NA,2014,DD,NA,DD,NA,2019-2
162897,Octopus micros,NA,2018,DD,NA,DD,NA,2019-2
162899,Amphitretus pelagicus,NA,2014,LC,NA,LC,0,2019-2
162900,Todarodes filippovae,NA,2014,LC,NA,LC,0,2019-2
162901,Uroteuthis vossi,Voss' Squid,2019,DD,NA,DD,NA,2019-2
162902,Mastigoteuthis cordiformis,NA,2014,DD,NA,DD,NA,2019-2
162903,Octopus huttoni,NA,2018,DD,NA,DD,NA,2019-2
162904,Enoploteuthis higginsi,NA,2014,LC,NA,LC,0,2019-2
162905,Enoploteuthis obliqua,NA,2014,LC,NA,LC,0,2019-2
162906,Helicocranchia pfefferi,Banded Piglet Squid,2014,DD,NA,DD,NA,2019-2
162907,Octopus vitiensis,NA,2018,DD,NA,DD,NA,2019-2
162908,Histioteuthis miranda,NA,2014,LC,NA,LC,0,2019-2
162909,Egea inermis,NA,2014,LC,NA,LC,0,2019-2
162910,Chtenopteryx sicula,Comb-finned Squid,2014,DD,NA,DD,NA,2019-2
162911,Octopus joubini,NA,2018,LC,NA,LC,0,2019-2
162912,Ameloctopus litoralis,NA,2018,LC,NA,LC,0,2019-2
162913,Callistoctopus nocturnus,NA,2018,LC,NA,LC,0,2019-2
162914,Muusoctopus longibrachus,NA,2018,LC,NA,LC,0,2019-2
162916,Leachia atlantica,NA,2014,DD,NA,DD,NA,2019-2
162917,Opisthoteuthis mero,NA,2014,EN,A2b,EN,0.6,2019-2
162918,Grimpoteuthis innominata,NA,2014,DD,NA,DD,NA,2019-2
162919,Octopoteuthis danae,NA,2014,DD,NA,DD,NA,2019-2
162920,Afrololigo mercatoris,Guinean Thumbstall Squid,2019,LC,NA,LC,0,2019-2
162922,Abralia spaercki,NA,2014,DD,NA,DD,NA,2019-2
162923,Loliolus uyii,Little Squid,2019,DD,NA,DD,NA,2019-2
162924,Amphioctopus polyzenia,NA,2018,DD,NA,DD,NA,2019-2
162925,Histioteuthis heteropsis,NA,2014,LC,NA,LC,0,2019-2
162926,Eucleoteuthis luminosa,NA,2014,LC,NA,LC,0,2019-2
