iucn_sid,sciname
133070,Montastrea colemani
132922,Montastrea curta
132978,Montastrea magnistellata
133374,Montastrea multipunctata
133162,Montastrea salebrosa
133263,Montastrea serageldini
132997,Montastrea valenciennesi
132982,Montigyra kenti
133314,Montipora aequituberculata
133696,Montipora altasepta
132866,Montipora angulata
133199,Montipora aspergillus
133443,Montipora australiensis
133113,Montipora cactus
133185,Montipora calcarea
133220,Montipora caliculata
133622,Montipora capitata
133422,Montipora capricornis
133623,Montipora cebuensis
133416,Montipora circumvallata
133460,Montipora cocosensis
133367,Montipora confusa
133375,Montipora corbettensis
133433,Montipora crassituberculata
133342,Montipora cryptus
133451,Montipora danae
133489,Montipora delicatula
133194,Montipora digitata
133170,Montipora dilatata
133072,Montipora echinata
133175,Montipora efflorescens
133031,Montipora effusa
133229,Montipora flabellata
133064,Montipora florida
133186,Montipora floweri
133071,Montipora foliosa
133438,Montipora foveolata
133131,Montipora friabilis
132930,Montipora gaimardi
133420,Montipora grisea
133202,Montipora hemispherica
133580,Montipora hirsuta
133238,Montipora hispida
132892,Montipora hodgsoni
133700,Montipora hoffmeisteri
133196,Montipora incrassata
133066,Montipora informis
133282,Montipora kellyi
133117,Montipora lobulata
133434,Montipora mactanensis
133007,Montipora malampaya
133079,Montipora meandrina
133015,Montipora millepora
133674,Montipora mollis
133525,Montipora monasteriata
133022,Montipora niugini
132944,Montipora nodosa
132932,Montipora orientalis
133454,Montipora pachytuberculata
133285,Montipora palawanensis
132942,Montipora patula
133563,Montipora peltiformis
133191,Montipora porites
133404,Montipora samarensis
133111,Montipora saudii
133361,Montipora setosa
133056,Montipora spongiosa
133245,Montipora spongodes
133556,Montipora spumosa
133259,Montipora stellata
132977,Montipora stilosa
133505,Montipora taiwanensis
133345,Montipora tuberculosa
133298,Montipora turgescens
133450,Montipora turtlensis
133599,Montipora undata
133632,Montipora vaughani
133635,Montipora venosa
133305,Montipora verrilli
133646,Montipora verrucosa
133409,Montipora verruculosus
133190,Montipora vietnamensis
132870,Moseleya latistellata
133457,Mussa angulosa
133586,Mussismilia braziliensis
133527,Mussismilia harttii
133184,Mussismilia hispida
133559,Mycedium elephantotus
133026,Mycedium mancaoi
133316,Mycedium robokaki
133363,Mycedium spina
133335,Mycedium steeni
133295,Mycedium umbra
133047,Mycetophyllia aliciae
133519,Mycetophyllia danaana
133356,Mycetophyllia ferox
133062,Mycetophyllia lamarckiana
133037,Mycetophyllia reesi
133219,Nemenzophyllia turbida
133212,Oculina diffusa
133511,Oculina patagonica
133533,Oculina robusta
132961,Oculina tenella
133444,Oculina valenciennesi
133165,Oculina varicosa
132859,Oulastrea crispata
133333,Oulophyllia bennettae
133200,Oulophyllia crispa
133491,Oulophyllia levis
133562,Oxypora convoluta
133582,Oxypora crassispinosa
133608,Oxypora egyptensis
133192,Oxypora glabra
133442,Oxypora lacera
133218,Pachyseris foliosa
132924,Pachyseris gemmae
133664,Pachyseris involuta
133453,Pachyseris rugosa
133410,Pachyseris speciosa
133075,Palauastrea ramosa
133545,Paraclavarina triangularis
133692,Parasimplastrea sheppardi
133360,Pavona bipartita
133558,Pavona cactus
133520,Pavona chiriquiensis
133240,Pavona clavus
133261,Pavona danai
133041,Pavona decussata
133581,Pavona diffluens
133702,Pavona duerdeni
133382,Pavona explanulata
133242,Pavona frondifera
133168,Pavona gigantea
132911,Pavona maldivensis
132904,Pavona minuta
133398,Pavona varians
132880,Pavona venosa
133455,Pavona xarifae
133488,Pectinia africanus
132956,Pectinia alcicornis
133694,Pectinia ayleni
133241,Pectinia crassa
132871,Pectinia elongata
132928,Pectinia lactuca
133683,Pectinia maxima
133272,Pectinia paeonia
132918,Pectinia pygmaeus
133205,Pectinia teres
133456,Physogyra lichtensteini
133508,Platygyra acuta
133571,Platygyra carnosus
133161,Platygyra contorta
132893,Platygyra crosslandi
133468,Platygyra daedalea
133651,Platygyra lamellina
133440,Platygyra pini
133493,Platygyra ryukyuensis
133068,Platygyra sinensis
133059,Platygyra verweyi
133067,Platygyra yaeyamaensis
133119,Plerogyra cauliformis
133347,Plerogyra diabolotus
132974,Plerogyra discus
133465,Plerogyra multilobata
133116,Plerogyra simplex
133258,Plerogyra sinuosa
133159,Plesiastrea devantieri
133284,Plesiastrea versipora
133011,Pocillopora ankeli
132958,Pocillopora capitata
133222,Pocillopora damicornis
133097,Pocillopora danae
133691,Pocillopora effusus
133099,Pocillopora elegans
133407,Pocillopora eydouxi
133552,Pocillopora fungiformis
133637,Pocillopora indiania
133309,Pocillopora inflata
132875,Pocillopora kelleheri
133045,Pocillopora ligulata
133095,Pocillopora meandrina
133579,Pocillopora molokensis
133388,Pocillopora setichelli
133197,Pocillopora verrucosa
132923,Pocillopora woodjonesi
133534,Pocillopora zelli
133158,Podabacia crustacea
133509,Podabacia motuporensis
133344,Podabacia sinai
133372,Polyphyllia novaehiberniae
133063,Polyphyllia talpina
133262,Porites annae
133150,Porites aranetai
133187,Porites arnaudi
133680,Porites astreoides
133107,Porites attenuata
133277,Porites australiensis
133421,Porites baueri
133073,Porites bernardi
132921,Porites branneri
133543,Porites brighami
133499,Porites cocosensis
132945,Porites colonensis
133096,Porites columnaris
133349,Porites compressa
133123,Porites cumulatus
133496,Porites cylindrica
133610,Porites decasepta
133555,Porites deformis
132873,Porites densa
132959,Porites desilveri
133584,Porites divaricata
132891,Porites duerdeni
133572,Porites echinulata
133703,Porites ericacea
