iucn_sid,iucn_rgn,pop_trend,trend_score,trend_source
130275173,global,unknown,NA,NA
130275223,global,unknown,NA,NA
130275248,global,unknown,NA,NA
130275254,global,unknown,NA,NA
130275315,global,unknown,NA,NA
130281858,global,unknown,NA,NA
130281888,global,unknown,NA,NA
130282156,global,unknown,NA,NA
130282200,global,unknown,NA,NA
130282230,global,unknown,NA,NA
130282441,global,unknown,NA,NA
130282725,global,unknown,NA,NA
130282824,global,unknown,NA,NA
130283033,global,unknown,NA,NA
130283639,global,unknown,NA,NA
130284409,global,unknown,NA,NA
130284614,global,unknown,NA,NA
130284836,global,unknown,NA,NA
130285078,global,unknown,NA,NA
130285307,global,unknown,NA,NA
130285744,global,unknown,NA,NA
130285977,global,unknown,NA,NA
130286039,global,unknown,NA,NA
130286297,global,unknown,NA,NA
130286757,global,unknown,NA,NA
130286778,global,unknown,NA,NA
130286787,global,unknown,NA,NA
130286796,global,unknown,NA,NA
130286816,global,unknown,NA,NA
130286847,global,unknown,NA,NA
130286862,global,unknown,NA,NA
130338284,global,unknown,NA,NA
130344486,global,unknown,NA,NA
130344504,global,unknown,NA,NA
130344655,global,unknown,NA,NA
130345331,global,unknown,NA,NA
130345678,global,unknown,NA,NA
130346023,global,unknown,NA,NA
130346041,global,unknown,NA,NA
130346273,global,unknown,NA,NA
130346280,global,unknown,NA,NA
130346283,global,unknown,NA,NA
130346410,global,unknown,NA,NA
130346424,global,unknown,NA,NA
130346459,global,unknown,NA,NA
130350139,global,unknown,NA,NA
130350168,global,unknown,NA,NA
130350177,global,unknown,NA,NA
130350214,global,unknown,NA,NA
130350264,global,unknown,NA,NA
130350272,global,unknown,NA,NA
130350289,global,unknown,NA,NA
130350312,global,unknown,NA,NA
130350372,global,unknown,NA,NA
130350451,global,unknown,NA,NA
130350484,global,unknown,NA,NA
130350490,global,unknown,NA,NA
130350493,global,unknown,NA,NA
130350496,global,unknown,NA,NA
130350503,global,unknown,NA,NA
130350508,global,unknown,NA,NA
130350511,global,unknown,NA,NA
130350523,global,unknown,NA,NA
130350534,global,unknown,NA,NA
130350547,global,unknown,NA,NA
130350552,global,unknown,NA,NA
130350565,global,unknown,NA,NA
130350771,global,unknown,NA,NA
130350825,global,unknown,NA,NA
130351028,global,unknown,NA,NA
130352266,global,unknown,NA,NA
130352497,global,unknown,NA,NA
130352723,global,unknown,NA,NA
130353171,global,unknown,NA,NA
130353324,global,unknown,NA,NA
130353354,global,unknown,NA,NA
130353401,global,unknown,NA,NA
130353406,global,unknown,NA,NA
130389813,global,stable,0,regr
130391495,global,decreasing,0.00394,regr
130393378,global,decreasing,0.00394,regr
13045,global,NA,NA,NA
1308,global,unknown,-0.03158,lm
13145,global,decreasing,0.01414,lm
13145780,global,unknown,NA,NA
13168143,global,unknown,NA,NA
13232,global,unknown,NA,NA
132341128,global,decreasing,0.00394,regr
13238,global,NA,NA,NA
13241,global,unknown,NA,NA
13242,global,unknown,NA,NA
13243,global,unknown,NA,NA
132434704,global,decreasing,0.00394,regr
132438298,global,decreasing,0.00394,regr
13244,global,unknown,NA,NA
132441735,global,stable,0,regr
13245,global,unknown,NA,NA
132450926,global,decreasing,0.00394,regr
13246,global,unknown,NA,NA
132467692,global,decreasing,0.00394,regr
132468585,global,decreasing,0.00394,regr
13247,global,unknown,NA,NA
13248,global,unknown,NA,NA
13249,global,unknown,NA,NA
13250,global,unknown,NA,NA
13251,global,unknown,NA,NA
13252,global,unknown,NA,NA
132722,global,decreasing,0,lm
132723,global,decreasing,0,lm
132724,global,decreasing,0,lm
132725,global,unknown,NA,NA
132726,global,unknown,0,lm
132727,global,stable,0,lm
132728,global,unknown,NA,NA
132729,global,stable,0,regr
132730,global,decreasing,0.04,lm
132731,global,unknown,-0.02,lm
132732,global,stable,0,lm
132733,global,stable,0,lm
132734,global,unknown,NA,NA
132735,global,unknown,NA,NA
132736,global,unknown,0,lm
132737,global,unknown,0,lm
132738,global,stable,0,lm
132739,global,unknown,NA,NA
132740,global,decreasing,0,lm
132741,global,unknown,0,lm
132742,global,unknown,0,lm
132743,global,stable,0,lm
132744,global,stable,0,lm
132745,global,stable,0,lm
132746,global,unknown,NA,NA
132747,global,stable,0,lm
132748,global,unknown,0,lm
132749,global,unknown,0,lm
132750,global,stable,0,lm
132751,global,stable,0,lm
132752,global,unknown,NA,NA
132753,global,decreasing,-0.02,lm
132754,global,unknown,0,lm
132755,global,unknown,0,lm
132756,global,unknown,0,lm
132757,global,stable,0,lm
132758,global,unknown,NA,NA
132759,global,decreasing,-0.02,lm
132760,global,unknown,NA,NA
132761,global,stable,0,lm
132762,global,unknown,NA,NA
132763,global,unknown,NA,NA
132764,global,stable,0,lm
132765,global,decreasing,0.00394,regr
132766,global,stable,0,lm
132767,global,unknown,0,lm
132768,global,unknown,NA,NA
132769,global,unknown,NA,NA
132770,global,unknown,0,lm
132771,global,unknown,0,lm
132772,global,unknown,NA,NA
132773,global,unknown,0,lm
132774,global,unknown,0,lm
132776,global,unknown,-0.02,lm
132777,global,decreasing,-0.02,lm
132778,global,stable,0,lm
132779,global,unknown,0,lm
132780,global,unknown,NA,NA
132781,global,stable,0,lm
132782,global,unknown,NA,NA
132783,global,stable,0,lm
132784,global,unknown,NA,NA
132785,global,unknown,NA,NA
132786,global,unknown,NA,NA
132787,global,unknown,0,lm
132788,global,stable,0,lm
132789,global,unknown,0,lm
132790,global,unknown,0,lm
132791,global,unknown,NA,NA
132792,global,decreasing,0.00394,regr
132793,global,unknown,NA,NA
132794,global,unknown,NA,NA
132795,global,decreasing,0.02,lm
132796,global,unknown,NA,NA
132797,global,unknown,NA,NA
132798,global,unknown,NA,NA
132799,global,unknown,0,lm
132800,global,unknown,NA,NA
132801,global,unknown,NA,NA
132802,global,unknown,0,lm
132803,global,unknown,0,lm
132804,global,unknown,0,lm
132805,global,unknown,0,lm
132806,global,decreasing,0,lm
132807,global,decreasing,0.00394,regr
132808,global,stable,0,lm
132809,global,stable,0,lm
132810,global,decreasing,0,lm
132811,global,decreasing,0.00394,regr
132812,global,unknown,NA,NA
132813,global,unknown,NA,NA
132814,global,unknown,NA,NA
132815,global,unknown,0,lm
132816,global,unknown,NA,NA
132817,global,unknown,0,lm
132818,global,unknown,0,lm
132819,global,stable,0,lm
132820,global,stable,0,regr
132821,global,unknown,0,lm
132822,global,stable,0,lm
132824,global,unknown,NA,NA
132825,global,unknown,0,lm
132826,global,decreasing,0.00394,regr
132827,global,unknown,0,lm
132828,global,unknown,NA,NA
132829,global,unknown,0,lm
132830,global,stable,0,lm
132832,global,increasing,-0.00394,regr
132835,global,unknown,NA,NA
132859,global,unknown,NA,NA
132860,global,unknown,0,lm
132861,global,unknown,NA,NA
132862,global,decreasing,0.00394,regr
132863,global,decreasing,0.00394,regr
132864,global,unknown,0,lm
132865,global,unknown,NA,NA
132866,global,decreasing,0.00394,regr
132867,global,decreasing,0.00394,regr
132868,global,decreasing,0.00394,regr
132869,global,decreasing,0,lm
132870,global,decreasing,0.00394,regr
132871,global,unknown,NA,NA
132872,global,decreasing,0.00394,regr
132873,global,unknown,0,lm
132874,global,unknown,NA,NA
132875,global,stable,0,regr
132876,global,unknown,NA,NA
132877,global,unknown,NA,NA
132878,global,decreasing,0,lm
132879,global,unknown,NA,NA
132880,global,unknown,0,lm
132881,global,unknown,0,lm
132882,global,decreasing,0.00394,regr
132883,global,decreasing,0,lm
132884,global,stable,0,regr
132885,global,unknown,0,lm
132886,global,decreasing,0.00394,regr
132887,global,unknown,0,lm
132888,global,decreasing,0,lm
132889,global,unknown,NA,NA
132890,global,unknown,NA,NA
132891,global,unknown,NA,NA
132892,global,decreasing,0.00394,regr
132893,global,decreasing,0.00394,regr
132894,global,decreasing,0.00394,regr
132895,global,unknown,0,lm
132896,global,unknown,NA,NA
132897,global,unknown,0,lm
132898,global,unknown,NA,NA
132899,global,decreasing,0.00394,regr
132900,global,unknown,NA,NA
132901,global,unknown,NA,NA
132902,global,unknown,NA,NA
132903,global,unknown,0,lm
132904,global,unknown,0,lm
132905,global,unknown,NA,NA
132906,global,decreasing,0.00394,regr
132907,global,unknown,NA,NA
132908,global,decreasing,0.00394,regr
132909,global,decreasing,0.00394,regr
132910,global,decreasing,0.00394,regr
132911,global,unknown,0,lm
132912,global,decreasing,0.00394,regr
132913,global,decreasing,0.00394,regr
132914,global,decreasing,0.00394,regr
132915,global,unknown,NA,NA
132916,global,unknown,0,lm
132917,global,unknown,0,lm
132918,global,unknown,NA,NA
132919,global,decreasing,0.00394,regr
132920,global,decreasing,0.00394,regr
132921,global,stable,0,regr
132922,global,decreasing,0,lm
132923,global,unknown,0,lm
132924,global,unknown,NA,NA
132925,global,unknown,0,lm
132926,global,unknown,NA,NA
132927,global,unknown,NA,NA
132928,global,unknown,NA,NA
132929,global,unknown,NA,NA
132930,global,decreasing,0.00394,regr
132931,global,decreasing,0.00394,regr
132932,global,decreasing,0.00394,regr
132933,global,decreasing,0.00394,regr
132934,global,unknown,NA,NA
132935,global,decreasing,0.00394,regr
132936,global,decreasing,0,lm
132937,global,unknown,NA,NA
132938,global,unknown,NA,NA
132939,global,unknown,NA,NA
132940,global,decreasing,0,lm
132941,global,unknown,NA,NA
132942,global,decreasing,0.00394,regr
132943,global,unknown,NA,NA
132944,global,decreasing,0.00394,regr
132945,global,unknown,NA,NA
132946,global,decreasing,0.00394,regr
132947,global,unknown,NA,NA
132948,global,decreasing,0,lm
132949,global,unknown,NA,NA
132950,global,decreasing,0.00394,regr
132951,global,decreasing,0.00394,regr
132952,global,decreasing,0.00394,regr
132953,global,unknown,NA,NA
132954,global,unknown,0,lm
132955,global,unknown,NA,NA
132956,global,unknown,0,lm
132957,global,unknown,NA,NA
132958,global,unknown,0,lm
132959,global,unknown,NA,NA
132960,global,unknown,0,lm
132961,global,unknown,NA,NA
132962,global,unknown,NA,NA
132963,global,stable,0,regr
132964,global,unknown,NA,NA
132965,global,unknown,NA,NA
132966,global,decreasing,0.00394,regr
132967,global,unknown,NA,NA
132968,global,unknown,NA,NA
132969,global,decreasing,0,lm
