iucn_sid,year,cat_ts,cat_ts_score,iucn_version
22698140,2016,VU,0.4,2019-2
22698140,2017,VU,0.4,2019-2
22698140,2018,VU,0.4,2019-2
22698150,1988,EN,0.6,2019-2
22698150,1994,VU,0.4,2019-2
22698150,1996,VU,0.4,2019-2
22698150,2000,VU,0.4,2019-2
22698150,2004,VU,0.4,2019-2
22698150,2005,VU,0.4,2019-2
22698150,2007,VU,0.4,2019-2
22698150,2008,VU,0.4,2019-2
22698150,2010,VU,0.4,2019-2
22698150,2012,VU,0.4,2019-2
22698150,2016,VU,0.4,2019-2
22698150,2018,VU,0.4,2019-2
22698155,1988,EN,0.6,2019-2
22698155,1994,VU,0.4,2019-2
22698155,1996,VU,0.4,2019-2
22698155,2000,VU,0.4,2019-2
22698155,2004,VU,0.4,2019-2
22698155,2005,VU,0.4,2019-2
22698155,2008,VU,0.4,2019-2
22698155,2010,VU,0.4,2019-2
22698155,2012,VU,0.4,2019-2
22698155,2016,VU,0.4,2019-2
22698155,2017,EN,0.6,2019-2
22698155,2018,EN,0.6,2019-2
22698159,1988,LC,0,2019-2
22698159,1994,LC,0,2019-2
22698159,2000,NT,0.2,2019-2
22698159,2004,NT,0.2,2019-2
22698159,2008,NT,0.2,2019-2
22698159,2010,NT,0.2,2019-2
22698159,2012,NT,0.2,2019-2
22698159,2016,NT,0.2,2019-2
22698159,2017,NT,0.2,2019-2
22698159,2018,NT,0.2,2019-2
22698172,1988,LC,0,2019-2
22698172,1994,LC,0,2019-2
22698172,2000,LC,0,2019-2
22698172,2004,LC,0,2019-2
22698172,2008,LC,0,2019-2
22698172,2009,LC,0,2019-2
22698172,2012,LC,0,2019-2
22698172,2015,NT,0.2,2019-2
22698172,2016,NT,0.2,2019-2
22698172,2017,NT,0.2,2019-2
22698172,2018,NT,0.2,2019-2
22698175,1988,LC,0,2019-2
22698175,1994,LC,0,2019-2
22698175,2000,LC,0,2019-2
22698175,2004,LC,0,2019-2
22698175,2008,LC,0,2019-2
22698175,2009,LC,0,2019-2
22698175,2012,LC,0,2019-2
22698175,2016,LC,0,2019-2
22698175,2018,LC,0,2019-2
22698182,1988,LC,0,2019-2
22698182,1994,NT,0.2,2019-2
22698182,2000,VU,0.4,2019-2
22698182,2004,VU,0.4,2019-2
22698182,2006,VU,0.4,2019-2
22698182,2008,VU,0.4,2019-2
22698182,2010,VU,0.4,2019-2
22698182,2012,VU,0.4,2019-2
22698182,2016,VU,0.4,2019-2
22698182,2018,VU,0.4,2019-2
22698188,1988,LC,0,2019-2
22698188,1994,LC,0,2019-2
22698188,2000,LC,0,2019-2
22698188,2004,LC,0,2019-2
22698188,2008,LC,0,2019-2
22698188,2009,LC,0,2019-2
22698188,2012,LC,0,2019-2
22698188,2016,NT,0.2,2019-2
22698188,2017,NT,0.2,2019-2
22698188,2018,NT,0.2,2019-2
22698195,1988,EN,0.6,2019-2
22698195,1994,VU,0.4,2019-2
22698195,1996,VU,0.4,2019-2
22698195,2000,VU,0.4,2019-2
22698195,2004,VU,0.4,2019-2
22698195,2006,VU,0.4,2019-2
22698195,2007,VU,0.4,2019-2
22698195,2008,VU,0.4,2019-2
22698195,2010,VU,0.4,2019-2
22698195,2012,VU,0.4,2019-2
22698195,2016,VU,0.4,2019-2
22698195,2017,VU,0.4,2019-2
22698195,2018,VU,0.4,2019-2
22698201,1988,LC,0,2019-2
22698201,1994,LC,0,2019-2
22698201,2000,LC,0,2019-2
22698201,2004,LC,0,2019-2
22698201,2008,LC,0,2019-2
22698201,2009,LC,0,2019-2
22698201,2012,LC,0,2019-2
22698201,2016,LC,0,2019-2
22698201,2018,LC,0,2019-2
22698209,1988,LC,0,2019-2
22698209,1994,LC,0,2019-2
22698209,2000,LC,0,2019-2
22698209,2004,NT,0.2,2019-2
22698209,2008,NT,0.2,2019-2
22698209,2010,NT,0.2,2019-2
22698209,2012,NT,0.2,2019-2
22698209,2016,NT,0.2,2019-2
22698209,2018,NT,0.2,2019-2
22698216,1988,LC,0,2019-2
22698216,1994,LC,0,2019-2
22698216,2000,LC,0,2019-2
22698216,2004,LC,0,2019-2
22698216,2008,LC,0,2019-2
22698216,2009,LC,0,2019-2
22698216,2012,LC,0,2019-2
22698216,2016,LC,0,2019-2
22698216,2017,LC,0,2019-2
22698216,2018,LC,0,2019-2
22698222,1988,LC,0,2019-2
22698222,1994,LC,0,2019-2
22698222,2000,LC,0,2019-2
22698222,2004,LC,0,2019-2
22698222,2008,LC,0,2019-2
22698222,2009,LC,0,2019-2
22698222,2012,LC,0,2019-2
22698222,2016,LC,0,2019-2
22698222,2018,LC,0,2019-2
22698226,1988,LC,0,2019-2
22698226,1994,LC,0,2019-2
22698226,2000,LC,0,2019-2
22698226,2004,LC,0,2019-2
22698226,2008,LC,0,2019-2
22698226,2009,LC,0,2019-2
22698226,2012,LC,0,2019-2
22698226,2016,LC,0,2019-2
22698226,2018,LC,0,2019-2
22698230,2000,LC,0,2019-2
22698230,2004,LC,0,2019-2
22698230,2008,NT,0.2,2019-2
22698230,2010,NT,0.2,2019-2
22698230,2012,VU,0.4,2019-2
22698230,2015,VU,0.4,2019-2
22698230,2016,VU,0.4,2019-2
22698230,2018,VU,0.4,2019-2
22698235,1988,EN,0.6,2019-2
22698235,1994,VU,0.4,2019-2
22698235,1996,VU,0.4,2019-2
22698235,2000,CR,0.8,2019-2
22698235,2004,CR,0.8,2019-2
22698235,2006,CR,0.8,2019-2
22698235,2007,CR,0.8,2019-2
22698235,2008,CR,0.8,2019-2
22698235,2009,CR,0.8,2019-2
22698235,2010,CR,0.8,2019-2
22698235,2012,CR,0.8,2019-2
22698235,2013,CR,0.8,2019-2
22698235,2015,CR,0.8,2019-2
22698235,2016,CR,0.8,2019-2
22698235,2018,CR,0.8,2019-2
22698246,1988,NT,0.2,2019-2
22698246,1994,VU,0.4,2019-2
22698246,1996,VU,0.4,2019-2
22698246,2000,VU,0.4,2019-2
22698246,2004,NT,0.2,2019-2
22698246,2005,NT,0.2,2019-2
22698246,2008,NT,0.2,2019-2
22698246,2010,NT,0.2,2019-2
22698246,2012,NT,0.2,2019-2
22698246,2016,NT,0.2,2019-2
22698249,1988,LC,0,2019-2
22698249,1994,LC,0,2019-2
22698249,2000,LC,0,2019-2
22698249,2004,LC,0,2019-2
22698249,2008,LC,0,2019-2
22698249,2009,LC,0,2019-2
22698249,2012,LC,0,2019-2
22698249,2016,LC,0,2019-2
22698249,2018,LC,0,2019-2
22698252,1988,LC,0,2019-2
22698252,1994,EN,0.6,2019-2
22698252,1996,EN,0.6,2019-2
22698252,2000,EN,0.6,2019-2
22698252,2004,EN,0.6,2019-2
22698252,2006,EN,0.6,2019-2
22698252,2007,EN,0.6,2019-2
22698252,2008,EN,0.6,2019-2
22698252,2010,EN,0.6,2019-2
22698252,2012,EN,0.6,2019-2
22698252,2016,EN,0.6,2019-2
22698252,2018,EN,0.6,2019-2
22698267,1988,LC,0,2019-2
22698267,1994,LC,0,2019-2
22698267,2000,NT,0.2,2019-2
22698267,2004,NT,0.2,2019-2
22698267,2014,LC,0,2019-2
22698267,2016,LC,0,2019-2
22698267,2017,LC,0,2019-2
22698267,2018,LC,0,2019-2
22698272,1988,LC,0,2019-2
22698272,1994,LC,0,2019-2
22698272,2000,LC,0,2019-2
22698272,2004,LC,0,2019-2
22698272,2014,EN,0.6,2019-2
22698272,2016,EN,0.6,2019-2
22698272,2018,EN,0.6,2019-2
22698277,1988,EN,0.6,2019-2
22698277,1994,EN,0.6,2019-2
22698277,1996,EN,0.6,2019-2
22698277,2000,VU,0.4,2019-2
22698277,2004,VU,0.4,2019-2
22698277,2005,VU,0.4,2019-2
22698277,2008,VU,0.4,2019-2
22698277,2010,VU,0.4,2019-2
22698277,2012,VU,0.4,2019-2
22698277,2013,VU,0.4,2019-2
22698277,2016,VU,0.4,2019-2
22698277,2018,VU,0.4,2019-2
22698280,1988,EN,0.6,2019-2
22698280,1994,EN,0.6,2019-2
22698280,1996,EN,0.6,2019-2
22698280,2000,EN,0.6,2019-2
22698280,2004,EN,0.6,2019-2
22698280,2005,EN,0.6,2019-2
22698280,2007,EN,0.6,2019-2
22698280,2008,EN,0.6,2019-2
22698280,2010,EN,0.6,2019-2
22698280,2012,EN,0.6,2019-2
22698280,2016,EN,0.6,2019-2
22698280,2018,EN,0.6,2019-2
22698288,1988,LC,0,2019-2
22698288,1994,LC,0,2019-2
22698288,2000,LC,0,2019-2
22698288,2004,LC,0,2019-2
22698288,2008,LC,0,2019-2
22698288,2009,LC,0,2019-2
22698288,2012,LC,0,2019-2
22698288,2016,LC,0,2019-2
22698288,2018,LC,0,2019-2
22698293,1988,LC,0,2019-2
22698293,1994,LC,0,2019-2
22698293,2000,LC,0,2019-2
22698293,2004,LC,0,2019-2
22698293,2008,LC,0,2019-2
22698293,2009,LC,0,2019-2
22698293,2012,LC,0,2019-2
22698293,2016,LC,0,2019-2
22698293,2018,LC,0,2019-2
22698300,1988,LC,0,2019-2
22698300,1994,LC,0,2019-2
22698300,2000,LC,0,2019-2
22698300,2004,LC,0,2019-2
22698300,2008,LC,0,2019-2
22698300,2009,LC,0,2019-2
22698300,2012,LC,0,2019-2
22698300,2016,LC,0,2019-2
22698300,2018,LC,0,2019-2
22698305,1996,VU,0.4,2019-2
22698305,2000,VU,0.4,2019-2
22698305,2003,VU,0.4,2019-2
22698305,2004,VU,0.4,2019-2
22698305,2005,VU,0.4,2019-2
22698305,2007,VU,0.4,2019-2
22698305,2008,VU,0.4,2019-2
22698305,2010,VU,0.4,2019-2
22698305,2012,VU,0.4,2019-2
22698305,2016,VU,0.4,2019-2
22698305,2017,VU,0.4,2019-2
22698305,2018,VU,0.4,2019-2
22698310,1988,EN,0.6,2019-2
22698310,1994,CR,0.8,2019-2
22698310,1996,CR,0.8,2019-2
22698310,2000,CR,0.8,2019-2
22698310,2003,CR,0.8,2019-2
22698310,2004,CR,0.8,2019-2
22698310,2005,CR,0.8,2019-2
22698310,2006,CR,0.8,2019-2
22698310,2007,CR,0.8,2019-2
22698310,2008,CR,0.8,2019-2
22698310,2009,CR,0.8,2019-2
22698310,2010,CR,0.8,2019-2
22698310,2012,CR,0.8,2019-2
22698310,2013,CR,0.8,2019-2
22698310,2015,CR,0.8,2019-2
22698310,2016,CR,0.8,2019-2
22698310,2017,CR,0.8,2019-2
22698310,2018,EN,0.6,2019-2
22698314,2000,VU,0.4,2019-2
22698314,2003,VU,0.4,2019-2
22698314,2004,VU,0.4,2019-2
22698314,2005,VU,0.4,2019-2
22698314,2007,VU,0.4,2019-2
22698314,2008,VU,0.4,2019-2
22698314,2010,VU,0.4,2019-2
22698314,2012,VU,0.4,2019-2
22698314,2016,VU,0.4,2019-2
22698314,2018,VU,0.4,2019-2
22698320,1988,NT,0.2,2019-2
22698320,1994,NT,0.2,2019-2
22698320,2000,VU,0.4,2019-2
22698320,2003,VU,0.4,2019-2
22698320,2004,VU,0.4,2019-2
22698320,2005,VU,0.4,2019-2
22698320,2007,CR,0.8,2019-2
22698320,2008,CR,0.8,2019-2
22698320,2009,CR,0.8,2019-2
22698320,2010,CR,0.8,2019-2
22698320,2012,CR,0.8,2019-2
22698320,2013,CR,0.8,2019-2
22698320,2014,CR,0.8,2019-2
22698320,2015,CR,0.8,2019-2
22698320,2016,CR,0.8,2019-2
22698320,2018,CR,0.8,2019-2
22698335,1988,EN,0.6,2019-2
22698335,1994,EN,0.6,2019-2
22698335,2000,VU,0.4,2019-2
22698335,2003,VU,0.4,2019-2
22698335,2004,VU,0.4,2019-2
22698335,2005,VU,0.4,2019-2
22698335,2006,VU,0.4,2019-2
22698335,2008,VU,0.4,2019-2
22698335,2010,VU,0.4,2019-2
22698335,2012,VU,0.4,2019-2
22698335,2015,VU,0.4,2019-2
22698335,2016,VU,0.4,2019-2
22698335,2018,VU,0.4,2019-2
22698350,1988,LC,0,2019-2
22698350,1994,LC,0,2019-2
22698350,2000,VU,0.4,2019-2
22698350,2003,EN,0.6,2019-2
22698350,2004,EN,0.6,2019-2
22698350,2005,EN,0.6,2019-2
22698350,2008,EN,0.6,2019-2
22698350,2010,EN,0.6,2019-2
22698350,2012,VU,0.4,2019-2
22698350,2013,NT,0.2,2019-2
22698350,2014,NT,0.2,2019-2
22698350,2016,NT,0.2,2019-2
22698350,2017,NT,0.2,2019-2
22698350,2018,NT,0.2,2019-2
22698365,1988,LC,0,2019-2
22698365,1994,LC,0,2019-2
22698365,2000,LC,0,2019-2
22698365,2003,VU,0.4,2019-2
22698365,2004,VU,0.4,2019-2
22698365,2005,VU,0.4,2019-2
22698365,2008,VU,0.4,2019-2
22698365,2010,NT,0.2,2019-2
22698365,2012,NT,0.2,2019-2
22698365,2013,NT,0.2,2019-2
22698365,2016,NT,0.2,2019-2
22698365,2018,NT,0.2,2019-2
22698375,2000,NT,0.2,2019-2
22698375,2002,VU,0.4,2019-2
22698375,2003,EN,0.6,2019-2
22698375,2004,EN,0.6,2019-2
22698375,2005,EN,0.6,2019-2
22698375,2008,EN,0.6,2019-2
22698375,2010,EN,0.6,2019-2
22698375,2012,EN,0.6,2019-2
22698375,2013,NT,0.2,2019-2
22698375,2014,NT,0.2,2019-2
22698375,2016,NT,0.2,2019-2
22698375,2017,LC,0,2019-2
22698375,2018,LC,0,2019-2
22698388,2000,VU,0.4,2019-2
22698388,2003,VU,0.4,2019-2
22698388,2004,VU,0.4,2019-2
22698388,2005,VU,0.4,2019-2
22698388,2008,VU,0.4,2019-2
22698388,2010,VU,0.4,2019-2
22698388,2012,VU,0.4,2019-2
22698388,2016,VU,0.4,2019-2
22698388,2018,VU,0.4,2019-2
22698393,2000,CR,0.8,2019-2
22698393,2003,CR,0.8,2019-2
22698393,2004,CR,0.8,2019-2
