iucn_sid,pop_trend,iucn_version,iucn_rgn
60140,stable,2017-3,global
60143,unknown,2017-3,global
60145,unknown,2017-3,global
60146,unknown,2017-3,global
60147,unknown,2017-3,global
60148,unknown,2017-3,global
60150,unknown,2017-3,global
60153,unknown,2017-3,global
60155,unknown,2017-3,global
60156,unknown,2017-3,global
60158,unknown,2017-3,global
60159,unknown,2017-3,global
60160,unknown,2017-3,global
60162,decreasing,2017-3,global
60163,unknown,2017-3,global
60164,unknown,2017-3,global
60166,decreasing,2017-3,global
60168,unknown,2017-3,global
60171,decreasing,2017-3,global
60175,unknown,2017-3,global
60180,decreasing,2017-3,global
60185,unknown,2017-3,global
60191,increasing,2017-3,global
60192,stable,2017-3,global
60195,stable,2017-3,global
60197,unknown,2017-3,global
60198,unknown,2017-3,global
60199,decreasing,2017-3,global
60200,decreasing,2017-3,global
60202,decreasing,2017-3,global
60203,decreasing,2017-3,global
60204,unknown,2017-3,global
60210,unknown,2017-3,global
60212,unknown,2017-3,global
60213,unknown,2017-3,global
60214,unknown,2017-3,global
60217,decreasing,2017-3,global
60218,decreasing,2017-3,global
60219,decreasing,2017-3,global
60222,unknown,2017-3,global
60225,decreasing,2017-3,global
60228,unknown,2017-3,global
60231,unknown,2017-3,global
60233,increasing,2017-3,global
60236,unknown,2017-3,global
60239,unknown,2017-3,global
60243,unknown,2017-3,global
60244,unknown,2017-3,global
60245,unknown,2017-3,global
60246,unknown,2017-3,global
60344,decreasing,2017-3,global
61333,decreasing,2017-3,global
61337,unknown,2017-3,global
61338,decreasing,2017-3,global
61339,decreasing,2017-3,global
61340,decreasing,2017-3,global
61398,decreasing,2017-3,global
61403,unknown,2017-3,global
61404,unknown,2017-3,global
61405,decreasing,2017-3,global
61407,stable,2017-3,global
61408,decreasing,2017-3,global
61417,decreasing,2017-3,global
61418,decreasing,2017-3,global
61743,stable,2017-3,global
62223,unknown,2017-3,global
63100,decreasing,2017-3,global
63102,unknown,2017-3,global
63103,unknown,2017-3,global
63104,decreasing,2017-3,global
63106,decreasing,2017-3,global
63107,unknown,2017-3,global
63108,unknown,2017-3,global
63109,unknown,2017-3,global
63110,decreasing,2017-3,global
63111,unknown,2017-3,global
63113,decreasing,2017-3,global
63114,stable,2017-3,global
63116,decreasing,2017-3,global
63117,unknown,2017-3,global
63118,unknown,2017-3,global
63119,unknown,2017-3,global
63120,decreasing,2017-3,global
63122,unknown,2017-3,global
63123,unknown,2017-3,global
63126,unknown,2017-3,global
63127,unknown,2017-3,global
63128,decreasing,2017-3,global
63129,decreasing,2017-3,global
63131,decreasing,2017-3,global
63132,decreasing,2017-3,global
63141,unknown,2017-3,global
63144,unknown,2017-3,global
63145,unknown,2017-3,global
63146,stable,2017-3,global
63152,unknown,2017-3,global
63153,decreasing,2017-3,global
63154,decreasing,2017-3,global
63155,unknown,2017-3,global
63156,unknown,2017-3,global
63165,stable,2017-3,global
63570,unknown,2017-3,global
63571,decreasing,2017-3,global
64396,decreasing,2017-3,global
64400,decreasing,2017-3,global
64407,unknown,2017-3,global
64410,decreasing,2017-3,global
64411,decreasing,2017-3,global
64412,decreasing,2017-3,global
132722,decreasing,2017-3,global
132723,decreasing,2017-3,global
132726,unknown,2017-3,global
132727,stable,2017-3,global
132729,stable,2017-3,global
132730,unknown,2017-3,global
132732,decreasing,2017-3,global
132733,stable,2017-3,global
132736,decreasing,2017-3,global
132737,unknown,2017-3,global
132738,stable,2017-3,global
132741,decreasing,2017-3,global
132742,unknown,2017-3,global
132743,unknown,2017-3,global
132745,decreasing,2017-3,global
132747,unknown,2017-3,global
132748,unknown,2017-3,global
132749,unknown,2017-3,global
132751,unknown,2017-3,global
132753,decreasing,2017-3,global
132754,unknown,2017-3,global
132755,unknown,2017-3,global
132756,unknown,2017-3,global
132757,stable,2017-3,global
132759,decreasing,2017-3,global
132761,stable,2017-3,global
132764,unknown,2017-3,global
132766,unknown,2017-3,global
132767,unknown,2017-3,global
132771,unknown,2017-3,global
132773,unknown,2017-3,global
132774,unknown,2017-3,global
132775,decreasing,2017-3,global
132776,decreasing,2017-3,global
132777,decreasing,2017-3,global
132778,stable,2017-3,global
132779,unknown,2017-3,global
132781,stable,2017-3,global
132783,unknown,2017-3,global
