iucn_sid,iucn_rgn,years,cat_ts,scores,pop_trend_desc,calc_trend
17027,global,"1996, 2008","VU, LC","0.4, 0",unknown,-0.03333
17028,global,"1994, 1996, 2007, 2008, 2017","EN, CR, CR, CR, CR","0.6, 0.8, 0.8, 0.8, 0.8",decreasing,0.00582
17032,global,"1996, 2008, 2012","VU, LC, LC","0.4, 0, 0",unknown,-0.02692
17096,global,"2006, 2017","NT, LC","0.2, 0",decreasing,-0.01818
17177,global,"2006, 2017","NT, LC","0.2, 0",decreasing,-0.01818
17978,global,"2008, 2012, 2017","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
18175,global,"1996, 2000, 2006, 2013","EN, EN, CR, CR","0.6, 0.6, 0.8, 0.8",decreasing,0.01396
18376,global,"1996, 2011, 2014","LC, LC, LC","0, 0, 0",unknown,0
18878,global,"1996, 2008, 2013","LC, LC, LC","0, 0, 0",stable,0
19388,global,"1996, 2012","NT, LC","0.2, 0",stable,-0.0125
19488,global,"2000, 2005, 2016","VU, VU, EN","0.4, 0.4, 0.6",decreasing,0.01343
19861,global,"1996, 2008","LC, LC","0, 0",unknown,0
19877,global,"1996, 2008","LC, LC","0, 0",unknown,0
19950,global,"1996, 2012","VU, NT","0.4, 0.2",decreasing,-0.0125
20047,global,"1996, 2011","EN, VU","0.6, 0.4",decreasing,-0.01333
20425,global,"2008, 2012, 2017","VU, VU, CR","0.4, 0.4, 0.8",decreasing,0.0459
20729,global,"1996, 2008, 2012","VU, LC, LC","0.4, 0, 0",unknown,-0.02692
20731,global,"1996, 2008","VU, LC","0.4, 0",unknown,-0.03333
20738,global,"2008, 2012","LC, LC","0, 0",unknown,0
20795,global,"1996, 2004","CR, CR","0.8, 0.8",unknown,0
21257,global,"2008, 2016","LC, LC","0, 0",unknown,0
21857,global,"1996, 2011","LC, NT","0, 0.2",decreasing,0.01333
21858,global,"1996, 2011","CR, CR","0.8, 0.8",decreasing,0
21859,global,"1996, 2011","VU, VU","0.4, 0.4",decreasing,0
22003,global,"1994, 1996, 2010","EN, CR, CR","0.6, 0.8, 0.8",decreasing,0.00789
22103,global,"1994, 1996, 2007, 2008","VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4",decreasing,0
22563,global,"2008, 2012","LC, LC","0, 0",unknown,0
39303,global,"1996, 2008","VU, NT","0.4, 0.2",decreasing,-0.01667
39327,global,"2000, 2003, 2016","NT, LC, LC","0.2, 0, 0",stable,-0.00876
39328,global,"2000, 2005, 2016","NT, NT, NT","0.2, 0.2, 0.2",decreasing,-0
39330,global,"2000, 2007","VU, EN","0.4, 0.6",decreasing,0.02857
39332,global,"2000, 2006","VU, CR","0.4, 0.8",decreasing,0.06667
39334,global,"2000, 2005, 2015","LC, LC, LC","0, 0, 0",stable,0
39337,global,"2000, 2005","NT, NT","0.2, 0.2",unknown,0
39341,global,"2000, 2009","NT, VU","0.2, 0.4",decreasing,0.02222
39345,global,"2000, 2009","NT, NT","0.2, 0.2",unknown,0
39349,global,"2000, 2004","NT, NT","0.2, 0.2",unknown,0
39350,global,"2000, 2005","NT, NT","0.2, 0.2",unknown,0
39351,global,"2000, 2003, 2016","VU, LC, LC","0.4, 0, 0",increasing,-0.01751
39352,global,"2000, 2006","VU, VU","0.4, 0.4",decreasing,0
39354,global,"2000, 2005, 2016","NT, NT, LC","0.2, 0.2, 0",stable,-0.01343
39355,global,"2000, 2003, 2016","VU, LC, LC","0.4, 0, 0",stable,-0.01751
39356,global,"2000, 2003","VU, LC","0.4, 0",increasing,-0.13333
39357,global,"2000, 2009","LC, LC","0, 0",unknown,0
