shp_iucn_sid,iucn_sid,sciname,presence,subpop,dbf_file,max_depth,comp_assessed
165830,165830,Centropyge hotumatua,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165831,165831,Pomacanthus chrysurus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165832,165832,Holacanthus bermudensis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165833,165833,Pomacanthus maculosus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165847,165847,Chaetodontoplus ballinae,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165848,165848,Centropyge heraldi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165849,165849,Centropyge ferrugata,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165850,165850,Chaetodontoplus melanosoma,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165851,165851,Pomacanthus semicirculatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165852,165852,Paracentropyge multifasciata,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165853,165853,Apolemichthys xanthotis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165854,165854,Centropyge debelius,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165855,165855,Centropyge eibli,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165856,165856,Genicanthus semifasciatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165857,165857,Chaetodontoplus duboulayi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165858,165858,Centropyge interruptus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165866,165866,Genicanthus semicinctus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165867,165867,Pomacanthus navarchus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165868,165868,Centropyge nox,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165879,165879,Holacanthus tricolor,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165880,165880,Holacanthus passer,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165881,165881,Chaetodontoplus personifer,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165882,165882,Chaetodontoplus septentrionalis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165883,165883,Holacanthus ciliaris,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165884,165884,Chaetodontoplus mesoleucus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165890,165890,Centropyge joculator,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165891,165891,Chaetodontoplus meredithi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165892,165892,Chaetodontoplus niger,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165893,165893,Centropyge aurantia,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165894,165894,Chaetodontoplus caeruleopunctatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165895,165895,Centropyge flavipectoralis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165896,165896,Centropyge multicolor,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165897,165897,Centropyge nigriocellus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165898,165898,Pomacanthus paru,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165899,165899,Centropyge potteri,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165900,165900,Centropyge venusta,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165901,165901,Centropyge tibicen,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
165902,165902,Centropyge bicolor,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
168374,168374,Chaetodontoplus poliourus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
169679,169679,Centropyge abei,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
169676,169676,Chaetodontoplus vanderloosi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,unknown,TRUE
4131,4131,Centropyge resplendens,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf,< 200 m,TRUE
183259,183259,Apogon atradorsatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
183329,183329,Apogon atricaudus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
185925,185925,Apogon aurolineatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
195885,195885,Apogon axillaris,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
185923,185923,Apogon binotatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
154872,154872,Apogon compressus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,unknown,FALSE
183640,183640,Apogon dovii,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
154912,154912,Apogon fleurieu,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,unknown,FALSE
185930,185930,Apogon gouldi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,deep oceanic,FALSE
183756,183756,Apogon guadalupensis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
193318,193318,Apogon hyalosoma,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
195886,195886,Apogon imberbis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
154978,154978,Apogon indicus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
185926,185926,Apogon lachneri,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
185927,185927,Apogon leptocaulus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
185937,185937,Apogon maculatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
155046,155046,Apogon margaritophorus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
185932,185932,Apogon mosavi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,unknown,FALSE
154910,154910,Apogon neotes,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
155064,155064,Apogon notatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
183403,183403,Apogon pacificus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,unknown,FALSE
185934,185934,Apogon phenax,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
185938,185938,Apogon pillionatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
190973,190973,Apogon planifrons,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
185931,185931,Apogon pseudomaculatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
185935,185935,Apogon quadrisquamatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
183419,183419,Apogon retrosella,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
185928,185928,Apogon robbyi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
185929,185929,Apogon robinsi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
155151,155151,Apogon rubrimacula,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
154678,154678,Apogon sealei,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,unknown,FALSE
185936,185936,Apogon townsendi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
155274,155274,Apogon wassinki,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,unknown,FALSE
154952,154952,Apogonichthys ocellatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
185868,185868,Astrapogon alutus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
185870,185870,Astrapogon puncticulatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
185869,185869,Astrapogon stellatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
155102,155102,Cheilodipterus singapurensis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
154832,154832,Gymnapogon melanogaster,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
154688,154688,Apogon semilineatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
185924,185924,Paroncheilus affinis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,200 m +,FALSE
185866,185866,Phaeoptyx conklini,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
185865,185865,Phaeoptyx pigmentaria,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
190974,190974,Phaeoptyx xenus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
63572,63572,Pterapogon kauderni,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,< 200 m,FALSE
185933,185933,Zapogon evermanni,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/apogonidae.dbf,200 m +,FALSE
16407630,16407630,Ariomma bondi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ariommatidae.dbf,200 m +,FALSE
190252,190252,Ariomma melanum,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ariommatidae.dbf,200 m +,FALSE
16407645,16407645,Ariomma regulus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ariommatidae.dbf,200 m +,FALSE
13462250,13462250,Guentherus altivela,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ateleopodiformes.dbf,deep oceanic,FALSE
