iucn_sid,habs,max_depth
17027,"9.1, 9.10",< 200 m
17028,"10.1, 9.1",200 m +
17029,9.1,< 200 m
17030,"10.1, 10.2, 9.1, 9.10",200 m +
17031,"10.1, 9.1",200 m +
17032,"10.1, 9.1",200 m +
17096,"10.1, 9.1, 9.7, 9.9",200 m +
17177,"9.1, 9.7, 9.9",< 200 m
17245,"10.1, 10.2, 10.3",200 m +
17595,"NA",unknown
17604,"NA",unknown
17710,"NA",unknown
17974,"NA",unknown
17977,10.1,200 m +
17978,"10.1, 9.1",200 m +
18145,"9.2, 9.3, 9.8.3, 9.8.4",< 200 m
18175,"12.4, 12.7",< 20 m
18374,"12.7, 9.2",< 200 m
18376,"9.10, 9.4, 9.5, 9.6, 9.7, 9.9",< 200 m
18383,"9.1, 9.10",< 200 m
18428,9.10,< 200 m
18510,"NA",unknown
18596,"10.1, 10.2, 10.3, 9.1",200 m +
18878,9.10,< 200 m
19037,"NA",unknown
19038,"NA",unknown
19301,"NA",unknown
19302,"NA",unknown
19387,9.10,< 200 m
19388,9.10,< 200 m
19488,"10.1, 10.2, 10.3, 9.1",200 m +
19735,"12.4, 12.5, 12.7, 9.10",< 200 m
19798,"NA",unknown
19855,"10.1, 9.1",200 m +
19875,"NA",unknown
19896,"NA",unknown
19897,9.8.5,< 200 m
19898,"NA",unknown
19899,"NA",unknown
19938,"NA",unknown
19939,"NA",unknown
19950,"12.7, 9.2, 9.7, 9.8.2, 9.8.4, 9.9",< 200 m
20047,"10.1, 9.1",200 m +
20084,"NA",unknown
20085,"NA",unknown
20200,"NA",unknown
20268,"NA",unknown
20314,"10.1, 9.1, 9.10, 9.2, 9.4, 9.7",200 m +
20315,"10.1, 9.1, 9.7",200 m +
20316,"9.2, 9.7, 9.8.4, 9.9",< 200 m
20317,17,unknown
20318,"11.1.1, 11.1.2, 9.10, 9.2, 9.4, 9.7, 9.8.4",200 m +
20425,"9.1, 9.10",< 200 m
20724,"9.2, 9.3",< 200 m
20729,"10.1, 9.1",200 m +
20730,"10.1, 9.1",200 m +
20731,"10.1, 10.2, 9.1",200 m +
20732,"10.1, 9.1",200 m +
20733,"10.1, 9.1",200 m +
20738,"10.1, 9.1",200 m +
20795,9.7,< 200 m
20861,"NA",unknown
21257,"9.1, 9.6, 9.7, 9.9",< 200 m
21308,"NA",unknown
21309,"NA",unknown
21326,"12.7, 9.1",< 200 m
21341,"9.1, 9.2, 9.3, 9.4, 9.5, 9.6",< 200 m
21342,"9.2, 9.4",< 200 m
21343,"9.1, 9.2, 9.4, 9.5, 9.6",< 200 m
21500,"10.1, 10.2, 10.3",200 m +
21560,"NA",unknown
21561,"NA",unknown
21628,9.1,< 200 m
21681,"NA",unknown
21682,"NA",unknown
21689,"9.2, 9.7, 9.9",< 200 m
21855,"NA",unknown
21856,"10.1, 10.2, 9.1",200 m +
21857,"10.1, 10.2, 9.1",200 m +
21858,"10.1, 10.2, 10.3",200 m +
21859,"10.1, 10.2, 10.3, 9.1",200 m +
21860,"10.1, 10.2, 9.1",200 m +
21994,"9.1, 9.4",< 200 m
22003,"9.1, 9.3, 9.4, 9.5, 9.6",< 200 m
22103,"12.2, 12.4, 12.5, 12.7, 9.1, 9.1, 9.5, 9.6, 9.9",< 200 m
22104,"10.1, 12.5, 12.7, 9.1, 9.2, 9.3, 9.4, 9.5, 9.6, 9.9",200 m +
22105,"10.1, 12.5, 9.1, 9.9",200 m +
22106,"NA",unknown
22135,"NA",unknown
22136,"NA",unknown
22137,"NA",unknown
22138,"NA",unknown
22139,"NA",unknown
22140,"NA",unknown
22141,"NA",unknown
22563,"10.1, 9.1, 9.1",200 m +
22594,"NA",unknown
22823,"10.1, 12.1, 12.2, 12.3, 12.4, 13.1, 17",200 m +
23045,"NA",unknown
23090,"NA",unknown
23148,"10.1, 10.2, 10.3, 9.1",200 m +
23149,"NA",unknown
23163,"NA",unknown
23211,"10.1, 10.2, 10.3",200 m +
23259,"12.4, 9.1, 9.5, 9.7, 9.9",< 200 m
29609,"NA",unknown
31382,12.7,< 20 m
33705,12.7,< 20 m
34364,12.7,< 20 m
39302,"NA",unknown
39303,"9.2, 9.8.1, 9.8.2, 9.8.3",< 200 m
39304,"NA",unknown
39324,9.1,< 200 m
39327,"11.1.1, 11.1.2, 9.4, 9.5, 9.6",200 m +
39328,"9.10, 9.2, 9.4, 9.5, 9.6, 9.7",< 200 m
39329,"9.4, 9.5, 9.6",< 200 m
39330,"9.4, 9.5, 9.6",< 200 m
39331,"9.4, 9.5, 9.6",< 200 m
39332,"9.10, 9.2, 9.4",< 200 m
39333,"10.1, 9.2, 9.4, 9.7",200 m +
39334,"9.10, 9.2, 9.3, 9.4",< 200 m
39335,"9.2, 9.9",< 200 m
39336,9.1,< 200 m
39337,"10.1, 10.2, 9.1",200 m +
39338,"10.1, 10.2, 10.3, 9.1",200 m +
39339,"10.1, 10.2, 9.1",200 m +
39340,"10.1, 9.1",200 m +
39341,"10.1, 10.2",200 m +
39342,"10.1, 9.1",200 m +
39343,"10.1, 9.1",200 m +
39344,"10.1, 9.1",200 m +
39345,"9.2, 9.4, 9.7",< 200 m
39346,"NA",unknown
39347,"10.1, 10.2, 9.1",200 m +
39348,"NA",unknown
39349,"10.1, 9.1",200 m +
39350,9.1,< 200 m
39351,"9.3, 9.4, 9.9",< 200 m
39352,"10.1, 9.1",200 m +
39353,"NA",unknown
39354,"9.1, 9.4",< 200 m
39355,"11.1.1, 11.1.2, 9.3, 9.4",200 m +
39356,"10.1, 9.1",200 m +
39357,"9.3, 9.4, 9.5",< 200 m
39358,"11.1.2, 9.2, 9.3, 9.4, 9.5",200 m +
39359,9.1,< 200 m
39360,"NA",unknown
39361,"10.1, 9.1",200 m +
39362,"9.2, 9.4",< 200 m
39363,"9.2, 9.3, 9.4, 9.5, 9.6, 9.7",< 200 m
39365,"NA",unknown
39366,"9.10, 9.2, 9.3, 9.4, 9.5, 9.6",< 200 m
39367,"NA",unknown
39368,"12.2, 9.1",< 200 m
39369,"10.1, 9.1, 9.9",200 m +
39370,"10.1, 10.2, 9.1",200 m +
39371,9.5,< 200 m
39372,"9.1, 9.10",< 200 m
39373,"10.1, 9.1",200 m +
39374,10.1,200 m +
39375,"NA",unknown
39376,"10.1, 9.1",200 m +
39378,"10.1, 10.2, 9.1",200 m +
39379,9.10,< 200 m
39380,"10.1, 12.7, 9.10, 9.4",200 m +
39381,"10.1, 10.2, 9.1",200 m +
39382,"12.2, 9.10, 9.4, 9.5, 9.6",< 200 m
39383,"NA",unknown
39384,"10.1, 10.2, 9.1",200 m +
39385,"10.1, 10.2, 9.1",200 m +
39386,"10.1, 9.1, 9.8.4",200 m +
39387,"9.10, 9.4, 9.5, 9.6, 9.9",< 200 m
39388,9.1,< 200 m
39389,"12.2, 12.4, 12.7, 9.1, 9.10, 9.4, 9.5, 9.6, 9.8.4, 9.8.5, 9.9",< 200 m
39390,"12.4, 12.7, 9.4, 9.5, 9.6, 9.8.5, 9.9",< 200 m
39393,"12.2, 12.4, 12.7, 9.2, 9.3, 9.4, 9.5, 9.6, 9.8.5, 9.9",< 200 m
39394,"9.1, 9.10",< 200 m
39396,"10.1, 10.2",200 m +
39397,10.1,200 m +
39399,"9.4, 9.5, 9.6",< 200 m
39400,"9.4, 9.5",< 200 m
39412,"9.10, 9.4",< 200 m
39413,"9.4, 9.5",< 200 m
39415,"10.1, 9.10",200 m +
39416,"12.5, 9.1, 9.10, 9.7",< 200 m
39418,"10.1, 10.2, 9.1",200 m +
39427,"10.1, 9.1",200 m +
39465,"10.1, 9.1",200 m +
39541,"10.1, 9.1",200 m +
39543,"10.1, 9.1",200 m +
39544,"10.1, 9.1",200 m +
39545,"10.1, 9.1",200 m +
39771,"10.1, 9.1",200 m +
39773,"9.2, 9.3",< 200 m
39774,"12.6, 9.8.1, 9.8.3, 9.8.4",< 200 m
40635,"10.1, 10.2, 10.3",200 m +
40710,9.6,< 200 m
40711,"12.6, 9.2",< 200 m
40715,"12.5, 9.10, 9.2, 9.7, 9.8.4",< 200 m
40773,"15.11, 9.10, 9.2, 9.6, 9.7, 9.9",< 200 m
40784,"12.1, 12.2, 12.3, 13.1, 9.2",< 200 m
40797,9.1,< 200 m
40802,9.9,< 200 m
41005,"10.1, 12.4, 12.5, 12.7, 9.1, 9.10, 9.2, 9.9",200 m +
41006,"12.1, 15.11, 9.3, 9.4, 9.5, 9.6, 9.7, 9.9",< 200 m
41007,"9.10, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7, 9.9",< 200 m
41008,"12.7, 9.9",< 200 m
41009,18,unknown
41010,"9.6, 9.8.3, 9.8.5",< 200 m
41030,9.10,< 200 m
41064,"9.4, 9.5, 9.6",< 200 m
41664,"10.1, 10.2, 12.1, 13.1, 9.1",200 m +
41665,"10.1, 10.2, 12.1, 12.2, 12.3, 12.6, 13.1, 9.1",200 m +
41666,"10.1, 10.2, 12.1, 13.1, 9.1",200 m +
41667,"10.1, 12.1, 12.2, 13.1, 9.1",200 m +
41668,"10.1, 10.2, 12.1, 13.1, 9.1",200 m +
41670,"10.1, 10.2, 17, 9.1",200 m +
41671,"10.1, 10.2, 12.1, 13.1, 9.1",200 m +
41672,"10.1, 10.2, 17, 9.1",200 m +
41673,"10.1, 13.1, 17, 9.1, 9.2",200 m +
41677,"10.1, 12.2, 17, 9.1",200 m +
41711,"10.1, 9.1",200 m +
41712,"10.1, 9.1",200 m +
41713,10.1,200 m +
41714,"10.1, 9.1",200 m +
41715,"10.1, 9.1",200 m +
41716,"NA",unknown
41718,"11.1.1, 11.1.2, 11.5",deep oceanic
41719,10.1,200 m +
41720,"9.4, 9.5, 9.6",< 200 m
41721,9.6,< 200 m
41722,"11.1.1, 11.1.2, 9.6",200 m +
41723,"11.1.1, 11.1.2",deep oceanic
41724,"11.1.1, 11.1.2",deep oceanic
41725,"11.1.1, 11.1.2, 9.4, 9.5",200 m +
41726,"10.1, 9.1",200 m +
41727,"11.1.1, 11.1.2, 9.4, 9.5, 9.6, 9.9",200 m +
41728,9.4,< 200 m
41729,"9.2, 9.4",< 200 m
41730,"NA",unknown
41731,9.2,< 200 m
41732,"9.2, 9.9",< 200 m
41733,9.1,< 200 m
41734,"10.1, 9.1",200 m +
41735,9.1,< 200 m
41736,"10.1, 9.1",200 m +
41737,"10.1, 9.1",200 m +
41738,"10.1, 9.1",200 m +
41739,"10.1, 9.1",200 m +
41740,"11.1.1, 11.1.2, 11.5",deep oceanic
41741,"10.1, 9.1, 9.10",200 m +
41742,"10.1, 9.1, 9.10",200 m +
41743,"9.10, 9.4, 9.6",< 200 m
41745,10.1,200 m +
41746,"10.1, 9.1",200 m +
41747,10.1,200 m +
41749,10.1,200 m +
41752,10.1,200 m +
41753,"9.2, 9.3, 9.4, 9.5, 9.6, 9.7",< 200 m
41754,"10.1, 12.1, 12.2, 12.3, 12.4, 12.5, 12.7, 13.1, 9.1, 9.10, 9.2, 9.3, 9.4, 9.5, 9.6, 9.8.1, 9.8.3, 9.8.5, 9.9",200 m +
41755,"10.1, 10.2, 9.1",200 m +
41759,"10.1, 10.2, 10.3",200 m +
41760,"10.1, 10.2, 10.3",200 m +
41761,"10.1, 9.1",200 m +
41762,"10.1, 9.1",200 m +
41791,9.1,< 200 m
41792,9.1,< 200 m
41793,10.1,200 m +
41794,"10.1, 10.2, 11.1.1, 11.1.2",200 m +
41795,10.1,200 m +
41796,"10.1, 11.1.2, 9.10, 9.2, 9.4",200 m +
41797,"12.4, 9.1, 9.10, 9.9",< 200 m
41798,10.1,200 m +
41799,10.1,200 m +
41800,10.1,200 m +
41801,10.1,200 m +
41802,10.1,200 m +
41804,10.1,200 m +
41805,"11.1.1, 11.1.2",deep oceanic
41806,"11.1.1, 11.1.2",deep oceanic
41807,"11.1.1, 11.1.2",deep oceanic
41808,"11.1.1, 11.1.2",deep oceanic
41809,10.1,200 m +
41810,"9.10, 9.4, 9.5, 9.6",< 200 m
41811,11.1.2,deep oceanic
41812,"11.1.1, 11.1.2",deep oceanic
41813,"10.1, 9.1",200 m +
41814,10.1,200 m +
41816,"NA",unknown
41818,9.4,< 200 m
41819,"NA",unknown
41820,9.4,< 200 m
41821,"11.1.1, 11.1.2",deep oceanic
41822,"9.4, 9.5",< 200 m
41823,10.1,200 m +
41824,"9.2, 9.4, 9.7, 9.9",< 200 m
41825,"10.1, 9.1",200 m +
41826,10.1,200 m +
41827,10.1,200 m +
41828,"9.4, 9.5, 9.6",< 200 m
41829,"11.1.1, 11.1.2",deep oceanic
41830,10.1,200 m +
41831,10.1,200 m +
41832,10.1,200 m +
41833,"10.1, 9.1",200 m +
41835,"10.1, 9.1, 9.9",200 m +
41836,"9.1, 9.10, 9.9",< 200 m
41837,"12.1, 12.2, 12.3, 12.6, 15.11, 9.10, 9.2, 9.3, 9.4, 9.5, 9.7, 9.9",< 200 m
41838,"13.1, 15.11, 9.2, 9.4, 9.7",< 200 m
41839,9.2,< 200 m
41840,10.1,200 m +
41841,"9.2, 9.3, 9.4",< 200 m
41842,"9.2, 9.3, 9.4, 9.5, 9.7, 9.9",< 200 m
41843,"11.1.1, 11.1.2",deep oceanic
41844,"9.2, 9.4, 9.7, 9.9",< 200 m
41845,10.1,200 m +
41846,"9.10, 9.4, 9.5, 9.6",< 200 m
41848,"9.4, 9.5",< 200 m
41849,"10.1, 9.1, 9.10",200 m +
41850,"10.1, 9.1",200 m +
41851,"10.1, 9.1",200 m +
41852,"10.1, 9.1",200 m +
41853,"10.1, 9.1",200 m +
41854,"9.10, 9.2, 9.4, 9.5, 9.6",< 200 m
41855,10.1,200 m +
41856,10.1,200 m +
41857,10.1,200 m +
41858,"10.1, 10.2, 10.3",200 m +
41859,"10.1, 9.1",200 m +
41860,10.1,200 m +
41861,10.1,200 m +
41862,"9.2, 9.4, 9.5, 9.6, 9.9",< 200 m
41863,"11.1.1, 11.1.2",deep oceanic
41864,"9.2, 9.7",< 200 m
41866,"9.10, 9.4, 9.9",< 200 m
41870,"NA",unknown
41871,10.1,200 m +
41872,"9.2, 9.4, 9.5, 9.6, 9.9",< 200 m
