loiczid,n_spp,mean_risk,var_risk,log_mean_risk
12782,1,0,NA,NA
12783,1,0,NA,NA
12784,1,0,NA,NA
12785,1,0,NA,NA
12786,1,0,NA,NA
12787,1,0,NA,NA
12788,2,0,0,NA
12789,2,0,0,NA
12790,2,0,0,NA
12791,2,0,0,NA
12792,2,0,0,NA
12793,2,0,0,NA
12794,2,0,0,NA
12795,2,0,0,NA
12796,1,0,NA,NA
12797,1,0,NA,NA
12798,1,0,NA,NA
12799,1,0,NA,NA
12800,1,0,NA,NA
13127,1,0,NA,NA
13128,1,0,NA,NA
13129,1,0,NA,NA
13130,1,0,NA,NA
13131,1,0,NA,NA
13138,1,0,NA,NA
13139,1,0,NA,NA
13140,1,0,NA,NA
13141,1,0,NA,NA
13142,1,0,NA,NA
13143,1,0,NA,NA
13144,1,0,NA,NA
13145,1,0,NA,NA
13146,1,0,NA,NA
13147,1,0,NA,NA
13148,1,0,NA,NA
13149,1,0,NA,NA
13150,1,0,NA,NA
13151,1,0,NA,NA
13152,1,0,NA,NA
13153,1,0,NA,NA
13154,1,0,NA,NA
13155,1,0,NA,NA
13156,1,0,NA,NA
13157,1,0,NA,NA
13158,1,0,NA,NA
13159,1,0,NA,NA
13160,1,0,NA,NA
13161,1,0,NA,NA
13162,2,0,0,NA
13163,2,0,0,NA
13164,1,0,NA,NA
13165,2,0,0,NA
13166,2,0,0,NA
13167,2,0,0,NA
13182,2,0,0,NA
13183,2,0,0,NA
13184,2,0,0,NA
13185,2,0,0,NA
13186,2,0,0,NA
13187,2,0,0,NA
13188,2,0,0,NA
13189,2,0,0,NA
13190,2,0,0,NA
13191,2,0,0,NA
13275,1,0,NA,NA
13284,1,0,NA,NA
13285,1,0,NA,NA
13286,2,0,0,NA
13287,2,0,0,NA
13288,4,0,0,NA
13289,5,0,0,NA
13290,7,0,0,NA
13291,7,0,0,NA
13292,9,0,0,NA
13293,7,0,0,NA
13294,9,0,0,NA
13295,8,0,0,NA
13296,7,0,0,NA
13297,7,0,0,NA
13298,6,0,0,NA
13299,6,0,0,NA
13300,6,0,0,NA
13301,6,0,0,NA
13302,6,0,0,NA
13303,6,0,0,NA
13304,4,0,0,NA
13305,5,0,0,NA
13306,2,0,0,NA
13307,1,0,NA,NA
13308,1,0,NA,NA
13309,1,0,NA,NA
13310,1,0,NA,NA
13311,1,0,NA,NA
13320,1,0,NA,NA
13322,1,0,NA,NA
13323,1,0,NA,NA
13324,2,0,0,NA
13325,2,0,0,NA
13326,3,0,0,NA
13327,2,0,0,NA
13328,3,0,0,NA
13329,4,0,0,NA
13330,5,0,0,NA
13331,4,0,0,NA
13332,4,0,0,NA
13333,4,0,0,NA
13334,6,0,0,NA
13335,5,0,0,NA
13336,5,0,0,NA
13337,4,0,0,NA
13338,5,0,0,NA
13339,4,0,0,NA
13340,5,0,0,NA
13341,4,0,0,NA
13342,5,0,0,NA
13343,5,0,0,NA
13344,5,0,0,NA
13345,5,0,0,NA
13346,5,0,0,NA
13347,4,0,0,NA
13348,4,0,0,NA
13349,4,0,0,NA
13350,5,0,0,NA
13351,5,0,0,NA
13352,5,0,0,NA
13353,4,0,0,NA
13354,4,0,0,NA
13355,5,0,0,NA
13356,5,0,0,NA
13357,5,0,0,NA
13358,5,0,0,NA
13359,4,0,0,NA
13360,5,0,0,NA
13361,5,0,0,NA
13362,5,0,0,NA
13363,3,0,0,NA
13364,4,0,0,NA
13365,4,0,0,NA
13366,4,0,0,NA
13367,4,0,0,NA
13368,4,0,0,NA
13369,4,0,0,NA
13370,4,0,0,NA
13371,4,0,0,NA
13372,4,0,0,NA
13373,6,0,0,NA
13374,5,0,0,NA
13375,4,0,0,NA
13376,4,0,0,NA
13377,4,0,0,NA
13378,4,0,0,NA
13379,3,0,0,NA
13380,3,0,0,NA
13381,3,0,0,NA
13382,2,0,0,NA
13383,1,0,NA,NA
13384,1,0,NA,NA
13385,1,0,NA,NA
13386,2,0,0,NA
13387,2,0,0,NA
13388,2,0,0,NA
13389,1,0,NA,NA
13390,2,0,0,NA
13391,2,0,0,NA
13392,2,0,0,NA
13393,2,0,0,NA
13394,1,0,NA,NA
13395,2,0,0,NA
13396,2,0,0,NA
13397,2,0,0,NA
13398,2,0,0,NA
13399,1,0,NA,NA
13400,2,0,0,NA
13401,3,0,0,NA
13402,3,0,0,NA
13403,3,0,0,NA
13404,2,0,0,NA
13405,3,0,0,NA
13406,3,0,0,NA
13407,3,0,0,NA
13408,3,0,0,NA
13409,3,0,0,NA
13410,4,0,0,NA
13411,4,0,0,NA
13412,4,0,0,NA
13413,3,0,0,NA
13414,4,0,0,NA
13415,6,0,0,NA
13416,6,0,0,NA
13417,6,0,0,NA
13418,6,0,0,NA
13419,6,0,0,NA
13420,3,0,0,NA
13421,5,0,0,NA
13422,6,0,0,NA
13423,2,0,0,NA
13424,2,0,0,NA
13425,5,0,0,NA
13426,5,0,0,NA
13427,6,0,0,NA
13428,6,0,0,NA
13429,6,0,0,NA
13430,6,0,0,NA
13431,4,0,0,NA
13432,4,0,0,NA
13433,4,0,0,NA
13434,4,0,0,NA
13435,4,0,0,NA
13436,4,0,0,NA
13437,4,0,0,NA
13438,5,0,0,NA
13439,4,0,0,NA
13440,4,0,0,NA
13441,2,0,0,NA
13442,3,0,0,NA
13443,3,0,0,NA
13444,3,0,0,NA
13445,3,0,0,NA
13446,3,0,0,NA
13447,3,0,0,NA
13448,2,0,0,NA
13449,2,0,0,NA
13450,2,0,0,NA
13451,1,0,NA,NA
13452,1,0,NA,NA
13468,1,0,NA,NA
13469,1,0,NA,NA
13470,2,0,0,NA
13471,2,0,0,NA
13472,2,0,0,NA
13473,2,0,0,NA
13474,2,0,0,NA
13475,2,0,0,NA
13476,2,0,0,NA
13477,1,0,NA,NA
13478,1,0,NA,NA
13479,2,0,0,NA
13480,2,0,0,NA
13481,1,0,NA,NA
13482,1,0,NA,NA
13483,1,0,NA,NA
13484,1,0,NA,NA
13485,1,0,NA,NA
13486,1,0,NA,NA
13498,1,0,NA,NA
13499,1,0,NA,NA
13500,1,0,NA,NA
13501,1,0,NA,NA
13502,1,0,NA,NA
13503,2,0,0,NA
13504,4,0,0,NA
13505,5,0,0,NA
13506,2,0,0,NA
13507,4,0,0,NA
13514,1,0,NA,NA
13515,2,0,0,NA
13516,2,0,0,NA
13517,2,0,0,NA
13518,2,0,0,NA
13519,2,0,0,NA
13520,1,0,NA,NA
13521,1,0,NA,NA
13522,1,0,NA,NA
13523,1,0,NA,NA
13838,1,0,NA,NA
13839,1,0,NA,NA
13840,1,0,NA,NA
13841,1,0,NA,NA
13842,1,0,NA,NA
13843,1,0,NA,NA
13844,1,0,NA,NA
13845,1,0,NA,NA
13847,1,0,NA,NA
13848,1,0,NA,NA
13849,1,0,NA,NA
13850,1,0,NA,NA
13851,1,0,NA,NA
13862,1,0,NA,NA
13863,1,0,NA,NA
13864,1,0,NA,NA
13865,1,0,NA,NA
13866,1,0,NA,NA
13867,1,0,NA,NA
13868,1,0,NA,NA
13869,1,0,NA,NA
13870,1,0,NA,NA
13871,1,0,NA,NA
13872,1,0,NA,NA
13873,1,0,NA,NA
13874,1,0,NA,NA
13875,1,0,NA,NA
13876,1,0,NA,NA
13877,1,0,NA,NA
13878,1,0,NA,NA
13879,1,0,NA,NA
13898,1,0,NA,NA
13899,2,0,0,NA
13900,2,0,0,NA
13901,2,0,0,NA
