loiczid,lat
118461,7.75
118462,7.75
119183,7.25
119184,7.25
118463,7.75
118464,7.75
119185,7.25
119186,7.25
118465,7.75
118466,7.75
119187,7.25
119188,7.25
118467,7.75
118468,7.75
119189,7.25
119190,7.25
118469,7.75
118470,7.75
117741,8.25
117742,8.25
117021,8.75
117022,8.75
117743,8.25
117744,8.25
117023,8.75
117024,8.75
117745,8.25
117746,8.25
117025,8.75
117026,8.75
117747,8.25
117748,8.25
117027,8.75
117028,8.75
117749,8.25
117750,8.25
117029,8.75
117030,8.75
116301,9.25
116302,9.25
115581,9.75
115582,9.75
116303,9.25
116304,9.25
115583,9.75
115584,9.75
116305,9.25
116306,9.25
115585,9.75
115586,9.75
116307,9.25
116308,9.25
115587,9.75
115588,9.75
116309,9.25
116310,9.25
115589,9.75
115590,9.75
122071,5.25
122072,5.25
121351,5.75
121352,5.75
122073,5.25
122074,5.25
121353,5.75
121354,5.75
122075,5.25
122076,5.25
121355,5.75
121356,5.75
122077,5.25
122078,5.25
121357,5.75
121358,5.75
122079,5.25
122080,5.25
121359,5.75
121360,5.75
120631,6.25
120632,6.25
119911,6.75
119912,6.75
120633,6.25
120634,6.25
119913,6.75
119914,6.75
120635,6.25
120636,6.25
119915,6.75
119916,6.75
120637,6.25
120638,6.25
119917,6.75
119918,6.75
120639,6.25
120640,6.25
119919,6.75
119920,6.75
119191,7.25
119192,7.25
118471,7.75
118472,7.75
119193,7.25
119194,7.25
118473,7.75
118474,7.75
119195,7.25
119196,7.25
118475,7.75
118476,7.75
119197,7.25
119198,7.25
118477,7.75
118478,7.75
119199,7.25
119200,7.25
118479,7.75
118480,7.75
117751,8.25
117752,8.25
117031,8.75
117032,8.75
117753,8.25
117754,8.25
117033,8.75
117034,8.75
117755,8.25
117756,8.25
117035,8.75
117036,8.75
117757,8.25
117758,8.25
117037,8.75
117038,8.75
117759,8.25
117760,8.25
117039,8.75
117040,8.75
116311,9.25
116312,9.25
115591,9.75
115592,9.75
116313,9.25
116314,9.25
115593,9.75
115594,9.75
116315,9.25
116316,9.25
115595,9.75
115596,9.75
116317,9.25
116318,9.25
115597,9.75
115598,9.75
116319,9.25
116320,9.25
115599,9.75
115600,9.75
129281,0.25
129282,0.25
128561,0.75
128562,0.75
129283,0.25
129284,0.25
128563,0.75
128564,0.75
129285,0.25
129286,0.25
128565,0.75
128566,0.75
129287,0.25
129288,0.25
128567,0.75
128568,0.75
129289,0.25
129290,0.25
128569,0.75
128570,0.75
127841,1.25
127842,1.25
127121,1.75
127122,1.75
127843,1.25
127844,1.25
127123,1.75
127124,1.75
127845,1.25
127846,1.25
127125,1.75
127126,1.75
127847,1.25
127848,1.25
127127,1.75
127128,1.75
127849,1.25
127850,1.25
127129,1.75
127130,1.75
126401,2.25
126402,2.25
125681,2.75
125682,2.75
126403,2.25
126404,2.25
125683,2.75
125684,2.75
126405,2.25
126406,2.25
125685,2.75
125686,2.75
126407,2.25
126408,2.25
