iucn_sid,sciname,lme_id,cat_score,cat_current,rgns,cat_score_global
22680358,Aythya ferina,22,0.4,VU,europe,0.4
22680358,Aythya ferina,23,0.4,VU,europe,0.4
22680358,Aythya ferina,24,0.4,VU,europe,0.4
22680358,Aythya ferina,25,0.4,VU,europe,0.4
22680358,Aythya ferina,26,0.4,VU,europe,0.4
22680358,Aythya ferina,59,0.4,VU,europe,0.4
22680391,Aythya fuligula,20,0,LC,europe,0
22680391,Aythya fuligula,21,0,LC,europe,0
22680391,Aythya fuligula,22,0,LC,europe,0
22680391,Aythya fuligula,23,0,LC,europe,0
22680391,Aythya fuligula,24,0,LC,europe,0
22680391,Aythya fuligula,25,0,LC,europe,0
22680391,Aythya fuligula,26,0,LC,europe,0
22680391,Aythya fuligula,59,0,LC,europe,0
22680398,Aythya marila,20,0.4,VU,europe,0
22680398,Aythya marila,21,0.4,VU,europe,0
22680398,Aythya marila,22,0.4,VU,europe,0
22680398,Aythya marila,23,0.4,VU,europe,0
22680398,Aythya marila,24,0.4,VU,europe,0
22680398,Aythya marila,25,0.4,VU,europe,0
22680398,Aythya marila,26,0.4,VU,europe,0
22680398,Aythya marila,59,0.4,VU,europe,0
22680405,Somateria mollissima,20,0.4,VU,europe,0.2
22680405,Somateria mollissima,21,0.4,VU,europe,0.2
22680405,Somateria mollissima,22,0.4,VU,europe,0.2
22680405,Somateria mollissima,23,0.4,VU,europe,0.2
22680405,Somateria mollissima,24,0.4,VU,europe,0.2
22680405,Somateria mollissima,25,0.4,VU,europe,0.2
22680405,Somateria mollissima,26,0.4,VU,europe,0.2
22680405,Somateria mollissima,59,0.4,VU,europe,0.2
22680409,Somateria spectabilis,20,0,LC,europe,0
22680409,Somateria spectabilis,21,0,LC,europe,0
22680409,Somateria spectabilis,22,0,LC,europe,0
22680409,Somateria spectabilis,23,0,LC,europe,0
22680409,Somateria spectabilis,24,0,LC,europe,0
22680409,Somateria spectabilis,25,0,LC,europe,0
22680409,Somateria spectabilis,26,0,LC,europe,0
22680409,Somateria spectabilis,59,0,LC,europe,0
22680415,Polysticta stelleri,20,0,LC,europe,0.4
22680415,Polysticta stelleri,21,0,LC,europe,0.4
22680415,Polysticta stelleri,22,0,LC,europe,0.4
22680415,Polysticta stelleri,23,0,LC,europe,0.4
22680415,Polysticta stelleri,24,0,LC,europe,0.4
22680415,Polysticta stelleri,25,0,LC,europe,0.4
22680415,Polysticta stelleri,26,0,LC,europe,0.4
22680415,Polysticta stelleri,59,0,LC,europe,0.4
22680423,Histrionicus histrionicus,20,0,LC,europe,0
22680423,Histrionicus histrionicus,21,0,LC,europe,0
22680423,Histrionicus histrionicus,22,0,LC,europe,0
22680423,Histrionicus histrionicus,23,0,LC,europe,0
22680423,Histrionicus histrionicus,24,0,LC,europe,0
22680423,Histrionicus histrionicus,25,0,LC,europe,0
22680423,Histrionicus histrionicus,26,0,LC,europe,0
22680423,Histrionicus histrionicus,59,0,LC,europe,0
22680427,Clangula hyemalis,20,0.4,VU,europe,0.4
22680427,Clangula hyemalis,21,0.4,VU,europe,0.4
22680427,Clangula hyemalis,22,0.4,VU,europe,0.4
22680427,Clangula hyemalis,23,0.4,VU,europe,0.4
22680427,Clangula hyemalis,24,0.4,VU,europe,0.4
22680427,Clangula hyemalis,25,0.4,VU,europe,0.4
22680427,Clangula hyemalis,26,0.4,VU,europe,0.4
22680427,Clangula hyemalis,59,0.4,VU,europe,0.4
22680455,Bucephala clangula,20,0,LC,europe,0
22680455,Bucephala clangula,21,0,LC,europe,0
22680455,Bucephala clangula,22,0,LC,europe,0
22680455,Bucephala clangula,23,0,LC,europe,0
22680455,Bucephala clangula,24,0,LC,europe,0
22680455,Bucephala clangula,25,0,LC,europe,0
22680455,Bucephala clangula,26,0,LC,europe,0
22680455,Bucephala clangula,59,0,LC,europe,0
22680465,Mergellus albellus,20,0,LC,europe,0
22680465,Mergellus albellus,21,0,LC,europe,0
22680465,Mergellus albellus,22,0,LC,europe,0
22680465,Mergellus albellus,23,0,LC,europe,0
22680465,Mergellus albellus,24,0,LC,europe,0
22680465,Mergellus albellus,25,0,LC,europe,0
22680465,Mergellus albellus,26,0,LC,europe,0
22680465,Mergellus albellus,59,0,LC,europe,0
22680485,Mergus serrator,20,0.2,NT,europe,0
22680485,Mergus serrator,21,0.2,NT,europe,0
22680485,Mergus serrator,22,0.2,NT,europe,0
22680485,Mergus serrator,23,0.2,NT,europe,0
22680485,Mergus serrator,24,0.2,NT,europe,0
22680485,Mergus serrator,25,0.2,NT,europe,0
22680485,Mergus serrator,26,0.2,NT,europe,0
22680485,Mergus serrator,59,0.2,NT,europe,0
22680492,Mergus merganser,20,0,LC,europe,0
22680492,Mergus merganser,21,0,LC,europe,0
22680492,Mergus merganser,22,0,LC,europe,0
22680492,Mergus merganser,23,0,LC,europe,0
22680492,Mergus merganser,24,0,LC,europe,0
22680492,Mergus merganser,25,0,LC,europe,0
22680492,Mergus merganser,26,0,LC,europe,0
22680492,Mergus merganser,59,0,LC,europe,0
