iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
190742,Chlorurus strongylocephalus,Indian Ocean Steephead Parrotfish,2012,LC,NA,LC,0,2018-1
190743,Scarus ovifrons,Knobsnout Parrotfish,2012,DD,NA,DD,NA,2018-1
190744,Chlorurus bleekeri,Bleeker's Parrotfish,2012,LC,NA,LC,0,2018-1
190745,Hipposcarus longiceps,Pacific Longnose Parrotfish,2012,LC,NA,LC,0,2018-1
190746,Chlorurus oedema,Knothead Parrotfish,2012,LC,NA,LC,0,2018-1
190747,Scarus forsteni,Forsten's Parrotfish,2012,LC,NA,LC,0,2018-1
190748,Scarus trispinosus,Greenback Parrotfish,2012,EN,A2d,EN,0.6,2018-1
190749,Scarus pyrrostethus,Blue Banded Parrotfish,2012,LC,NA,LC,0,2018-1
190750,Scarus taeniopterus,Princess Parrotfish,2012,LC,NA,LC,0,2018-1
190751,Sparisoma axillare,Gray Parrotfish,2012,DD,NA,DD,NA,2018-1
190752,Scarus zufar,Dhofar Parrotfish,2012,DD,NA,DD,NA,2018-1
190753,Chlorurus gibbus,Heavybeak Parrotfish,2012,LC,NA,LC,0,2018-1
190754,Scarus koputea,Marquesan Parrotfish,2012,LC,NA,LC,0,2018-1
190755,Scarus frenatus,Bridled Parrotfish,2012,LC,NA,LC,0,2018-1
190756,Leptoscarus vaigiensis,Marbled Parrotfish,2012,LC,NA,LC,0,2018-1
190757,Cryptotomus roseus,Bluelip Parrotfish,2012,LC,NA,LC,0,2018-1
190758,Chlorurus genazonatus,Sinai Parrotfish,2012,LC,NA,LC,0,2018-1
190759,Scarus ferrugineus,Rusty Parrotfish,2012,LC,NA,LC,0,2018-1
190760,Scarus zelindae,Zelinda's Parrotfish,2012,DD,NA,DD,NA,2018-1
190761,Scarus hypselopterus,Yellow-tail Parrotfish,2012,NT,NA,NT,0.2,2018-1
190762,Chlorurus frontalis,Tan-faced Parrotfish,2012,LC,NA,LC,0,2018-1
190763,Scarus arabicus,Arabian Parrotfish,2012,LC,NA,LC,0,2018-1
190764,Scarus chinensis,NA,2012,DD,NA,DD,NA,2018-1
