loiczid,clust_100,clust_150,clust_250,clust_500
17741,88,125,192,254
17742,88,125,192,254
17743,88,125,192,254
17744,88,125,192,254
17745,88,125,192,254
17746,88,125,192,254
17747,88,125,192,254
17748,88,125,192,254
17749,88,125,192,254
17750,88,125,192,254
17751,88,125,192,254
17752,88,125,192,254
17753,88,125,192,254
17754,88,125,192,254
17755,88,125,192,254
17756,88,125,192,254
17757,88,125,192,254
17758,88,125,192,254
17759,88,125,192,254
17761,8,125,192,254
17781,8,115,52,391
17782,8,115,52,391
17783,8,115,52,391
17784,8,115,52,391
17785,8,115,52,391
17786,8,115,52,391
17787,8,115,52,391
17788,8,115,52,391
17796,8,115,52,391
17797,8,115,52,391
17798,8,115,52,391
17799,8,115,52,391
17800,8,115,52,391
17801,8,115,52,391
17802,8,115,52,391
17803,8,115,52,391
17804,8,115,52,391
17805,8,115,52,391
17806,8,115,52,391
17807,8,115,52,391
17810,8,115,52,391
17816,8,115,52,391
17817,8,115,52,391
17818,8,115,52,391
17819,8,115,52,391
17820,8,115,52,391
17850,8,115,52,109
17851,8,115,52,109
17852,8,115,52,109
17853,8,115,52,109
17854,8,115,52,109
17855,8,115,52,109
17856,8,115,52,109
17857,8,115,52,109
17858,8,115,52,109
17859,8,115,52,109
17864,8,115,52,109
18191,11,4,34,416
18192,11,4,34,416
18193,11,4,34,416
18197,11,4,34,416
18201,11,4,34,416
18202,11,4,34,416
18203,11,4,34,416
18204,11,4,34,416
18205,11,4,34,416
18206,11,4,34,416
18207,11,4,34,416
18208,11,4,34,416
18209,11,4,34,416
18210,11,4,34,416
18211,11,4,34,416
18212,11,4,34,416
18213,11,4,34,416
18214,11,4,34,416
18215,11,4,34,416
18216,11,4,34,416
18217,11,4,34,416
18218,11,4,34,416
18219,11,4,34,416
18220,11,4,34,416
18221,11,4,34,416
18222,11,4,34,416
18223,11,4,34,416
18224,11,4,34,416
18225,11,4,34,416
18226,11,4,34,416
18227,11,4,34,416
18408,88,70,180,496
18409,88,70,180,496
18410,88,70,180,496
18411,88,70,180,496
18412,88,70,180,496
18413,88,70,180,496
18414,88,70,180,496
18415,88,70,180,496
18416,88,70,180,496
18417,88,70,180,496
18418,88,70,180,308
18419,88,70,180,308
18420,88,70,180,308
18421,88,70,180,308
18422,88,70,180,308
18423,88,70,180,308
18424,88,70,180,308
18425,88,70,180,308
18426,88,70,180,308
18427,88,70,180,308
18428,88,70,180,308
18429,88,70,180,308
18430,88,70,180,308
18431,88,70,180,308
18432,88,70,180,308
18433,88,70,180,308
18434,88,70,180,308
18435,88,70,180,308
18436,88,70,180,308
18437,88,70,180,308
18438,88,70,180,308
18439,88,70,180,308
18440,88,70,180,308
18441,88,70,180,308
18442,88,70,180,308
18443,88,70,180,308
18444,88,70,180,308
18445,88,70,180,308
18446,88,70,180,308
18447,88,70,180,308
18448,88,70,180,308
18449,88,70,180,308
18450,88,70,180,254
18451,88,70,180,254
18452,88,70,180,254
18453,88,70,180,254
18454,88,70,180,254
18455,88,70,180,254
18456,88,125,180,254
18457,88,125,180,254
18458,88,125,180,254
18459,88,125,180,254
18460,88,125,192,254
18461,88,125,192,254
18462,88,125,192,254
18463,88,125,192,254
18464,88,125,192,254
18465,88,125,192,254
18466,88,125,192,254
18467,88,125,192,254
18468,88,125,192,254
18469,88,125,192,254
18470,88,125,192,254
18471,88,125,192,254
18472,88,125,192,254
18473,88,125,192,254
18474,88,125,192,254
18475,88,125,192,254
18476,88,125,192,254
18477,88,125,192,254
18478,88,125,192,254
18479,88,125,192,254
18480,88,125,192,254
18481,8,125,192,254
18482,8,125,192,254
18491,8,125,192,479
18492,8,125,192,479
18493,8,115,52,479
18494,8,115,52,479
18495,8,115,52,479
18496,8,115,52,479
18497,8,115,52,391
18498,8,115,52,391
18499,8,115,52,391
18502,8,115,52,391
18503,8,115,52,391
18504,8,115,52,391
18505,8,115,52,391
18506,8,115,52,391
18507,8,115,52,391
18508,8,115,52,391
18509,8,115,52,391
18510,8,115,52,391
18511,8,115,52,391
18512,8,115,52,391
18513,8,115,52,391
18514,8,115,52,391
18515,8,115,52,391
18516,8,115,52,391
18517,8,115,52,391
18518,8,115,52,391
18519,8,115,52,391
18520,8,115,52,391
18521,8,115,52,391
18522,8,115,52,391
18523,8,115,52,391
18524,8,115,52,391
18525,8,115,52,391
18526,8,115,52,391
18527,8,115,52,391
18528,8,115,52,391
18529,8,115,52,391
18530,8,115,52,391
18531,8,115,52,391
18532,8,115,52,391
18533,8,115,52,391
18534,8,115,52,391
18535,8,115,52,391
18536,8,115,52,391
18537,8,115,52,391
18538,8,115,52,391
18539,8,115,52,391
18574,8,115,52,109
18575,8,115,52,109
18576,8,115,52,109
18577,8,115,52,109
18578,8,115,52,109
18579,8,115,52,109
18580,8,115,52,109
18581,8,115,52,109
18582,8,115,52,109
18583,8,115,52,109
18584,8,115,52,109
18585,8,115,52,109
18910,11,4,34,416
18911,11,4,34,416
18916,11,4,34,416
18918,11,4,34,416
18925,11,4,34,416
18926,11,4,34,416
18927,11,4,34,416
18928,11,4,34,416
18929,11,4,34,416
18930,11,4,34,416
18931,11,4,34,416
18932,11,4,34,416
18933,11,4,34,416
18934,11,4,34,416
18935,11,4,34,416
18936,11,4,34,416
18937,11,4,34,416
18938,11,4,34,416
18939,11,4,34,416
18940,11,4,34,416
18941,11,4,34,416
18942,11,4,34,416
18943,11,4,34,416
18944,11,4,34,416
19128,88,70,180,496
19129,88,70,180,496
19130,88,70,180,496
19131,88,70,180,496
19132,88,70,180,496
19133,88,70,180,496
19134,88,70,180,496
19135,88,70,180,496
19136,88,70,180,496
19137,88,70,180,496
19138,88,70,180,308
19139,88,70,180,308
19140,88,70,180,308
19141,88,70,180,308
19142,88,70,180,308
19143,88,70,180,308
19144,88,70,180,308
19145,88,70,180,308
19146,88,70,180,308
19147,88,70,180,308
19148,88,70,180,308
19149,88,70,180,308
19150,88,70,180,308
19151,88,70,180,308
19152,88,70,180,308
19153,88,70,180,308
19154,88,70,180,308
19155,88,70,180,308
19156,88,70,180,308
19157,88,70,180,308
19158,88,70,180,308
19159,88,70,180,308
19160,88,70,180,308
19161,88,70,180,308
19162,88,70,180,308
19163,88,70,180,308
19164,88,70,180,308
19165,88,70,180,308
19166,88,70,180,308
19167,88,70,180,308
19168,88,70,180,308
19169,88,70,180,308
19170,88,70,180,254
19171,88,70,180,254
19172,88,70,180,254
19173,88,70,180,254
19174,88,70,180,254
19175,88,125,180,254
19176,88,125,180,254
19177,88,125,180,254
19178,88,125,192,254
19179,88,125,192,254
19180,88,125,192,254
19181,88,125,192,254
19182,88,125,192,254
19183,88,125,192,254
19184,88,125,192,254
19185,88,125,192,254
19186,88,125,192,254
19187,88,125,192,254
19188,88,125,192,254
19189,88,125,192,254
19190,88,125,192,254
19191,88,125,192,254
19192,88,125,192,254
19193,88,125,192,254
19194,88,125,192,254
19195,88,125,192,254
19196,88,125,192,254
19197,88,125,192,254
19198,88,125,192,254
19199,88,125,192,254
19200,88,125,192,254
19201,8,125,192,254
19209,8,125,192,479
19210,8,125,192,479
19211,8,125,192,479
19212,8,125,192,479
19213,8,125,52,479
19214,8,115,52,479
19215,8,115,52,479
19218,8,115,52,391
19219,8,115,52,391
19220,8,115,52,391
19221,8,115,52,391
19222,8,115,52,391
19223,8,115,52,391
19224,8,115,52,391
19225,8,115,52,391
19226,8,115,52,391
19227,8,115,52,391
19228,8,115,52,391
19229,8,115,52,391
19230,8,115,52,391
19231,8,115,52,391
19232,8,115,52,391
19233,8,115,52,391
19236,8,115,52,391
19237,8,115,52,391
19238,8,115,52,391
19239,8,115,52,391
19240,8,115,52,391
19241,8,115,52,391
19242,8,115,52,391
19243,8,115,52,391
19244,8,115,52,391
19246,8,115,52,391
19247,8,115,52,391
19248,8,115,52,391
19249,8,115,52,391
19250,8,115,52,391
19251,8,115,52,391
19252,8,115,52,391
19253,8,115,52,391
19254,8,115,52,391
19255,8,115,52,391
19256,8,115,52,391
19257,8,115,52,391
19258,8,115,52,391
19267,8,115,52,391
19268,8,115,52,391
19275,8,115,52,391
19276,8,115,52,391
19277,8,115,52,391
19278,8,115,52,391
19279,8,115,52,391
19280,8,115,52,109
19281,8,115,52,109
19297,8,115,52,109
19298,8,115,52,109
19299,8,115,52,109
19300,8,115,52,109
19301,8,115,52,109
19302,8,115,52,109
19303,8,115,52,109
19304,8,115,52,109
19305,8,115,52,109
19306,8,115,52,109
19307,8,115,52,109
19309,35,115,52,109
19346,35,14,27,109
19347,35,14,27,109
19348,35,14,27,109
19349,35,14,27,109
19352,35,14,27,109
19608,11,12,34,416
19613,11,4,34,416
19623,11,4,34,416
19624,11,4,34,416
19625,11,4,34,416
19626,11,4,34,416
19627,11,4,34,416
19628,11,4,34,416
19630,11,4,34,416
19631,11,4,34,416
19632,11,4,34,416
19633,11,4,34,416
19634,11,4,34,416
19635,11,4,34,416
19636,11,4,34,416
19637,11,4,34,416
19638,11,4,34,416
19639,11,4,34,416
19640,11,4,34,416
19641,11,4,34,416
19642,11,4,34,416
19643,11,4,34,416
19644,11,4,34,416
19645,11,4,34,416
19646,11,4,34,416
19647,11,4,34,416
19648,11,4,34,416
19649,11,4,34,416
19650,11,4,34,416
19651,11,4,34,416
19652,11,4,34,416
19653,11,4,34,416
19654,11,4,34,416
19655,11,4,34,416
19656,11,4,34,416
19657,11,4,34,416
19658,11,4,34,416
19659,11,4,34,416
19660,11,4,34,416
19661,11,4,34,416
19662,11,4,34,416
19663,11,4,34,416
19664,11,4,34,416
19665,11,4,34,416
19666,11,4,34,416
19667,11,4,34,416
19668,11,4,34,416
19669,11,4,34,416
19670,11,4,34,416
19671,11,4,34,416
19672,11,4,34,416
19673,11,4,34,416
19674,11,4,34,416
19675,11,4,34,67
19676,11,4,34,67
19677,11,4,34,67
19678,11,4,34,67
19679,11,4,34,67
19680,11,4,34,67
19776,97,27,42,418
19777,97,27,42,418
19846,88,70,180,496
19847,88,70,180,496
19848,88,70,180,496
19849,88,70,180,496
19850,88,70,180,496
19851,88,70,180,496
19852,88,70,180,496
19853,88,70,180,496
19854,88,70,180,496
19855,88,70,180,496
19856,88,70,180,496
19857,88,70,180,308
19858,88,70,180,308
19859,88,70,180,308
19860,88,70,180,308
19861,88,70,180,308
19862,88,70,180,308
19863,88,70,180,308
19864,88,70,180,308
19865,88,70,180,308
19866,88,70,180,308
19867,88,70,180,308
19868,88,70,180,308
19869,88,70,180,308
19870,88,70,180,308
19871,88,70,180,308
19872,88,70,180,308
19873,88,70,180,308
19874,88,70,180,308
19875,88,70,180,308
19876,88,70,180,308
19877,88,70,180,308
19878,88,70,180,308
19879,88,70,180,308
19880,88,70,180,308
19881,88,70,180,308
19882,88,70,180,308
19883,88,70,180,308
19884,88,70,180,308
19885,88,70,180,308
19886,88,70,180,308
19887,88,70,180,308
19888,88,70,180,308
19889,88,70,180,308
19890,88,70,180,254
19891,88,70,180,254
19892,88,70,180,254
19893,88,70,180,254
19894,88,125,180,254
19895,88,125,180,254
19896,88,125,180,254
19897,88,125,192,254
19898,88,125,192,254
19899,88,125,192,254
19900,88,125,192,254
19901,88,125,192,254
19902,88,125,192,254
19903,88,125,192,254
19904,88,125,192,254
19905,88,125,192,254
19906,88,125,192,254
19907,88,125,192,254
19908,88,125,192,254
19909,88,125,192,254
19910,88,125,192,254
19911,88,125,192,254
19912,88,125,192,254
19913,88,125,192,254
19914,88,125,192,254
19915,88,125,192,254
19916,88,125,192,254
19917,88,125,192,254
19918,88,125,192,254
19919,88,125,192,254
19920,88,125,192,254
19921,8,125,192,254
19922,8,125,192,254
19923,8,125,192,254
19929,8,125,192,479
19930,8,125,192,479
19934,8,115,52,479
19935,8,115,52,479
19936,8,115,52,479
19937,8,115,52,479
19938,8,115,52,479
19939,8,115,52,391
19940,8,115,52,391
19941,8,115,52,391
19942,8,115,52,391
19943,8,115,52,391
19944,8,115,52,391
19945,8,115,52,391
19946,8,115,52,391
19947,8,115,52,391
19948,8,115,52,391
19949,8,115,52,391
19950,8,115,52,391
19951,8,115,52,391
19952,8,115,52,391
19953,8,115,52,391
19954,8,115,52,391
19955,8,115,52,391
19956,8,115,52,391
19957,8,115,52,391
19958,8,115,52,391
19959,8,115,52,391
19960,8,115,52,391
19961,8,115,52,391
19962,8,115,52,391
19963,8,115,52,391
19964,8,115,52,391
19965,8,115,52,391
19966,8,115,52,391
19967,8,115,52,391
19968,8,115,52,391
19969,8,115,52,391
19970,8,115,52,391
19971,8,115,52,391
19972,8,115,52,391
19973,8,115,52,391
19974,8,115,52,391
19976,8,115,52,391
19977,8,115,52,391
19978,8,115,52,391
19979,8,115,52,391
19980,8,115,52,391
19981,8,115,52,391
19984,8,115,52,391
19985,8,115,52,391
19986,8,115,52,391
19987,8,115,52,391
19989,8,115,52,391
19990,8,115,52,391
19996,8,115,52,391
19997,8,115,52,391
20029,35,115,52,109
20065,35,14,27,109
20066,35,14,27,109
20069,35,14,27,109
20072,35,14,27,109
20346,11,4,34,416
20347,11,4,34,416
20348,11,4,34,416
20349,11,4,34,416
20350,11,4,34,416
20356,11,4,34,416
20357,11,4,34,416
20358,11,4,34,416
20359,11,4,34,416
20360,11,4,34,416
20361,11,4,34,416
20362,11,4,34,416
20363,11,4,34,416
20364,11,4,34,416
20365,11,4,34,416
20366,11,4,34,416
20367,11,4,34,416
20368,11,4,34,416
20369,11,4,34,416
20370,11,4,34,416
20371,11,4,34,416
20372,11,4,34,416
20373,11,4,34,416
20374,11,4,34,416
20375,11,4,34,416
20376,11,4,34,416
20377,11,4,34,416
20378,11,4,34,416
20379,11,4,34,416
20380,11,4,34,416
20381,11,4,34,416
20382,11,4,34,416
20383,11,4,34,416
20384,11,4,34,416
20385,11,4,34,416
20386,11,4,34,416
20387,11,4,34,416
20388,11,4,34,416
20390,11,4,34,416
20391,11,4,34,416
20398,11,4,34,67
20399,11,4,34,67
20400,11,4,34,67
20401,11,4,34,67
20402,11,4,39,67
20403,11,4,39,67
20489,97,27,42,418
20490,97,27,42,418
20491,97,27,42,418
20492,97,27,42,418
20493,97,27,42,418
20494,97,27,42,418
20495,97,27,42,418
20496,97,27,42,418
20497,97,27,42,418
20566,88,70,180,496
20567,88,70,180,496
20568,88,70,180,496
20569,88,70,180,496
20570,88,70,180,496
20571,88,70,180,496
20572,88,70,180,496
20573,88,70,180,496
20574,88,70,180,496
20575,88,70,180,496
20576,88,70,180,496
20577,88,70,180,308
20578,88,70,180,308
20579,88,70,180,308
20580,88,70,180,308
20581,88,70,180,308
20582,88,70,180,308
20583,88,70,180,308
20584,88,70,180,308
20585,88,70,180,308
20586,88,70,180,308
20587,88,70,180,308
20588,88,70,180,308
20589,88,70,180,308
20590,88,70,180,308
20591,88,70,180,308
20592,88,70,180,308
20593,88,70,180,308
20594,88,70,180,308
20595,88,70,180,308
20596,88,70,180,308
20597,88,70,180,308
20606,88,70,180,308
20607,88,70,180,308
20608,88,70,180,308
20609,88,70,180,308
20610,88,70,180,254
20611,88,70,180,254
20612,88,125,180,254
20613,88,125,180,254
20614,88,125,180,254
20615,88,125,192,254
20616,88,125,192,254
20617,88,125,192,254
20618,88,125,192,254
20619,88,125,192,254
20620,88,125,192,254
20621,88,125,192,254
20622,88,125,192,254
20623,88,125,192,254
20624,88,125,192,254
20625,88,125,192,254
20626,88,125,192,254
20627,88,125,192,254
20628,88,125,192,254
20629,88,125,192,254
20630,88,125,192,254
20631,88,125,192,254
20632,88,125,192,254
20633,88,125,192,254
20634,88,125,192,254
20635,88,125,192,254
20636,88,125,192,254
20637,88,125,192,254
20638,88,125,192,254
20639,88,125,192,254
