iucn_sid,sciname
42320,Picea asperata
191624,Picea asperata var. asperata
191625,Picea asperata var. notabilis
191626,Picea asperata var. ponderosa
31277,Picea aurantiaca
31270,Picea brachytyla
191627,Picea brachytyla var. brachytyla
34167,Picea brachytyla var. complanata
34049,Picea breweriana
32479,Picea chihuahuana
42321,Picea crassifolia
42322,Picea engelmannii
33922,Picea engelmannii ssp. mexicana
31331,Picea farreri
42323,Picea glauca
42324,Picea glehnii
42325,Picea jezoensis
191628,Picea jezoensis ssp. hondoensis
191629,Picea jezoensis ssp. jezoensis
42326,Picea koraiensis
191630,Picea koraiensis var. koraiensis
33885,Picea koraiensis var. pungsanensis
31290,Picea koyamae
42327,Picea likiangensis
34175,Picea likiangensis var. hirtella
191631,Picea likiangensis var. likiangensis
34176,Picea likiangensis var. montigena
191632,Picea likiangensis var. rubescens
191633,Picea linzhiensis
42328,Picea mariana
32996,Picea martinezii
42329,Picea maximowiczii
31292,Picea maximowiczii var. maximowiczii
31293,Picea maximowiczii var. senanensis
42330,Picea meyeri
34383,Picea morrisonicola
31276,Picea neoveitchii
42331,Picea obovata
30313,Picea omorika
42332,Picea orientalis
42333,Picea pungens
42334,Picea purpurea
34178,Picea retroflexa
42335,Picea rubens
42336,Picea schrenkiana
191634,Picea schrenkiana ssp. schrenkiana
191635,Picea schrenkiana ssp. tianschanica
42337,Picea sitchensis
42338,Picea smithiana
42339,Picea spinulosa
34179,Picea torano
42340,Picea wilsonii
32052,Pilgerodendron uviferum
39049,Pinus albicaulis
34180,Pinus amamiana
34057,Pinus aristata
42341,Pinus arizonica
20477533,Pinus arizonica var. cooperi
35155,Pinus arizonica var. stormiae
42342,Pinus armandii
191636,Pinus armandii var. armandii
191637,Pinus armandii var. dabeshanensis
34181,Pinus armandii var. mastersiana
42343,Pinus attenuata
42344,Pinus ayacahuite
35759,Pinus ayacahuite var. veitchii
42345,Pinus balfouriana
42346,Pinus banksiana
42555,Pinus bhutanica
42347,Pinus brutia
34183,Pinus brutia var. eldarica
33990,Pinus brutia var. pityusa
39602,Pinus bungeana
39603,Pinus canariensis
42348,Pinus caribaea
20364362,Pinus caribaea var. bahamensis
34184,Pinus caribaea var. caribaea
20364366,Pinus caribaea var. hondurensis
42349,Pinus cembra
42350,Pinus cembroides
34185,Pinus cembroides ssp. lagunae
34186,Pinus cembroides ssp. orizabensis
96799965,Pinus cernua
34050,Pinus clausa
42351,Pinus contorta
42352,Pinus coulteri
42353,Pinus cubensis
32631,Pinus culminicola
32803,Pinus dalatensis
42354,Pinus densata
42355,Pinus densiflora
42356,Pinus devoniana
42357,Pinus douglasiana
42358,Pinus durangensis
42359,Pinus echinata
42360,Pinus edulis
42361,Pinus elliottii
18153818,Pinus elliottii var. densa
42362,Pinus engelmannii
34188,Pinus fenzeliana
42363,Pinus flexilis
46509530,Pinus flexilis var. reflexa
34189,Pinus gerardiana
42364,Pinus glabra
32630,Pinus greggii
63553,Pinus greggii var. australis
63552,Pinus greggii var. greggii
42366,Pinus halepensis
42367,Pinus hartwegii
42368,Pinus heldreichii
37555,Pinus henryi
42369,Pinus herrerae
42370,Pinus hwangshanensis
33923,Pinus jaliscana
42371,Pinus jeffreyi
42372,Pinus kesiya
42373,Pinus koraiensis
32804,Pinus krempfii
42374,Pinus lambertiana
34190,Pinus latteri
42375,Pinus lawsonii
42376,Pinus leiophylla
34024,Pinus longaeva
33989,Pinus luchuensis
42377,Pinus lumholtzii
42378,Pinus luzmariae
42379,Pinus massoniana
32367,Pinus massoniana var. hainanensis
191640,Pinus massoniana var. massoniana
30975,Pinus maximartinezii
42380,Pinus maximinoi
32624,Pinus merkusii
42381,Pinus monophylla
42382,Pinus montezumae
42383,Pinus monticola
42384,Pinus morrisonicola
