iucn_sid,sciname,kingdom,phylum,class,order,family,main_common_name,published_year,old_cat,criteria,aoo_km2,eoo_km2,depth_upper,depth_lower,cat,cat_score
155330,Pomadasys maculatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,HAEMULIDAE,Saddle Grunt,2010,LC,NA,NA,NA,20,110,LC,0
158617,Squalus edmundsi,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,SQUALIDAE,Edmunds’ Spurdog,2009,NT,NA,NA,NA,204,850,NT,0.2
158625,Odontanthias tapui,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SERRANIDAE,NA,2010,LC,NA,NA,NA,120,350,LC,0
158626,Nectamia fusca,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,APOGONIDAE,Ghost Cardinalfish,2010,LC,NA,NA,NA,1,5,LC,0
158627,Pseudanthias pleurotaenia,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SERRANIDAE,Mirror Basslet,2010,LC,NA,NA,NA,25,46,LC,0
158628,Nectamia zebrinus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,APOGONIDAE,NA,2010,LC,NA,NA,NA,0,10,LC,0
158632,Salarias sinuosus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Fringelip Blenny,2010,LC,NA,NA,NA,0,5,LC,0
161317,Benthobatis marcida,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,NARCINIDAE,Deepsea Blind Ray,2009,LC,NA,NA,NA,275,922,LC,0
161319,Bathyraja mariposa,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Butterfly Skate,2016,LC,NA,NA,NA,90,448,LC,0
161320,Rhinobatos albomaculatus,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,RHINOBATIDAE,White-spotted Guitarfish,2009,VU,A4bd,NA,NA,1,35,VU,0.4
161325,Squatina nebulosa,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUATINIFORMES,SQUATINIDAE,Clouded Angelshark,2009,VU,A2d+4d,NA,NA,35,600,VU,0.4
161329,Dipturus cerva,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,White-spotted Skate,2009,NT,NA,NA,NA,20,470,NT,0.2
161334,Mustelus californicus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,TRIAKIDAE,Gray Smooth-hound,2015,LC,NA,NA,NA,12,67,LC,0
161336,Scyliorhinus boa,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Boa Catshark,2009,LC,NA,NA,NA,329,676,LC,0
161337,Pavoraja alleni,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Allens Skate,2015,LC,NA,NA,NA,305,460,LC,0
161339,Raja radula,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Rough Skate,2016,EN,A4b,NA,NA,0,350,EN,0.6
