am_sid,sciname,common_name,kingdom,phylum,class,iucn_sid,taxa
Fis-48257,Pterogobius zacalles,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-48324,Johnius grypotus,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-48651,Atrobucca antonbruun,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-48943,Brotulotaenia nigra,Dark cusk,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-48955,Coryphaenoides semiscaber,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-48976,Kuronezumia macronema,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-48989,Cynoglossus sinusarabici,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-49010,Gammogobius steinitzi,Steinitz's goby,Animalia,Chordata,Actinopterygii,194871,bony fish
Fis-49086,Millerigobius macrocephalus,NA,Animalia,Chordata,Actinopterygii,194879,bony fish
Fis-49152,Pseudaphya ferreri,Ferrer's goby,Animalia,Chordata,Actinopterygii,194887,bony fish
Fis-49386,Symphurus rhytisma,Patchtail tonguefish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-49639,Leurochilus acon,Smoothlip stargazer,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-49642,Myxodagnus belone,Dartfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-49681,Bathytroctes oligolepis,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-49691,Narcetes erimelas,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-144477,Mentodus mesalirus,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-49790,Otophidium chickcharney,Ghost cusk-eel,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-49791,Ophidion nocomis,Letter opener,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-49816,Lestidiops distans,NA,Animalia,Chordata,Actinopterygii,NA,bony fish
