loiczid,n_spp,mean_risk
176950,39,0.1435897435897436
176951,41,0.13658536585365855
176952,40,0.14
176953,36,0.13333333333333333
176954,37,0.13513513513513514
176955,40,0.14
176956,46,0.12608695652173912
176957,38,0.13157894736842105
176958,39,0.12820512820512822
176959,36,0.1388888888888889
176960,34,0.1411764705882353
176961,34,0.1411764705882353
176962,36,0.13333333333333333
176963,39,0.12307692307692308
176964,35,0.13714285714285715
176965,34,0.1411764705882353
176966,34,0.1411764705882353
176967,32,0.13125
176968,30,0.14
176969,31,0.13548387096774195
176970,31,0.13548387096774195
176971,31,0.13548387096774195
176972,33,0.14545454545454545
176973,35,0.14285714285714288
176974,38,0.1473684210526316
176975,34,0.14705882352941177
176976,34,0.14705882352941177
176977,36,0.1388888888888889
176978,44,0.13636363636363638
176979,50,0.12000000000000001
176980,54,0.12962962962962962
176981,65,0.11384615384615385
176982,60,0.12333333333333334
176983,54,0.11851851851851852
176984,54,0.11851851851851852
176985,54,0.11851851851851852
176986,55,0.11636363636363636
176987,61,0.13114754098360656
176988,74,0.11621621621621622
176989,110,0.09090909090909091
176990,209,0.09186602870813397
176991,205,0.08878048780487806
176992,135,0.10222222222222223
177009,129,0.10077519379844961
177010,141,0.09929078014184398
177011,149,0.09664429530201343
177012,157,0.09936305732484077
177013,152,0.10526315789473685
177014,126,0.11746031746031746
177015,131,0.10687022900763359
177016,94,0.12765957446808512
177017,101,0.13663366336633664
177018,104,0.13846153846153847
177019,116,0.12413793103448276
177020,107,0.13457943925233645
177021,104,0.12692307692307692
177022,102,0.12941176470588237
177023,93,0.12473118279569893
177024,98,0.12244897959183675
177025,88,0.12045454545454545
177026,110,0.11090909090909092
177027,97,0.12577319587628866
177028,74,0.14594594594594595
177029,132,0.09393939393939395
177036,157,0.10318471337579618
177064,269,0.08252788104089219
177065,295,0.07864406779661018
177066,285,0.0856140350877193
177067,87,0.11264367816091954
177068,57,0.1298245614035088
177069,57,0.1298245614035088
177070,56,0.13214285714285715
177071,53,0.13584905660377358
177072,52,0.12692307692307692
177073,142,0.08309859154929577
177074,51,0.12549019607843137
177075,55,0.1272727272727273
177076,61,0.1180327868852459
