iucn_sid,year,cat_ts,cat_ts_score,iucn_version
48342425,2014,LC,0,2017-3
48342428,2014,LC,0,2017-3
48342431,2014,LC,0,2017-3
48342433,2014,LC,0,2017-3
48342435,2014,LC,0,2017-3
48342436,2014,LC,0,2017-3
48342437,2014,LC,0,2017-3
48342441,2014,LC,0,2017-3
48342442,2014,LC,0,2017-3
48342448,2014,LC,0,2017-3
48342451,2014,LC,0,2017-3
48342454,2014,LC,0,2017-3
48342455,2014,LC,0,2017-3
48342458,2014,LC,0,2017-3
48342462,2014,LC,0,2017-3
48342464,2014,LC,0,2017-3
48342467,2014,VU,0.4,2017-3
48342469,2014,LC,0,2017-3
48342471,2014,LC,0,2017-3
48342473,2014,LC,0,2017-3
48342475,2014,LC,0,2017-3
48342477,2014,LC,0,2017-3
48342482,2014,LC,0,2017-3
48342485,2014,LC,0,2017-3
48342486,2014,LC,0,2017-3
48342488,2014,LC,0,2017-3
48342489,2014,LC,0,2017-3
48342492,2014,LC,0,2017-3
48342493,2014,LC,0,2017-3
48342496,2014,LC,0,2017-3
48342498,2014,LC,0,2017-3
48342499,2014,LC,0,2017-3
48342501,2014,LC,0,2017-3
48342502,2014,LC,0,2017-3
48342505,2014,LC,0,2017-3
48342508,2014,LC,0,2017-3
48342511,2014,LC,0,2017-3
48342512,2014,LC,0,2017-3
48342513,2014,LC,0,2017-3
48342516,2014,LC,0,2017-3
48342518,2014,LC,0,2017-3
48342519,2014,LC,0,2017-3
48342521,2014,LC,0,2017-3
48342523,2014,LC,0,2017-3
48342524,2014,LC,0,2017-3
48342525,2014,LC,0,2017-3
48342528,2014,LC,0,2017-3
48342528,2017,LC,0,2017-3
48342529,2014,LC,0,2017-3
48342534,2014,VU,0.4,2017-3
48444454,2016,LC,0,2017-3
48445063,2017,LC,0,2017-3
49145820,2015,VU,0.4,2017-3
49186649,2015,LC,0,2017-3
49188668,2015,NT,0.2,2017-3
49217539,2015,LC,0,2017-3
49217590,2015,LC,0,2017-3
49217654,2015,LC,0,2017-3
49217798,2015,EN,0.6,2017-3
49217962,2015,VU,0.4,2017-3
49218074,2015,LC,0,2017-3
49218151,2015,LC,0,2017-3
49437996,2015,LC,0,2017-3
49438012,2015,LC,0,2017-3
49677201,2014,LC,0,2017-3
4982,1994,EN,0.6,2017-3
4982,1996,EN,0.6,2017-3
4982,2014,EN,0.6,2017-3
49829652,2017,LC,0,2017-3
4987,2008,LC,0,2017-3
49911704,2014,LC,0,2017-3
50009374,2016,LC,0,2017-3
50009685,2016,CR,0.8,2017-3
50009685,2017,CR,0.8,2017-3
50009857,2016,LC,0,2017-3
50009857,2017,LC,0,2017-3
50020621,2015,LC,0,2017-3
50113293,2015,LC,0,2017-3
50902942,2015,LC,0,2017-3
50902961,2016,LC,0,2017-3
50903119,2016,LC,0,2017-3
50903138,2016,LC,0,2017-3
50903183,2016,LC,0,2017-3
50903234,2016,LC,0,2017-3
50903260,2016,LC,0,2017-3
50903263,2016,LC,0,2017-3
5272,1996,VU,0.4,2017-3
5272,2012,NT,0.2,2017-3
5273,1996,VU,0.4,2017-3
5273,2013,NT,0.2,2017-3
5325,1996,VU,0.4,2017-3
5325,2015,LC,0,2017-3
5360,2008,LC,0,2017-3
5360,2011,LC,0,2017-3
5362,1988,EN,0.6,2017-3
5362,1990,EN,0.6,2017-3
5362,1994,EN,0.6,2017-3
5362,1996,LC,0,2017-3
5363,1996,LC,0,2017-3
5363,2008,LC,0,2017-3
5375,2008,LC,0,2017-3
5380,1990,EN,0.6,2017-3
5380,1994,EN,0.6,2017-3
54007412,2015,LC,0,2017-3
54007474,2015,LC,0,2017-3
54734,2004,LC,0,2017-3
56064318,2016,LC,0,2017-3
56503738,2014,LC,0,2017-3
5659,1982,EN,0.6,2017-3
5659,1986,EN,0.6,2017-3
5659,1988,EN,0.6,2017-3
5659,1990,EN,0.6,2017-3
5659,1994,VU,0.4,2017-3
5659,1996,VU,0.4,2017-3
5659,2012,VU,0.4,2017-3
5660,1994,VU,0.4,2017-3
5660,2014,CR,0.8,2017-3
5667,1982,VU,0.4,2017-3
5667,1986,VU,0.4,2017-3
5667,1988,VU,0.4,2017-3
5667,1990,VU,0.4,2017-3
5667,1994,VU,0.4,2017-3
5667,1996,VU,0.4,2017-3
5667,2013,VU,0.4,2017-3
5675,1996,NT,0.2,2017-3
5675,2007,LC,0,2017-3
56779782,2014,LC,0,2017-3
56852190,2017,LC,0,2017-3
56852265,2017,LC,0,2017-3
56852298,2015,LC,0,2017-3
56852351,2015,LC,0,2017-3
56852510,2016,LC,0,2017-3
56852595,2015,LC,0,2017-3
57453548,2015,LC,0,2017-3
57453696,2015,LC,0,2017-3
57453720,2015,LC,0,2017-3
57453743,2015,LC,0,2017-3
57505507,2017,LC,0,2017-3
57506640,2017,LC,0,2017-3
57508187,2016,LC,0,2017-3
57509336,2016,LC,0,2017-3
57509409,2016,VU,0.4,2017-3
57509876,2017,LC,0,2017-3
57714556,2015,LC,0,2017-3
57825241,2015,LC,0,2017-3
58241062,2015,LC,0,2017-3
58269,2009,LC,0,2017-3
58360,2004,LC,0,2017-3
58542,2004,LC,0,2017-3
58542,2008,LC,0,2017-3
58705,2004,LC,0,2017-3
58705,2009,LC,0,2017-3
58742,2004,LC,0,2017-3
59034974,2014,EN,0.6,2017-3
60081,2006,NT,0.2,2017-3
60082,2006,LC,0,2017-3
60083,2006,LC,0,2017-3
60084,2006,LC,0,2017-3
60085,2006,LC,0,2017-3
60088,2006,VU,0.4,2017-3
60089,2006,LC,0,2017-3
60090,2006,LC,0,2017-3
60091,2006,LC,0,2017-3
60092,2006,LC,0,2017-3
60093,2006,LC,0,2017-3
60094,2006,LC,0,2017-3
60097,2006,LC,0,2017-3
60098,2006,LC,0,2017-3
60099,2006,LC,0,2017-3
60100,2006,EN,0.6,2017-3
60101,2006,LC,0,2017-3
60102,2006,LC,0,2017-3
60103,2006,LC,0,2017-3
60104,2006,VU,0.4,2017-3
60105,2006,VU,0.4,2017-3
60106,2006,LC,0,2017-3
60108,2006,LC,0,2017-3
60108,2015,LC,0,2017-3
60109,2006,LC,0,2017-3
60111,2006,LC,0,2017-3
60111,2015,LC,0,2017-3
60112,2006,LC,0,2017-3
60112,2016,LC,0,2017-3
60113,2006,VU,0.4,2017-3
60117,2006,NT,0.2,2017-3
60118,2006,VU,0.4,2017-3
60119,2006,EN,0.6,2017-3
60120,2006,EN,0.6,2017-3
60121,2006,EN,0.6,2017-3
60121,2016,EN,0.6,2017-3
60124,2006,EN,0.6,2017-3
60124,2016,NT,0.2,2017-3
60125,2006,NT,0.2,2017-3
60128,2006,NT,0.2,2017-3
60129,2006,VU,0.4,2017-3
60130,2006,NT,0.2,2017-3
60131,2006,NT,0.2,2017-3
60138,2006,LC,0,2017-3
60139,2015,LC,0,2017-3
60140,2006,LC,0,2017-3
60140,2016,LC,0,2017-3
60145,2006,LC,0,2017-3
60146,2006,LC,0,2017-3
60146,2015,LC,0,2017-3
60147,2006,NT,0.2,2017-3
60147,2016,NT,0.2,2017-3
60148,2006,NT,0.2,2017-3
60148,2016,NT,0.2,2017-3
60150,2006,NT,0.2,2017-3
60150,2015,NT,0.2,2017-3
60151,2006,VU,0.4,2017-3
60151,2016,VU,0.4,2017-3
60153,2006,NT,0.2,2017-3
60153,2016,NT,0.2,2017-3
60155,2006,NT,0.2,2017-3
60155,2016,NT,0.2,2017-3
60156,2006,NT,0.2,2017-3
60156,2011,LC,0,2017-3
60156,2015,LC,0,2017-3
60158,2006,LC,0,2017-3
60158,2016,LC,0,2017-3
60159,2006,LC,0,2017-3
60159,2016,LC,0,2017-3
60160,2006,NT,0.2,2017-3
60160,2016,NT,0.2,2017-3
60162,2006,VU,0.4,2017-3
60162,2015,VU,0.4,2017-3
60163,2006,LC,0,2017-3
60163,2016,LC,0,2017-3
60164,2006,LC,0,2017-3
60164,2016,LC,0,2017-3
60166,2006,VU,0.4,2017-3
60166,2016,VU,0.4,2017-3
60167,2006,NT,0.2,2017-3
60168,2006,NT,0.2,2017-3
60168,2016,NT,0.2,2017-3
60169,2006,NT,0.2,2017-3
60170,2006,VU,0.4,2017-3
60170,2016,VU,0.4,2017-3
60171,2006,NT,0.2,2017-3
60171,2016,NT,0.2,2017-3
60175,2006,VU,0.4,2017-3
60175,2016,VU,0.4,2017-3
60176,2006,NT,0.2,2017-3
60176,2016,NT,0.2,2017-3
60179,2003,LC,0,2017-3
60179,2006,VU,0.4,2017-3
60179,2015,VU,0.4,2017-3
60180,2006,EN,0.6,2017-3
60181,2006,VU,0.4,2017-3
60182,2006,VU,0.4,2017-3
60185,2015,LC,0,2017-3
60191,2006,LC,0,2017-3
60191,2015,LC,0,2017-3
60192,2006,LC,0,2017-3
60192,2016,LC,0,2017-3
60195,2006,NT,0.2,2017-3
60195,2016,VU,0.4,2017-3
60197,2015,LC,0,2017-3
60198,2006,NT,0.2,2017-3
60199,2016,VU,0.4,2017-3
60200,2006,NT,0.2,2017-3
60200,2016,NT,0.2,2017-3
60202,2006,VU,0.4,2017-3
60203,2006,EN,0.6,2017-3
60204,2006,LC,0,2017-3
60210,2006,LC,0,2017-3
60210,2015,LC,0,2017-3
60211,2006,LC,0,2017-3
60212,2006,LC,0,2017-3
60212,2015,LC,0,2017-3
60213,2006,NT,0.2,2017-3
60214,2006,LC,0,2017-3
60217,2006,NT,0.2,2017-3
60218,2006,CR,0.8,2017-3
60219,2006,VU,0.4,2017-3
60224,2006,NT,0.2,2017-3
60225,2006,VU,0.4,2017-3
60227,2006,LC,0,2017-3
60227,2015,LC,0,2017-3
60228,2006,LC,0,2017-3
60231,2015,LC,0,2017-3
60233,2006,LC,0,2017-3
60236,2006,LC,0,2017-3
60239,2006,LC,0,2017-3
60243,2006,LC,0,2017-3
60244,2006,LC,0,2017-3
60245,2006,LC,0,2017-3
60246,2006,LC,0,2017-3
6026,1986,EN,0.6,2017-3
6026,1988,EN,0.6,2017-3
6026,1990,EN,0.6,2017-3
6026,1994,EN,0.6,2017-3
6026,1996,CR,0.8,2017-3
6026,2004,CR,0.8,2017-3
60302,2006,VU,0.4,2017-3
60302,2009,VU,0.4,2017-3
6031,1986,EN,0.6,2017-3
6031,1988,EN,0.6,2017-3
6031,1990,EN,0.6,2017-3
6031,1994,EN,0.6,2017-3
6031,1996,CR,0.8,2017-3
60324,2017,LC,0,2017-3
60344,2008,CR,0.8,2017-3
60344,2010,CR,0.8,2017-3
60344,2014,CR,0.8,2017-3
6040,1996,EN,0.6,2017-3
6040,2004,CR,0.8,2017-3
6041,1996,EN,0.6,2017-3
6041,2000,EN,0.6,2017-3
6042,1996,VU,0.4,2017-3
6043,1996,CR,0.8,2017-3
6043,2012,CR,0.8,2017-3
6045,1996,VU,0.4,2017-3
60469175,2015,LC,0,2017-3
60469186,2015,LC,0,2017-3
60469196,2015,EN,0.6,2017-3
60469204,2015,LC,0,2017-3
60469220,2015,VU,0.4,2017-3
60469232,2015,LC,0,2017-3
60469237,2015,LC,0,2017-3
60469241,2015,LC,0,2017-3
60469244,2015,LC,0,2017-3
60469264,2015,LC,0,2017-3
60469273,2015,LC,0,2017-3
60469323,2015,LC,0,2017-3
60469375,2015,LC,0,2017-3
