am_sid,area_km2_0pct,area_km2_60pct,area_km2_probwt
ITS-96627,2900752.24,2413472.28,2479443.1264
ITS-96629,1208668.64,706949.49,820401.7288
ITS-96634,1731681.57,1204426.94,1265279.6809
ITS-96636,1130624.75,841536.3,883674.2018
ITS-96648,8733422.01,7014582.68,7054403.3296
ITS-96655,10211054.63,7722638.38,7841716.3799
ITS-96661,12904664.51,8781375.48,9190661.2098
ITS-96682,18340817.72,13548721.45,14139397.8833
ITS-96696,3272327.03,1987683.03,2138723.8203
ITS-96697,3615839,2544381.88,2694494.9997
ITS-96706,1770934.02,755456.18,954034.5536
ITS-96730,12136875.17,9555815.79,9707280.8586
ITS-96740,1695478.78,285401.15,546418.7289
ITS-96787,2208795.4,1197368.55,1410773.3376
ITS-96870,1326310.71,1187894.14,1185687.0956
ITS-96871,1731312.52,1067785.13,1136291.2074
ITS-96894,1215767.85,833380.6900000001,890423.9192
ITS-96897,119880.49,67682.05,73878.6601
ITS-96907,6714028.2,3492562.37,3897244.2052
ITS-96912,1662590.7,1122498.46,1168390.3921
ITS-96918,1740549.51,1175542.09,1230616.0322
ITS-96947,3154037.98,1846614.61,2054276.8078
ITS-96955,1825181.87,1390766.56,1440182.696
ITS-96963,1434042.8,987995.6,1026642.6395
ITS-96967,12122540.05,4557110.12,5538178.0247
ITS-96968,1453341.61,859904.44,911230.1955
ITS-96970,1062746.8,615975.77,685846.4104
ITS-96971,2648513.53,881472.07,1166710.0884
ITS-96977,1448859.6,641193.32,776652.4692
ITS-96979,681324.75,336151.9,359201.52150000003
ITS-96981,3943344.11,2160794.82,2440484.3697
ITS-96982,636379.47,449434.14,465321.5237
ITS-96984,941292.68,587746.2,652266.2121
ITS-96995,1084903.1,609724.54,702111.3439
ITS-97005,25276532.07,12514537.76,14238512.0831
ITS-97012,4082397.06,2579017.19,2779624.4053
ITS-97020,29323222.15,11617404.25,14079531.5216
ITS-97026,16820250.02,10275660.28,10765067.7717
ITS-97029,1663881.48,1023366.48,1122763.4903
ITS-97037,15598399.53,9857477.92,10278711.2447
ITS-97045,5668746.09,2551415.55,3003128.1212
ITS-97047,6824757.09,4905045.43,5077749.5652
ITS-97049,1105174.36,795046.04,834735.8882
ITS-97050,1234795.94,954945.62,992578.5341
ITS-97054,3361306.1,2629198.59,2679873.0119
ITS-97064,54224828.95,22236365.81,26961732.03
ITS-97071,19711217.78,11738413.76,12768185.251
ITS-97073,1663646.04,1164372,1204208.0859
ITS-97074,14698611.5,9230092.49,9846701.9306
ITS-97075,51879.57,41769.19,41139.0756
ITS-97076,13776995.12,8419254.79,9211218.0021
ITS-97077,22842784.64,13162078.19,14391456.244
ITS-97078,1640681.58,736827.4400000001,908977.9672
ITS-97079,9732820.99,4288182.42,5153735.0967
ITS-97081,209837620.69,147167731.4,152398072.4884
ITS-97083,14760716.72,7807572.59,8867274.2729
ITS-97088,10382931.73,5082998.89,5844613.7742
ITS-97114,342092.69,306923.03,305840.8965
ITS-97118,2125505.49,830580.05,932568.5052
ITS-97179,4421211.26,2130633.31,2442789.3869
ITS-97195,25664980.65,14518949.8,16186265.0281
ITS-97198,7296496.9,3984122.97,4284292.7683
ITS-97297,5693512.92,2458660.05,3021446.7185
ITS-97298,26893885.9,15694149.11,16662314.9809
ITS-97309,2432852.68,1865636.92,1894333.5386
ITS-97310,3151545.83,2478945.61,2552228.3165
ITS-97311,2449869.64,1782729.08,1838358.0571
ITS-97312,1211500.67,1043328.59,1046516.186
ITS-97314,1268951.97,673102.32,757156.8775
ITS-97315,2442072.88,884759.47,1008639.4072
ITS-97317,3388613.15,1402307.58,1718929.7363
ITS-97319,1747341.76,1513290.36,1491305.1574
ITS-97321,422676.1,383207.47,364527.8859
ITS-97323,1515903.34,1163024.8,1202194.8204
ITS-97648,2852930.18,1966612.02,2046509.986
ITS-97650,136759.56,76765.52,79233.7402
ITS-97651,1077891.57,744163.52,813622.8638
ITS-97652,1550350.09,1105299.58,1158110.4603
ITS-97654,2032552.69,1621607.42,1655930.9345
ITS-97657,2473569.81,1814769.44,1848501.0912
ITS-97659,170949.88,146396.9,142691.5174
ITS-97665,2450329.85,1577529.59,1642382.2061
ITS-97666,2174853.06,1463305.71,1568020.9597
ITS-97670,3132597.89,1161426.65,1639396.3395
ITS-97673,1098320.85,945261.75,880214.3597
ITS-97676,2742351.06,1605157.67,1779120.0114
ITS-97680,1484081.75,1123320.87,1200269.3925
ITS-97682,11374962.48,8914650.12,9034437.9186
ITS-97688,36447455.56,14132371.33,17591401.2497
ITS-97696,905739.61,793013.62,783298.3434
ITS-97770,1392368.97,688965.03,800452.7626
ITS-97772,1910171.56,1556910.72,1579630.0228
ITS-97837,1040531.95,576870.95,668288.1927
ITS-97921,1182490.44,703350.49,795763.3081
ITS-97925,113141,58474.020000000004,69034.2589
ITS-97933,512429.02,395496.83,409396.7671
ITS-97935,3519378.19,1560835.69,1886297.793
ITS-97936,972080.78,683932.17,731437.857
ITS-97937,2995571.13,2097423.97,2176318.4638
ITS-97947,943993.99,577777.18,624341.867
ITS-97950,1151446.43,701753.24,750164.6361
ITS-97953,459192.3,200896.68,252165.8169
ITS-97954,428384.22,297432.89,318235.291
ITS-97962,301903.71,191148.06,206586.001
ITS-97966,435701.57,223745.96,260349.2933
ITS-97998,19041528.25,6750907.37,8804144.207
ITS-98012,15868703.12,3456940.73,5226304.4901
ITS-98021,92623901.51,23437310.3,35213454.2084
ITS-98038,25998569.58,13055567.36,15060581.9524
ITS-98048,2346783.87,1393446.39,1515458.0565
ITS-98056,860774.21,379467.6,498346.8652
ITS-98144,3919217.11,2256178.39,2528196.7347
ITS-98155,737312.81,272578.1,328860.9572
ITS-98208,245882.41,223043.66,221092.2659
ITS-98240,15869701.85,8618220.93,9843847.5667
ITS-98244,7126702.38,3488427.13,4070230.9103
ITS-98252,14335779.13,4472608.96,6842418.2395
ITS-98255,18004298.68,9540410.42,10791894.8807
ITS-98264,1027180.95,458790.84,556404.1407
ITS-99143,2493585.74,1608862.18,1690613.2981
ITS-99169,2339823.47,820249.62,1091797.3968
ITS-99184,18600771.11,11723298.59,12368503.3861
ITS-99207,16070565.88,11025873.9,11432222.5722
ITS-Mam-180411,638645.44,427165.71,453858.618
ITS-Mam-180417,240057307.84999996,62107638.17,109584536.7778
ITS-Mam-180419,8493899.78,6065601.14,6272749.4067
ITS-Mam-180420,695918.5,376908.51,494134.426
ITS-Mam-180422,942921.9400000001,318724.57,476753.6544
ITS-Mam-180426,288201820.35999995,41293535.980000004,91593635.5298
ITS-Mam-180429,174010441.6,41475438.32,69278345.0763
ITS-Mam-180430,236202301.05999997,56960112.09,101694398.258
ITS-Mam-180434,269657991.35999995,147461490.68,167466959.2888
ITS-Mam-180435,46326061.5,15808343.23,19815796.115
