iucn_sid,sciname,main_common_name,cat,cat_score,published_year,iucn_version
68329253,Ctenogobiops crocineus,Silverspot Shrimpgoby	,LC,0,2016,2018-1
68329324,Eviota deminuta,Diminutive Dwarfgoby	,LC,0,2016,2018-1
68329463,Eviota dorsimaculata,Dorsal-spot Dwarfgoby,LC,0,2016,2018-1
68329587,Eviota hinanoae,Hinano's Dwarfgoby,LC,0,2016,2018-1
68329725,Eviota lacrimae,NA,LC,0,2016,2018-1
68329804,Eviota lacrimosa,Weeping Dwarfgoby,LC,0,2016,2018-1
68329897,Eviota occasa,Sunset Dwarfgoby,LC,0,2016,2018-1
68329954,Eviota piperata,Peppered Dwarfgoby,LC,0,2016,2018-1
68330082,Exyrias ferrarisi,Ferraris' Goby,LC,0,2016,2018-1
68330332,Gladiogobius brevispinis,Short-spined Goby,LC,0,2016,2018-1
68330520,Gnatholepis ophthalmotaenia,NA,LC,0,2016,2018-1
68332344,Koumansetta hectori,Hector's Goby,LC,0,2016,2018-1
68332472,Koumansetta rainfordi,Old Glory,LC,0,2016,2018-1
68332598,Oxyurichthys microlepis,Maned Goby,LC,0,2016,2018-1
68332934,Paratrypauchen microcephalus,Comb Goby,LC,0,2016,2018-1
68332983,Pleurosicya labiata,Barrel-sponge Ghostgoby,LC,0,2016,2018-1
68333054,Priolepis akihitoi,Emperor Reefgoby,DD,NA,2016,2018-1
68333211,Tomiyamichthys alleni,Allen's Shrimpgoby,DD,NA,2016,2018-1
68333251,Trimma caudipunctatum,NA,DD,NA,2016,2018-1
68333307,Tryssogobius sarah,Sarah's Fairygoby,LC,0,2016,2018-1
68333312,Valenciennea wardii,Ward's Sleeper,LC,0,2016,2018-1
68377310,Gobitrichinotus radiocularis,Sand Fish,LC,0,2016,2018-1
68377344,Kraemeria bryani,Bryan's Sand Dart,LC,0,2016,2018-1
68377359,Kraemeria cunicularia,Transparent Sand Dart,LC,0,2016,2018-1
68396826,Equulites leuciscus,NA,LC,0,2017,2018-1
68398868,Lutjanus timoriensis,Timor Snapper,LC,0,2016,2018-1
68438250,Dicologlossa hexophthalma,NA,LC,0,2015,2018-1
68527310,Hippocampus planifrons,Flatface Seahorse,LC,0,2017,2018-1
69115853,Awaous jayakari,Oman Sea Longsnout Goby,LC,0,2015,2018-1
69128053,Gunnellichthys curiosus,Curious Wormfish,LC,0,2016,2018-1
69128107,Gunnellichthys pleurotaenia,Onestripe Wormfish,LC,0,2016,2018-1
69128212,Gunnellichthys grandoculis,Wormfish,DD,NA,2016,2018-1
69128289,Gunnellichthys monostigma,Onespot Wormfish,LC,0,2016,2018-1
69128478,Nemateleotris decora,Elegant Firefish	,LC,0,2016,2018-1
69128541,Nemateleotris helfrichi,Helfrich's Dartfish,LC,0,2016,2018-1
69130229,Parioglossus nudus,Naked Hover Goby,LC,0,2016,2018-1
69130241,Parioglossus philippinus,Philippine Dartfish,LC,0,2016,2018-1
69130281,Parioglossus verticalis,Vertical Hover Goby,DD,NA,2016,2018-1
69130320,Paragunnellichthys seychellensis,Seychelles Wormfish,LC,0,2016,2018-1
69179175,Ptereleotris brachyptera,Lowfin Dartfish,DD,NA,2016,2018-1
69179838,Ptereleotris evides,Blackfin Dartfish,LC,0,2016,2018-1
69180312,Ptereleotris grammica,Lined Dartfish,LC,0,2016,2018-1
69180629,Ptereleotris hanae,Blue Hana Goby,LC,0,2016,2018-1
69181442,Ptereleotris heteroptera,Blacktail Goby,LC,0,2016,2018-1
69181472,Ptereleotris lineopinnis,Sad Glider,DD,NA,2016,2018-1
69181491,Ptereleotris melanopogon,Striped Dartfish,LC,0,2016,2018-1
