iucn_sid,sciname,presence,subpop,dbf_file,max_depth,kingdom,phylum,class,order,taxon
16406919,Anchoviella blackburni,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoviella_blackburni.dbf,200 m +,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
155294,Anchoviella brevirostris,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoviella_brevirostris.dbf,200 m +,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
20662212,Anchoviella cayennensis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoviella_cayennensis.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
190092,Anchoviella elongata,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoviella_elongata.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
20662092,Anchoviella lepidentostole,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoviella_lepidentostole.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
98893448,Anchoviella miarcha,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoviella_miarcha.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
16406934,Anchoviella perfasciata,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anchoviella_perfasciata.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
46075152,Anodontostoma chacunda,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anodontostoma_chacunda.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
154723,Anodontostoma selangkat,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anodontostoma_selangkat.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
154792,Anodontostoma thailandiae,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Anodontostoma_thailandiae.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
