iucn_sid,pop_trend,year,old_cat,cat_txt,param_id,api_error,cat_ts,cat_score,cat_ts_score,trend_score
188622,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
188624,unknown,2015,LC,Least Concern,NA,NA,LC,0,0,NA
188690,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
18878,stable,1996,LR/lc,Lower Risk/least concern,NA,NA,LC,0,0,0
18878,stable,2008,LC,Least Concern,NA,NA,LC,0,0,0
18878,stable,2013,LC,Least Concern,NA,NA,LC,0,0,0
188906,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
188915,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
188919,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
188928,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
188938,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
188958,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
188980,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
188992,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
188997,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189043,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189066,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189085,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189095,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
18910183,stable,2013,LC,Least Concern,NA,NA,LC,0,0,0
189103,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189110,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189117,stable,2011,LC,Least Concern,NA,NA,LC,0,0,0
189121,stable,2011,LC,Least Concern,NA,NA,LC,0,0,0
189140,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189161,stable,2011,LC,Least Concern,NA,NA,LC,0,0,0
189167,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189178,stable,2011,LC,Least Concern,NA,NA,LC,0,0,0
189197,stable,2011,LC,Least Concern,NA,NA,LC,0,0,0
189212,stable,2011,LC,Least Concern,NA,NA,LC,0,0,0
189217,stable,2013,LC,Least Concern,NA,NA,LC,0,0,0
189223,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189265,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189314,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
189338,unknown,2011,LC,Least Concern,NA,NA,LC,0,0,NA
