iucn_sid,years,cat_ts,scores,pop_trend_desc,calc_trend
133156,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133158,"2008, 2014","LC, LC","0, 0",unknown,NA
133166,"2008, 2014","LC, LC","0, 0",unknown,NA
133167,"2008, 2014","LC, LC","0, 0",decreasing,NA
133171,"2008, 2014","LC, LC","0, 0",unknown,NA
133172,"2008, 2014","LC, LC","0, 0",unknown,NA
133175,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133183,"2008, 2014","LC, LC","0, 0",unknown,NA
133186,"2008, 2014","LC, LC","0, 0",decreasing,NA
133192,"2008, 2014","LC, LC","0, 0",unknown,NA
133197,"2008, 2014","LC, LC","0, 0",unknown,NA
133198,"2008, 2014","LC, LC","0, 0",unknown,NA
133200,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133201,"2008, 2014","LC, LC","0, 0",unknown,NA
133203,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133208,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133209,"2008, 2014","LC, LC","0, 0",decreasing,NA
133215,"2008, 2014","LC, LC","0, 0",unknown,NA
133216,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133220,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133222,"2008, 2014","LC, LC","0, 0",unknown,NA
133231,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133236,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133239,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133240,"2008, 2014","LC, LC","0, 0",unknown,NA
133242,"2008, 2014","LC, LC","0, 0",unknown,NA
133244,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133246,"2008, 2014","LC, LC","0, 0",unknown,NA
133248,"2008, 2014","LC, LC","0, 0",decreasing,NA
133250,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133256,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133258,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133262,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133267,"2008, 2014","LC, LC","0, 0",decreasing,NA
