iucn_sid,code,habitat,suitability,season,majorimportance,cat,subcat1,subcat2,include
2352,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,NA,Yes,5,1,NA,FALSE
2352,9.1,Marine Neritic - Pelagic,Suitable,NA,NA,9,1,NA,TRUE
2352,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
2467,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,Yes,10,1,NA,TRUE
2467,9.1,Marine Neritic - Pelagic,Suitable,NA,Yes,9,1,NA,TRUE
2468,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,NA,10,1,NA,TRUE
2469,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,NA,10,1,NA,TRUE
2469,9.1,Marine Neritic - Pelagic,Suitable,NA,NA,9,1,NA,TRUE
2472,10.1,Marine Oceanic - Epipelagic (0-200m),Unknown,NA,NA,10,1,NA,TRUE
2472,9.1,Marine Neritic - Pelagic,Unknown,NA,NA,9,1,NA,TRUE
2474,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,Yes,10,1,NA,TRUE
2474,9.1,Marine Neritic - Pelagic,Suitable,NA,Yes,9,1,NA,TRUE
2475,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,Yes,10,1,NA,TRUE
2475,9.1,Marine Neritic - Pelagic,Suitable,NA,Yes,9,1,NA,TRUE
2476,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,Yes,10,1,NA,TRUE
2476,9.1,Marine Neritic - Pelagic,Suitable,NA,Yes,9,1,NA,TRUE
2477,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,Yes,10,1,NA,TRUE
2477,9.1,Marine Neritic - Pelagic,Suitable,NA,Yes,9,1,NA,TRUE
2478,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,Yes,10,1,NA,TRUE
2478,9.1,Marine Neritic - Pelagic,Suitable,NA,Yes,9,1,NA,TRUE
2479,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,NA,10,1,NA,TRUE
2480,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,Yes,10,1,NA,TRUE
2480,9.1,Marine Neritic - Pelagic,Suitable,NA,Yes,9,1,NA,TRUE
2482,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,NA,10,1,NA,TRUE
2482,9.1,Marine Neritic - Pelagic,Suitable,NA,NA,9,1,NA,TRUE
2539,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,Suitable,resident,Yes,9,2,NA,TRUE
2539,9.4,Marine Neritic - Subtidal Sandy,Suitable,resident,Yes,9,4,NA,TRUE
2539,9.7,Marine Neritic - Macroalgal/Kelp,Suitable,resident,Yes,9,7,NA,TRUE
2539,9.8.3,Foreslope (Outer Reef Slope),Suitable,resident,Yes,9,8,3,TRUE
2539,9.9,Marine Neritic - Seagrass (Submerged),Suitable,resident,Yes,9,9,NA,TRUE
2621,12.1,Marine Intertidal - Rocky Shoreline,Suitable,resident,Yes,12,1,NA,TRUE
2621,12.6,Marine Intertidal - Tidepools,Suitable,resident,Yes,12,6,NA,TRUE
2636,NA,marine from AquaMaps,NA,NA,NA,NA,NA,NA,FALSE
2644,12.7,Marine Intertidal - Mangrove Submerged Roots,Suitable,resident,Yes,12,7,NA,TRUE
2644,9.6,Marine Neritic - Subtidal Muddy,Suitable,resident,Yes,9,6,NA,TRUE
2761,13.4,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,Suitable,NA,NA,13,4,NA,TRUE
2761,13.5,Marine Coastal/Supratidal - Coastal Freshwater Lakes,Suitable,NA,NA,13,5,NA,TRUE
2761,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
2762,10.1,Marine Oceanic - Epipelagic (0-200m),Marginal,NA,NA,10,1,NA,TRUE
2762,10.2,Marine Oceanic - Mesopelagic (200-1000m),Suitable,NA,Yes,10,2,NA,TRUE
2762,10.3,Marine Oceanic - Bathypelagic (1000-4000m),Suitable,NA,Yes,10,3,NA,TRUE
2763,10.1,Marine Oceanic - Epipelagic (0-200m),Marginal,NA,NA,10,1,NA,TRUE
2763,10.2,Marine Oceanic - Mesopelagic (200-1000m),Suitable,NA,Yes,10,2,NA,TRUE
2763,10.3,Marine Oceanic - Bathypelagic (1000-4000m),Suitable,NA,Yes,10,3,NA,TRUE
2811,NA,marine from AquaMaps,NA,NA,NA,NA,NA,NA,FALSE
2895,12.6,Marine Intertidal - Tidepools,Suitable,NA,No,12,6,NA,TRUE
2895,12.7,Marine Intertidal - Mangrove Submerged Roots,Suitable,NA,Yes,12,7,NA,TRUE
2895,9.10,Marine Neritic - Estuaries,Suitable,NA,Yes,9,10,NA,TRUE
2958,NA,marine from AquaMaps,NA,NA,NA,NA,NA,NA,FALSE
3012,13.3,Marine Coastal/Supratidal - Coastal Sand Dunes,Suitable,NA,NA,13,3,NA,TRUE
3381,12.6,Marine Intertidal - Tidepools,Unknown,NA,NA,12,6,NA,TRUE
3381,12.7,Marine Intertidal - Mangrove Submerged Roots,Suitable,NA,Yes,12,7,NA,TRUE
3381,13.4,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,Suitable,NA,NA,13,4,NA,TRUE
3381,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,NA,NA,5,1,NA,FALSE
3381,5.2,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Suitable,NA,NA,5,2,NA,FALSE
3381,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
3565,NA,marine from AquaMaps,NA,NA,NA,NA,NA,NA,FALSE
3590,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,resident,Yes,10,1,NA,TRUE
3590,12.1,Marine Intertidal - Rocky Shoreline,Suitable,breeding,Yes,12,1,NA,TRUE
3590,13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,Suitable,breeding,Yes,13,1,NA,TRUE
3590,9.1,Marine Neritic - Pelagic,Suitable,resident,Yes,9,1,NA,TRUE
3755,12.3,Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches,Suitable,NA,Yes,12,3,NA,TRUE
3764,9.8.2,Back Slope,NA,NA,NA,9,8,2,TRUE
3764,9.8.3,Foreslope (Outer Reef Slope),NA,NA,NA,9,8,3,TRUE
3764,9.8.4,Lagoon,NA,NA,NA,9,8,4,TRUE
3764,9.8.6,Inter-Reef Rubble Substrate,NA,NA,NA,9,8,6,TRUE
3778,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,Yes,10,1,NA,TRUE
3778,9.1,Marine Neritic - Pelagic,Suitable,NA,Yes,9,1,NA,TRUE
3851,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
3852,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,NA,10,1,NA,TRUE
3852,10.2,Marine Oceanic - Mesopelagic (200-1000m),Suitable,NA,NA,10,2,NA,TRUE
3852,9.1,Marine Neritic - Pelagic,Suitable,NA,NA,9,1,NA,TRUE
3853,9.1,Marine Neritic - Pelagic,Suitable,NA,NA,9,1,NA,TRUE
3853,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
3853,9.5,Marine Neritic - Subtidal Sandy-Mud,Suitable,NA,NA,9,5,NA,TRUE
3853,9.6,Marine Neritic - Subtidal Muddy,Suitable,NA,NA,9,6,NA,TRUE
3854,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,NA,10,1,NA,TRUE
3854,13.1,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,Suitable,NA,NA,13,1,NA,TRUE
3854,9.4,Marine Neritic - Subtidal Sandy,Suitable,NA,NA,9,4,NA,TRUE
3855,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,NA,10,1,NA,TRUE
3855,10.2,Marine Oceanic - Mesopelagic (200-1000m),Suitable,NA,NA,10,2,NA,TRUE
3855,9.1,Marine Neritic - Pelagic,Suitable,NA,NA,9,1,NA,TRUE
3855,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
3897,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,resident,Yes,10,1,NA,TRUE
3897,12.2,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc",Suitable,breeding,Yes,12,2,NA,TRUE
3897,9.1,Marine Neritic - Pelagic,Suitable,resident,Yes,9,1,NA,TRUE
3897,9.10,Marine Neritic - Estuaries,Suitable,resident,Yes,9,10,NA,TRUE
3897,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,Suitable,resident,Yes,9,2,NA,TRUE
3897,9.3,Marine Neritic - Subtidal Loose Rock/pebble/gravel,Suitable,resident,Yes,9,3,NA,TRUE
3897,9.4,Marine Neritic - Subtidal Sandy,Suitable,resident,Yes,9,4,NA,TRUE
3897,9.5,Marine Neritic - Subtidal Sandy-Mud,Suitable,resident,Yes,9,5,NA,TRUE
3897,9.6,Marine Neritic - Subtidal Muddy,Suitable,resident,Yes,9,6,NA,TRUE
3897,9.9,Marine Neritic - Seagrass (Submerged),Suitable,resident,Yes,9,9,NA,TRUE
4131,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,Suitable,NA,Yes,9,2,NA,TRUE
4159,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,Yes,10,1,NA,TRUE
4159,9.1,Marine Neritic - Pelagic,Suitable,NA,Yes,9,1,NA,TRUE
4159,9.10,Marine Neritic - Estuaries,Marginal,NA,NA,9,10,NA,TRUE
4160,9.1,Marine Neritic - Pelagic,Suitable,NA,Yes,9,1,NA,TRUE
4160,9.10,Marine Neritic - Estuaries,Marginal,NA,NA,9,10,NA,TRUE
4161,9.1,Marine Neritic - Pelagic,Suitable,NA,Yes,9,1,NA,TRUE
4162,9.1,Marine Neritic - Pelagic,Suitable,NA,Yes,9,1,NA,TRUE
4292,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,NA,10,1,NA,TRUE
4292,9.1,Marine Neritic - Pelagic,Suitable,NA,NA,9,1,NA,TRUE
4360,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,Suitable,NA,Yes,9,2,NA,TRUE
4360,9.8.3,Foreslope (Outer Reef Slope),Suitable,NA,Yes,9,8,3,TRUE
4361,12.6,Marine Intertidal - Tidepools,Suitable,NA,Yes,12,6,NA,TRUE
4361,9.2,Marine Neritic - Subtidal Rock and Rocky Reefs,Suitable,NA,Yes,9,2,NA,TRUE
