cell_id,iucn_sid,sciname,spp_gp,iucn_rgn,cat_score,range_km2,cell_group,depth,spp_max_depth
3877173,165713,Chaetodon reticulatus,butterflyfish,global,NA,1031942,Fiji,7,< 200 m
3273298,165714,Chaetodon unimaculatus,butterflyfish,global,0,5697164,Galapagos,197,< 200 m
3398132,165714,Chaetodon unimaculatus,butterflyfish,global,0,5697164,Papua New Guinea,5,< 200 m
3877173,165714,Chaetodon unimaculatus,butterflyfish,global,0,5697164,Fiji,7,< 200 m
3145557,165716,Forcipiger flavissimus,butterflyfish,global,0,5504107,Malaysia,20,< 200 m
3273298,165716,Forcipiger flavissimus,butterflyfish,global,0,5504107,Galapagos,197,< 200 m
3398132,165716,Forcipiger flavissimus,butterflyfish,global,0,5504107,Papua New Guinea,5,< 200 m
3877173,165716,Forcipiger flavissimus,butterflyfish,global,0,5504107,Fiji,7,< 200 m
3944241,165716,Forcipiger flavissimus,butterflyfish,global,0,5504107,W Madagascar,23,< 200 m
4048604,165716,Forcipiger flavissimus,butterflyfish,global,0,5504107,W Madagascar,106,< 200 m
3145557,165719,Hemitaurichthys zoster,butterflyfish,global,0,924866,Malaysia,20,< 200 m
3944241,165719,Hemitaurichthys zoster,butterflyfish,global,0,924866,W Madagascar,23,< 200 m
4048604,165719,Hemitaurichthys zoster,butterflyfish,global,0,924866,W Madagascar,106,< 200 m
3145557,165725,Chaetodon semeion,butterflyfish,global,0,2628824,Malaysia,20,< 200 m
3398132,165725,Chaetodon semeion,butterflyfish,global,0,2628824,Papua New Guinea,5,< 200 m
3877173,165725,Chaetodon semeion,butterflyfish,global,0,2628824,Fiji,7,< 200 m
3398132,155193,Coradion melanopus,butterflyfish,global,0,800058,Papua New Guinea,5,< 200 m
3145557,165689,Chaetodon melannotus,butterflyfish,global,0,5813067,Malaysia,20,< 200 m
3398132,165689,Chaetodon melannotus,butterflyfish,global,0,5813067,Papua New Guinea,5,< 200 m
3877173,165689,Chaetodon melannotus,butterflyfish,global,0,5813067,Fiji,7,< 200 m
3944241,165689,Chaetodon melannotus,butterflyfish,global,0,5813067,W Madagascar,23,< 200 m
4048604,165689,Chaetodon melannotus,butterflyfish,global,0,5813067,W Madagascar,106,< 200 m
3145557,165702,Coradion chrysozonus,butterflyfish,global,0,5070957,Malaysia,20,< 200 m
3398132,165702,Coradion chrysozonus,butterflyfish,global,0,5070957,Papua New Guinea,5,< 200 m
3145557,165607,Chaetodon falcula,butterflyfish,global,0,942353,Malaysia,20,< 200 m
3944241,165607,Chaetodon falcula,butterflyfish,global,0,942353,W Madagascar,23,< 200 m
4048604,165607,Chaetodon falcula,butterflyfish,global,0,942353,W Madagascar,106,< 200 m
3145557,165608,Heniochus pleurotaenia,butterflyfish,global,0,591197,Malaysia,20,< 200 m
3944241,165612,Chaetodon zanzibarensis,butterflyfish,global,0,455674,W Madagascar,23,< 200 m
4048604,165612,Chaetodon zanzibarensis,butterflyfish,global,0,455674,W Madagascar,106,< 200 m
3398132,165615,Chaetodon mertensii,butterflyfish,global,0,1136738,Papua New Guinea,5,< 200 m
3877173,165615,Chaetodon mertensii,butterflyfish,global,0,1136738,Fiji,7,< 200 m
3145557,165619,Chaetodon guttatissimus,butterflyfish,global,0,1023958,Malaysia,20,< 200 m
3944241,165619,Chaetodon guttatissimus,butterflyfish,global,0,1023958,W Madagascar,23,< 200 m
4048604,165619,Chaetodon guttatissimus,butterflyfish,global,0,1023958,W Madagascar,106,< 200 m
3398132,165620,Chaetodon burgessi,butterflyfish,global,0,808928,Papua New Guinea,5,< 200 m
3145557,165622,Heniochus singularius,butterflyfish,global,0,4490733,Malaysia,20,< 200 m
3398132,165622,Heniochus singularius,butterflyfish,global,0,4490733,Papua New Guinea,5,< 200 m
3877173,165622,Heniochus singularius,butterflyfish,global,0,4490733,Fiji,7,< 200 m
3398132,165623,Chaetodon octofasciatus,butterflyfish,global,0,3926484,Papua New Guinea,5,< 200 m
3145557,165624,Chaetodon triangulum,butterflyfish,global,0,929205,Malaysia,20,< 200 m
3398132,165676,Chaetodon ocellicaudus,butterflyfish,global,NA,1669688,Papua New Guinea,5,< 200 m
3877173,165678,Chaetodon quadrimaculatus,butterflyfish,global,0,349438,Fiji,7,< 200 m
3145557,165680,Chaetodon rafflesii,butterflyfish,global,0,3213287,Malaysia,20,< 200 m
3398132,165680,Chaetodon rafflesii,butterflyfish,global,0,3213287,Papua New Guinea,5,< 200 m
3877173,165680,Chaetodon rafflesii,butterflyfish,global,0,3213287,Fiji,7,< 200 m
3145557,165681,Chaetodon ephippium,butterflyfish,global,0,3256681,Malaysia,20,< 200 m
3398132,165681,Chaetodon ephippium,butterflyfish,global,0,3256681,Papua New Guinea,5,< 200 m
3877173,165681,Chaetodon ephippium,butterflyfish,global,0,3256681,Fiji,7,< 200 m
3145557,165683,Heniochus diphreutes,butterflyfish,global,0,2365049,Malaysia,20,< 200 m
3944241,165683,Heniochus diphreutes,butterflyfish,global,0,2365049,W Madagascar,23,< 200 m
4048604,165683,Heniochus diphreutes,butterflyfish,global,0,2365049,W Madagascar,106,< 200 m
3944241,165684,Chaetodon interruptus,butterflyfish,global,0,780361,W Madagascar,23,< 200 m
4048604,165684,Chaetodon interruptus,butterflyfish,global,0,780361,W Madagascar,106,< 200 m
3145557,165686,Chaetodon bennetti,butterflyfish,global,NA,3113403,Malaysia,20,< 200 m
3398132,165686,Chaetodon bennetti,butterflyfish,global,NA,3113403,Papua New Guinea,5,< 200 m
3877173,165686,Chaetodon bennetti,butterflyfish,global,NA,3113403,Fiji,7,< 200 m
3944241,165686,Chaetodon bennetti,butterflyfish,global,NA,3113403,W Madagascar,23,< 200 m
4048604,165686,Chaetodon bennetti,butterflyfish,global,NA,3113403,W Madagascar,106,< 200 m
3877173,165688,Chaetodon flavirostris,butterflyfish,global,0,530647,Fiji,7,< 200 m
3398132,165692,Chaetodon baronessa,butterflyfish,global,0,3433227,Papua New Guinea,5,< 200 m
3877173,165692,Chaetodon baronessa,butterflyfish,global,0,3433227,Fiji,7,< 200 m
3398132,165694,Chaetodon speculum,butterflyfish,global,0,5519990,Papua New Guinea,5,< 200 m
3877173,165694,Chaetodon speculum,butterflyfish,global,0,5519990,Fiji,7,< 200 m
3145557,165697,Coradion altivelis,butterflyfish,global,0,4527293,Malaysia,20,< 200 m
3398132,165697,Coradion altivelis,butterflyfish,global,0,4527293,Papua New Guinea,5,< 200 m
2221857,165701,Prognathodes falcifer,butterflyfish,global,0,77423,Vizcaino Bay Baja,51,< 200 m
1009795,4292,Cetorhinus maximus,chondrichthyes,europe,0.6,133783983,Faeroe Islands,1e3,200 m +
1045794,4292,Cetorhinus maximus,chondrichthyes,europe,0.6,133783983,Faeroe Islands,100,200 m +
1062285,4292,Cetorhinus maximus,chondrichthyes,global,0.4,133783983,Alaska,5,200 m +
1116276,4292,Cetorhinus maximus,chondrichthyes,global,0.4,133783983,Alaska,54,200 m +
1127083,4292,Cetorhinus maximus,chondrichthyes,global,0.4,133783983,Alaska,109,200 m +
1873899,4292,Cetorhinus maximus,chondrichthyes,mediterranean,0.6,133783983,Mediterranean Sea 2,1e3,200 m +
1891894,4292,Cetorhinus maximus,chondrichthyes,mediterranean,0.6,133783983,Mediterranean Sea 2,89,200 m +
1909858,4292,Cetorhinus maximus,chondrichthyes,mediterranean,0.6,133783983,Mediterranean Sea 1,1e3,200 m +
1915782,4292,Cetorhinus maximus,chondrichthyes,global,0.4,133783983,Monterey Bay,11,200 m +
1919372,4292,Cetorhinus maximus,chondrichthyes,global,0.4,133783983,Monterey Bay,3e3,200 m +
