cell_id,iucn_sid,spp_gp,max_depth
4849246,41799,CHONDRICHTHYES,200 m +
1873899,41801,CHONDRICHTHYES,200 m +
1891894,41801,CHONDRICHTHYES,200 m +
1909858,41801,CHONDRICHTHYES,200 m +
1927804,41801,CHONDRICHTHYES,200 m +
1935136,41801,CHONDRICHTHYES,200 m +
1942349,41801,CHONDRICHTHYES,200 m +
1915782,41802,CHONDRICHTHYES,200 m +
1919372,41802,CHONDRICHTHYES,200 m +
1926570,41802,CHONDRICHTHYES,200 m +
2110256,41802,CHONDRICHTHYES,200 m +
2124660,41802,CHONDRICHTHYES,200 m +
2211043,41802,CHONDRICHTHYES,200 m +
2221857,41802,CHONDRICHTHYES,200 m +
1873899,41823,CHONDRICHTHYES,200 m +
1891894,41823,CHONDRICHTHYES,200 m +
1909858,41823,CHONDRICHTHYES,200 m +
1927804,41823,CHONDRICHTHYES,200 m +
1935136,41823,CHONDRICHTHYES,200 m +
1942349,41823,CHONDRICHTHYES,200 m +
4838443,41826,CHONDRICHTHYES,200 m +
4849246,41826,CHONDRICHTHYES,200 m +
3248104,41830,CHONDRICHTHYES,200 m +
3273298,41830,CHONDRICHTHYES,200 m +
3284111,41830,CHONDRICHTHYES,200 m +
3877173,41830,CHONDRICHTHYES,200 m +
3884370,41830,CHONDRICHTHYES,200 m +
3973169,41830,CHONDRICHTHYES,200 m +
3973171,41830,CHONDRICHTHYES,200 m +
4012758,41830,CHONDRICHTHYES,200 m +
3145557,41831,CHONDRICHTHYES,200 m +
3152756,41831,CHONDRICHTHYES,200 m +
3944241,41831,CHONDRICHTHYES,200 m +
3965838,41831,CHONDRICHTHYES,200 m +
3969436,41831,CHONDRICHTHYES,200 m +
3145557,41810,CHONDRICHTHYES,< 200 m
3944241,41859,CHONDRICHTHYES,200 m +
3965838,41859,CHONDRICHTHYES,200 m +
3969436,41859,CHONDRICHTHYES,200 m +
3973169,41859,CHONDRICHTHYES,200 m +
3973171,41859,CHONDRICHTHYES,200 m +
4012758,41859,CHONDRICHTHYES,200 m +
4827640,41871,CHONDRICHTHYES,200 m +
4838443,41871,CHONDRICHTHYES,200 m +
4849246,41871,CHONDRICHTHYES,200 m +
3145557,41872,CHONDRICHTHYES,< 200 m
3944241,41874,CHONDRICHTHYES,< 200 m
3398132,71711344,CHONDRICHTHYES,200 m +
3398133,71711344,CHONDRICHTHYES,200 m +
3877173,71711344,CHONDRICHTHYES,200 m +
3880763,71711344,CHONDRICHTHYES,200 m +
3884370,71711344,CHONDRICHTHYES,200 m +
3944241,71711476,CHONDRICHTHYES,200 m +
3965838,71711476,CHONDRICHTHYES,200 m +
3969436,71711476,CHONDRICHTHYES,200 m +
3973169,71711476,CHONDRICHTHYES,200 m +
3973171,71711476,CHONDRICHTHYES,200 m +
4012758,71711476,CHONDRICHTHYES,200 m +
2110256,44647,CHONDRICHTHYES,200 m +
1062285,44183,CHONDRICHTHYES,< 200 m
1116276,44183,CHONDRICHTHYES,< 200 m
1127083,44183,CHONDRICHTHYES,< 200 m
1915782,44183,CHONDRICHTHYES,< 200 m
2221857,44183,CHONDRICHTHYES,< 200 m
1919372,44215,CHONDRICHTHYES,200 m +
1926570,44215,CHONDRICHTHYES,200 m +
2211043,44215,CHONDRICHTHYES,200 m +
2200221,44514,CHONDRICHTHYES,200 m +
3248104,44514,CHONDRICHTHYES,200 m +
3273298,44514,CHONDRICHTHYES,200 m +
3284111,44514,CHONDRICHTHYES,200 m +
1915782,44565,CHONDRICHTHYES,200 m +
1919372,44565,CHONDRICHTHYES,200 m +
1926570,44565,CHONDRICHTHYES,200 m +
4827640,44566,CHONDRICHTHYES,200 m +
4838443,44566,CHONDRICHTHYES,200 m +
4849246,44566,CHONDRICHTHYES,200 m +
3248104,44584,CHONDRICHTHYES,200 m +
3273298,44584,CHONDRICHTHYES,200 m +
3284111,44584,CHONDRICHTHYES,200 m +
2110256,44591,CHONDRICHTHYES,200 m +
2124660,44591,CHONDRICHTHYES,200 m +
3944241,44621,CHONDRICHTHYES,200 m +
3965838,44621,CHONDRICHTHYES,200 m +
3969436,44621,CHONDRICHTHYES,200 m +
3973169,44621,CHONDRICHTHYES,200 m +
3973171,44621,CHONDRICHTHYES,200 m +
5098712,44993,CHONDRICHTHYES,200 m +
4827640,46865,CHONDRICHTHYES,200 m +
4838443,46865,CHONDRICHTHYES,200 m +
2221857,60152,CHONDRICHTHYES,< 200 m
3273298,60152,CHONDRICHTHYES,< 200 m
3145557,60162,CHONDRICHTHYES,200 m +
3152756,60162,CHONDRICHTHYES,200 m +
3248104,60162,CHONDRICHTHYES,200 m +
3273298,60162,CHONDRICHTHYES,200 m +
3398132,60162,CHONDRICHTHYES,200 m +
3398133,60162,CHONDRICHTHYES,200 m +
3944241,60162,CHONDRICHTHYES,200 m +
3965838,60162,CHONDRICHTHYES,200 m +
3969436,60162,CHONDRICHTHYES,200 m +
3973169,60162,CHONDRICHTHYES,200 m +
3973171,60162,CHONDRICHTHYES,200 m +
3273298,60168,CHONDRICHTHYES,< 200 m
3944241,60136,CHONDRICHTHYES,200 m +
3965838,60136,CHONDRICHTHYES,200 m +
1915782,60140,CHONDRICHTHYES,200 m +
1919372,60140,CHONDRICHTHYES,200 m +
1926570,60140,CHONDRICHTHYES,200 m +
1915782,60108,CHONDRICHTHYES,200 m +
1919372,60108,CHONDRICHTHYES,200 m +
2110256,60108,CHONDRICHTHYES,200 m +
