dbf_file,iucn_sid,sciname,subpop,kingdom,phylum,class,order,family,code,marine,terrestrial,freshwater
BUTTERFLYFISH.dbf,155220,Chaetodon sedentarius,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165646,Prognathodes guyanensis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165631,Chaetodon auriga,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165635,Chaetodon humeralis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165636,Chaetodon nippon,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165634,Chaetodon austriacus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165637,Chaetodon striatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165653,Chaetodon pelewensis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165658,Prognathodes carlhubbsi,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,NT,t,f,f
BUTTERFLYFISH.dbf,165660,Chelmon muelleri,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165639,Roa excelsa,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165640,Heniochus chrysostomus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165643,Chaetodon selene,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165633,Johnrandallia nigrirostris,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165665,Chaetodon ulietensis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165666,Chaetodon mitratus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165667,Forcipiger longirostris,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165668,Chaetodon citrinellus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165670,Chaetodon semilarvatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165672,Hemitaurichthys polylepis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165628,Chaetodon kleinii,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165705,Chaetodon fasciatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165708,Chaetodon declivis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165709,Chaetodon blackburnii,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165710,Chaetodon assarius,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165723,Chaetodon collare,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
BUTTERFLYFISH.dbf,165626,Heniochus acuminatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CHAETODONTIDAE,LC,t,f,f
