iucn_sid,sciname,category,subpop_match,dbf_file
178940,Enneapterygius hollemani,LC,FALSE,COMBTOOTHBLENNIES.dbf
178940,Enneapterygius hollemani,LC,FALSE,MARINEFISH_PART_1.dbf
178941,Cirrhibarbis capensis,LC,FALSE,COMBTOOTHBLENNIES.dbf
178941,Cirrhibarbis capensis,LC,FALSE,MARINEFISH_PART_3.dbf
178942,Sticharium dorsale,LC,FALSE,COMBTOOTHBLENNIES.dbf
178942,Sticharium dorsale,LC,FALSE,MARINEFISH_PART_2.dbf
178943,Pavoclinus laurentii,LC,FALSE,COMBTOOTHBLENNIES.dbf
178943,Pavoclinus laurentii,LC,FALSE,MARINEFISH_PART_1.dbf
178945,Heteroclinus johnstoni,LC,FALSE,COMBTOOTHBLENNIES.dbf
178945,Heteroclinus johnstoni,LC,FALSE,MARINEFISH_PART_2.dbf
178947,Lepidoblennius marmoratus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178947,Lepidoblennius marmoratus,LC,FALSE,MARINEFISH_PART_3.dbf
178948,Bellapiscis medius,LC,FALSE,COMBTOOTHBLENNIES.dbf
178948,Bellapiscis medius,LC,FALSE,MARINEFISH_PART_3.dbf
178949,Helcogramma fuscipectoris,LC,FALSE,COMBTOOTHBLENNIES.dbf
178949,Helcogramma fuscipectoris,LC,FALSE,MARINEFISH_PART_2.dbf
178950,Enneapterygius bahasa,LC,FALSE,COMBTOOTHBLENNIES.dbf
178950,Enneapterygius bahasa,LC,FALSE,MARINEFISH_PART_2.dbf
178951,Springerichthys kulbickii,LC,FALSE,COMBTOOTHBLENNIES.dbf
178951,Springerichthys kulbickii,LC,FALSE,MARINEFISH_PART_3.dbf
178952,Clinus woodi,LC,FALSE,COMBTOOTHBLENNIES.dbf
178952,Clinus woodi,LC,FALSE,MARINEFISH_PART_1.dbf
178953,Blennioclinus brachycephalus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178953,Blennioclinus brachycephalus,LC,FALSE,MARINEFISH_PART_2.dbf
178954,Enneapterygius sheni,DD,FALSE,COMBTOOTHBLENNIES.dbf
178954,Enneapterygius sheni,DD,FALSE,MARINEFISH_PART_3.dbf
178956,Norfolkia leeuwin,LC,FALSE,COMBTOOTHBLENNIES.dbf
178956,Norfolkia leeuwin,LC,FALSE,MARINEFISH_PART_2.dbf
178957,Enneapterygius pyramis,LC,FALSE,COMBTOOTHBLENNIES.dbf
178957,Enneapterygius pyramis,LC,FALSE,MARINEFISH_PART_3.dbf
178958,Enneapterygius ventermaculus,LC,FALSE,COMBTOOTHBLENNIES.dbf
178958,Enneapterygius ventermaculus,LC,FALSE,MARINEFISH_PART_2.dbf
178959,Enneapterygius melanospilus,LC,FALSE,COMBTOOTHBLENNIES.dbf
