iucn_sid,sciname_api,category
135369,Oncorhynchus nerka,LC
135370,Oncorhynchus nerka,LC
135371,Oncorhynchus nerka,LC
135372,Oncorhynchus nerka,DD
135373,Oncorhynchus nerka,CR
135374,Oncorhynchus nerka,LC
135375,Oncorhynchus nerka,DD
135376,Oncorhynchus nerka,LC
135377,Oncorhynchus nerka,DD
135379,Oncorhynchus nerka,DD
135380,Oncorhynchus nerka,LC
135381,Oncorhynchus nerka,EN
135484,Latimeria menadoensis,VU
135491,Alosa tanaica,LC
135496,Alburnus mentoides,EN
135499,Alburnus chalcoides,LC
135509,Knipowitschia longecaudata,LC
135510,Benthophilus stellatus,LC
135516,Benthophilus durrelli,LC
135525,Pomatoschistus microps,LC
135526,Benthophilus magistri,LC
135532,Alburnus hohenackeri,LC
135537,Alosa kessleri,LC
135545,Stenodus nelma,LC
135548,Alosa caspia,LC
135550,Rutilus heckelii,LC
135559,Alosa volgensis,EN
135567,Mugil cephalus,LC
135574,Liopsetta glacialis,LC
135579,Liza aurata,LC
135590,Alburnus sarmaticus,EN
135596,Neogobius pallasi,LC
135601,Rutilus caspicus,LC
135604,Benthophilus nudus,LC
135606,Dicentrarchus labrax,LC
135608,Knipowitschia bergi,LC
135612,Coregonus widegreni,DD
135622,Caspiosoma caspium,LC
135639,Ballerus sapa,LC
135644,Alosa algeriensis,DD
135645,Alburnus leobergi,LC
135654,Benthophilus mahmudbejovi,LC
135656,Benthophilus macrocephalus,LC
135658,Salmo labrax,LC
135660,Osmerus dentex,LC
135664,Barbus kubanicus,LC
135665,Coregonus muksun,LC
135672,Coregonus maraena,VU
135673,Percarina maeotica,LC
135680,Benthophilus leobergius,LC
135681,Liza saliens,LC
135682,Benthophilus granulosus,LC
135684,Luciobarbus brachycephalus,VU
135687,Luciobarbus capito,VU
135689,Chelon labrosus,LC
135690,Pleuronectes platessa,LC
135707,Clupeonella caspia,LC
135714,Liza ramada,LC
135717,Platichthys flesus,LC
135719,Lethenteron camtschaticum,LC
136315,Orcaella heinsohni,VU
136472,Babyrousa togeanensis,EN
153702,Pontastacus pachypus,DD
153745,Pontastacus leptodactylus,LC
153814,Cambarus diogenes,LC
154612,Paracaesio caerulea,DD
154613,Synaphobranchus affinis,LC
154614,Pentaceros decacanthus,LC
154615,Laeops guentheri,LC
154616,Diaphus diadematus,LC
154617,Bryx veleronis,DD
154618,Lepidotrigla omanensis,LC
154619,Alcichthys elongatus,LC
154620,Protomyctophum luciferum,LC
154621,Amblygobius tekomaji,LC
154624,Peprilus paru,LC
154625,Paraliparis plagiostomus,DD
154627,Cnidoglanis macrocephalus,DD
154628,Uropterygius fuscoguttatus,LC
154629,Siokunichthys nigrolineatus,DD
154631,Citharichthys gymnorhinus,LC
154632,Uranoscopus oligolepis,LC
154634,Johnsonina eriomma,LC
154635,Lestidiops ringens,LC
154636,Hemerocoetes monopterygius,LC
154637,Callionymus leucobranchialis,DD
154638,Myctophum lychnobium,LC
154639,Gobiesox canidens,VU
154640,Genidens genidens,LC
154642,Thalassenchelys foliaceus,DD
154644,Liparis liparis,LC
154648,Ancylopsetta kumperae,DD
154649,Lophius gastrophysus,LC
154651,Bathygobius aeolosoma,LC
154652,Enigmapercis acutirostris,DD
154655,Hadropareia middendorffii,LC
154657,Bathygobius lineatus,VU
154658,Plectranthias bilaticlavia,LC
154659,Myoxocephalus tuberculatus,DD
154660,Genyagnus monopterygius,LC
154661,Oplegnathus woodwardi,DD
154662,Stellifer fuerthii,LC
154663,Oneirodes acanthias,LC
154664,Thamnaconus melanoproctes,DD
154665,Eustomias posti,LC
154666,Stemonosudis bullisi,DD
154668,Linophryne lucifer,LC
154669,Taeniamia buruensis,LC
154670,Parupeneus multifasciatus,LC
154672,Bathycongrus retrotinctus,DD
154673,Bathyuroconger vicinus,LC
154674,Lampanyctus jordani,LC
154675,Balistes rotundatus,LC
154679,Paraliparis tompkinsae,DD
154681,Oplegnathus insignis,DD
154682,Pristipomoides freemani,LC
154683,Skythrenchelys zabra,LC
154685,Sebastes nivosus,DD
154687,Arnoglossus imperialis,LC
154688,Apogon semilineatus,DD
154690,Kraemeria tongaensis,LC
154691,Synchiropus claudiae,LC
154693,Neomerinthe hemingwayi,LC
154694,Blennodesmus scapularis,LC
154695,Luzonichthys earlei,LC
154698,Lophodolos indicus,LC
154699,Mugilogobius fasciatus,DD
154702,Coryphaenoides nasutus,LC
154704,Johnius laevis,DD
154705,Lethrinus enigmaticus,LC
154707,Polydactylus multiradiatus,LC
154709,Hetereleotris vulgaris,LC
154710,Paramonacanthus matsuurai,DD
154712,Coryphaena hippurus,LC
154714,Erotelis armiger,DD
154715,Eustomias vulgaris,LC
154716,Paxton concilians,DD
154717,Anchoa choerostoma,EN
154721,Sufflamen fraenatum,LC
154722,Melletes papilio,LC
154723,Anodontostoma selangkat,DD
154724,Myripristis clarionensis,VU
154725,Caulolatilus williamsi,DD
154726,Polyipnus clarus,LC
154727,Bathypterois oddi,DD
154728,Amphistichus koelzi,LC
154729,Diaphus rafinesquii,LC
154730,Luzonichthys williamsi,LC
154731,Apeltes quadracus,LC
154733,Dermatopsoides talboti,LC
154736,Minous quincarinatus,LC
154737,Atherinella serrivomer,LC
154738,Callionymus comptus,VU
154740,Akarotaxis nudiceps,LC
154741,Girella simplicidens,LC
154742,Lutjanus notatus,LC
154743,Coilia neglecta,LC
154744,Kestratherina brevirostris,LC
154745,Leptostomias bermudensis,LC
154746,Trimma fraena,LC
154747,Maurolicus breviculus,LC
154748,Lophius vomerinus,NT
154749,Petrotyx sanguineus,LC
154750,Sagamichthys abei,LC
154752,Heteroconger taylori,DD
154755,Genyonemus lineatus,NT
154756,Scorpaenopsis altirostris,LC
154757,Callionymus platycephalus,DD
154758,Astrabe fasciata,DD
154759,Spratelloides gracilis,LC
154761,Zenarchopterus pappenheimi,DD
154762,Chlopsis kazuko,DD
154764,Opistognathus maxillosus,LC
154765,Ancylopsetta cycloidea,LC
154767,Membras martinica,LC
154769,Silhouettea evanida,DD
154770,Pariah scotius,LC
154771,Anoplocapros inermis,LC
154772,Synchiropus grandoculis,LC
154773,Ocosia possi,LC
154774,Nematalosa nasus,LC
154776,Ebinania brephocephala,DD
154777,Ophidion fulvum,NT
154779,Paratrachichthys fernandezianus,LC
154782,Cynoscion praedatorius,DD
154783,Artedielloides auriculatus,NT
154784,Cryptocentrus leonis,DD
154785,Pleuragramma antarctica,LC
154786,Amblyeleotris callopareia,DD
154789,Krefftichthys anderssoni,LC
154790,Triglops forficatus,LC
